"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","512444","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Anathallis","gert-hatschbachii","Anathallis gert-hatschbachii","(Hoehne) Pridgeon & M.W.Chase","G. G. Hatschbach","24382","1970","06","03","South America","Brazil","Paraná","Sao José dos Pinhais","Rio Pequeno","-49.2064","-25.5347","930","930","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=475021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512444","NY00512444_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-27 20:28:30-03","PUCPR","HUCP","19052-B","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Anathallis","gerthatschbachii","Anathallis gerthatschbachii","(Hoehne) Pridgeon & M.W. Chase.","Kersten, RA","s.n.","2007","05","20",NA,"Brasil","Paraná","Colombo",NA,"-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,NA,NA,"Santos, MC; Toscano de Brito, A.V.L; Smidt, EC","2017","06","13536","auto",NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:46:43-03","NBC","NL-BOTANY","L.1531209","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Pleurothallis","gert-hatschbachii","Pleurothallis gert-hatschbachii","Hoehne","Hatschbach GG",NA,"1967","07","19","Southern America","Brazil",NA,NA,"Est Paraná, Mun. S. José dos Pinhais, Purgatório.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1531209 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1531209","NL-L1531209",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"4","2019-08-16 08:40:23-03","UTFPR","HCF","28118","S","Plantae",NA,NA,"Orchidaceae","Anathallis","gerthatschbachii","Anathallis gerthatschbachii","(Hoehne) Pridgeon & M.W. Chase","T.F. Santos","19","2013","11","30",NA,"Brasil","PR","Balsa Nova","São Luiz do Purunã","-49.6356010437012","-25.5839004516602",NA,NA,NA,"epífita com flores creme esverdeadas. Floresta Ombrófila Mista. Capão.",NA,NA,NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:38:13-03","MBM","MBM","411176","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Anathallis","gerthatschbachii","Anathallis gerthatschbachii","(Hoehne) Pridgeon & M.W. Chase","Santos, T.F.","19","2013","11","30","Southern America","Brazil","Paraná","Balsa Nova","São Luiz do Purunã","-49.6356010437012","-25.5839004516602",NA,NA,NA,"Epífita com flores creme esverdeadas.; Floresta Ombrófila Mista, capão.","MBM411176","MBM411176","Santos, T.F.","2013","11","27346","auto",NA,"30",NA,NA,NA,NA
"6","2020-12-21 16:38:44-03","MBM","MBM","29813","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","gert-hatschbachii","Pleurothallis gert-hatschbachii","Hoehne","Hatschbach, G.","4034","1957","06",NA,"Southern America","Brazil","Paraná","Campina Grande do Sul","Rio Taquari","-49.0553016662598","-25.3055992126465",NA,NA,NA,"Epífita.","MBM029813","MBM029813","Hatschbach, G.",NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:38:44-03","MBM","MBM","29814","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","gert-hatschbachii","Pleurothallis gert-hatschbachii","Hoehne","Hatschbach, G.","970","1948","07",NA,"Southern America","Brazil","Paraná","Piraquara","Rio Taquari","-49.0633010864258","-25.4416999816895",NA,NA,NA,"Exsicata proveniente de material enviado por F.C.Hoehne, coletado na mesma muda que forneceu o material típico cultivado no Inst. de Botânica de S. Paulo.","MBM029814","MBM029814","Hoehne, F.C.",NA,NA,"12577","auto",NA,NA,"ISOTYPE",NA,NA,NA
"8","2020-12-21 16:38:44-03","MBM","MBM","169328","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","gert-hatschbachii","Pleurothallis gert-hatschbachii","Hoehne","Silveira, N.; et al.; et al.","11867","1994","05","03","Southern America","Brazil","Paraná","Quatro Barras","Morro do Anhangava","-49.0769004821777","-25.3656005859375",NA,NA,NA,"Epífita.","MBM169328","MBM169328","Hatschbach, G.",NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:38:44-03","MBM","MBM","10160","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","gert-hatschbachii","Pleurothallis gert-hatschbachii","Hoehne","Hatschbach, G.","19930","1968","10","08","Southern America","Brazil","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375",NA,NA,NA,"Epífita.","MBM010160","MBM010160","Pabst, G.",NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:38:44-03","MBM","MBM","29811","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","gert-hatschbachii","Pleurothallis gert-hatschbachii","Hoehne","Hatschbach, G.","8016","1961","05","07","Southern America","Brazil","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Epífita.","MBM029811","MBM029811","Hatschbach, G.",NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:38:44-03","MBM","MBM","15165","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","gert-hatschbachii","Pleurothallis gert-hatschbachii","Hoehne","Hatschbach, G.","24382","1970","06","03","Southern America","Brazil","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Epífita.","MBM015165","MBM015165","Hatschbach, G.",NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:38:44-03","MBM","MBM","29815","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","gert-hatschbachii","Pleurothallis gert-hatschbachii","Hoehne","Hatschbach, G.","970","1948",NA,NA,"Southern America","Brazil","Paraná","Piraquara","Rio Taquari","-49.0633010864258","-25.4416999816895",NA,NA,NA,"Epífita.","MBM029815","MBM029815","Hoehne, F.",NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:38:44-03","MBM","MBM","6207","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","gert-hatschbachii","Pleurothallis gert-hatschbachii","Hoehne","Hatschbach, G.","16484","1967","05","25","Southern America","Brazil","Paraná","Quatro Barras","Morro Mãe Catira","-49.0769004821777","-25.3656005859375",NA,NA,NA,"Epífita.","MBM006207","MBM006207","Pabst, G.",NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:38:44-03","MBM","MBM","7763","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","gert-hatschbachii","Pleurothallis gert-hatschbachii","Hoehne","Hatschbach, G.","16715","1967","07","19","Southern America","Brazil","Paraná","São José dos Pinhais","Purgatório","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Epífita.","MBM007763","MBM007763","Pabst, G.",NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:38:44-03","MBM","MBM","29812","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","gert-hatschbachii","Pleurothallis gert-hatschbachii","Hoehne","Hatschbach, G.","4000","1957","06",NA,"Southern America","Brazil","Paraná","São José dos Pinhais","Serra dos Castelhanos","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Epífita.","MBM029812","MBM029812","Hatschbach, G.",NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA
"16","2021-02-11 17:20:51-03","UFPR","UPCB","83137","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Anathallis","gerthatschbachii","Anathallis gerthatschbachii","(Hoehne) Pridgeon & M.W.Chase","Toscano de Brito, A.L.V.","2913","2011","10","07",NA,"Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,"Flores verde-amareladas.. Coletada e cultivada por M.L. Klingelfus s.n., fl. cult. 07/10/2011.",NA,NA,"Toscano de Brito, A.L.V.","2015","05","12577","auto",NA,"20",NA,NA,NA,NA
"17","2021-02-11 17:20:51-03","UFPR","UPCB","84556","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Anathallis","gerthatschbachii","Anathallis gerthatschbachii","(Hoehne) Pridgeon & M.W. Chase","Santos, M.C., Bolson, M., | Santos, E | Peralta, D.","10","2015","06","16",NA,"Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi, Monte Olimpo","-48.834400177002","-25.476900100708",NA,NA,NA,"Possui amostra de DNA..",NA,NA,"Santos, M.C.","2015","06","30514","auto",NA,"28",NA,NA,NA,NA
