"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:33:44-03","UNESC","CRI","4015","PreservedSpecimen","Plantae","Menispermaceae","Cissampelos","pareira","Cissampelos pareira","L.","J. A. Jarenkow","J. A. Jarenkow; J. L. Waechter","1989","10","31","Brasil","Rio Grande do Sul","Camaquã","Pacheca.","-51.8125","-30.851667","51º48'45''W","30º51'6''S","40","40","Habito: trepadeira","CRI004617","CRI004617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:39-03","E","E","164046","PreservedSpecimen","Plantae","Menispermaceae","Cissampelos","pareira","Cissampelos pareira",NA,NA,"Pott, V.J.;","1985","08","21","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00164046 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00164046",NA,"201","E. Tropical South America","herbarium specimen of unspecif","BGBASE:171614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:39-03","E","E","514511","PreservedSpecimen","Plantae","Menispermaceae","Cissampelos","pareira","Cissampelos pareira",NA,NA,"Tweedie, John",NA,NA,NA,"AR","Provincia de Buenos Aires",NA,"Buenos Ayres",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00514511 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514511",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:548727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:39-03","E","E","146927","PreservedSpecimen","Plantae","Menispermaceae","Cissampelos","pareira","Cissampelos pareira",NA,NA,"Pott, A.;","1987","08","04","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00146927 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146927",NA,"3204","E. Tropical South America","herbarium specimen of unspecif","BGBASE:171308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:39-03","E","E","514508","PreservedSpecimen","Plantae","Menispermaceae","Cissampelos","pareira","Cissampelos pareira",NA,NA,"Burkart, Arturo Erhardo","1963","12","16","AR","Provincia de Entre Ríos",NA,"Dep. Concordia",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00514508 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514508",NA,"24785","Temperate South America","herbarium specimen of unspecif","BGBASE:548724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:39-03","E","E","289757","PreservedSpecimen","Plantae","Menispermaceae","Cissampelos","pareira","Cissampelos pareira",NA,NA,"Howorth, R.","1999","06","29","VE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00289757 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00289757",NA,"195","W. Tropical South America","herbarium specimen of unspecif","BGBASE:299489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:39-03","E","E","514510","PreservedSpecimen","Plantae","Menispermaceae","Cissampelos","pareira","Cissampelos pareira",NA,NA,"Tweedie, John",NA,NA,NA,"AR","Provincia de Buenos Aires",NA,"Buenos Ayres",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00514510 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514510",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:548726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:39-03","E","E","514509","PreservedSpecimen","Plantae","Menispermaceae","Cissampelos","pareira","Cissampelos pareira",NA,NA,"Tweedie, John",NA,NA,NA,"AR","Provincia de Entre Ríos",NA,"Entre Rios",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00514509 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514509",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:548725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:39-03","E","E","514512","PreservedSpecimen","Plantae","Menispermaceae","Cissampelos","pareira","Cissampelos pareira",NA,NA,"Hieronymus, G. & Lorentz, P.G.",NA,NA,NA,"AR","Provincia de Catamarca",NA,"La Merced",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00514512 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514512",NA,"1234","Temperate South America","herbarium specimen of unspecif","BGBASE:548728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00897574","PreservedSpecimen","Plantae","Menispermaceae","Cissampelos","pareira","Cissampelos pareira","L.","D. G. Rhodes","G. Gardner","1841",NA,NA,"Brazil","Piauí",NA,"Prov. Piauhy",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978403' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897574","NY00897574_01","2475","South America","sheet",NA,"Magnoliophyta","Ranunculales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
