"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","year","month","locality","decimalLongitude","decimalLatitude","day","county","individualCount","coordinatePrecision","minimumElevationInMeters","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1161182","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aldina","microphylla","Aldina microphylla","M.Yu.Gontsch. & Yakovlev","M. Colella","1667","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371148' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161182","NY01161182_01 NY01161182_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1185460","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aldina","microphylla","Aldina microphylla","M.Yu.Gontsch. & Yakovlev","M. G. da Silva","7151","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399568' target='other'> <mi>dwc_moreinfo</mi></a>","NY01185460","NY01185460_01","G. P. Yakovlev","paratype","1984","03","Plato (ou encosta?) da Serra do Aracá, 200 km ao norte de Barcelos","-63.3745909","0.9016571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1552881","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aldina","microphylla","Aldina microphylla","M.Yu.Gontsch. & Yakovlev","H. C. de Lima","3316","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1385028' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552881","NY01552881_01",NA,NA,"1987","11","Alto Rio Negro, estrada para Cucuí, BR-307, Destacamento de Maturacá, Serra de Maturacá (= Serra do Padre)","-67.0892","-0.130278","27","São Gabriel da Cachoeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-05-04 12:32:00-03","MO","MOBOT","101044064","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aldina","microphylla","Aldina microphylla","M. Yu. Gontsch. & Yakovlev","Douglas C. Daly|et al.","Daly 11134","South America","Brazil","Acre",NA,NA,NA,NA,NA,NA,"2001","10","Rio Purus, left bank, Seringal Refúgio, Colocação Balbino. Trail to Refúgio and Sao Braz.","-69.9158333","-9.075","27","Santa Rosa do Purus","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-10 04:40:00-03","MO","MOBOT","100578536","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aldina","microphylla","Aldina microphylla","M. Yu. Gontsch. & Yakovlev","H. C. de Lima|R. Pereira de Lima|A.M. Neto","Lima 3316","South America","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,"1987","11","Alto Rio Negro, Estrada para Cucuí, BR-307, Destacamento de Maturacá, Serra de Maturacá (=Serra do Padre).","-67.0892028808594","-0.130278006196022","27","São Gabriel da Cachoeira","1","377621","400.00000000","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-08-31 09:15:28-03","INPA","INPA","134109","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Pap","Aldina","microphylla","Aldina microphylla","M.Yu.Gontsch. & Yakovlev","Pipoly III, JJ","6846","Southern America","Brasil","Amazonas",NA,NA,"INPA0134109","INPA0134109 INPA0134109_e","Ramos, G",NA,"1984","03","Serra do Aracá, Serra Aracá; W slope of sourthern massif. Top of western serra.","-63","0.666667","20","Barcelos",NA,NA,"800",NA,"2017","12","11","-63","0.666667","800",NA
"7","2020-08-31 09:15:28-03","INPA","INPA","136870","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Pap","Aldina","microphylla","Aldina microphylla","M.Yu.Gontsch. & Yakovlev","Silva, MG da","7151","Southern America","Brasil","Amazonas",NA,NA,"INPA0136870","INPA0136870 INPA0136870_e INPA0136870_e1","Ramos, G",NA,"1984","03","Serra do Aracá, Platô (ou encosta?) da Serra do Aracá, 200 km ao norte de Barcelos.","-63.374591","0.901657",NA,"Barcelos",NA,NA,NA,NA,"2017","12","11","-63.374591","0.901657",NA,NA
"8","2020-08-31 09:15:28-03","INPA","INPA","181722","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Pap","Aldina","microphylla","Aldina microphylla","M.Yu.Gontsch. & Yakovlev","Lima, HC de","3349","Southern America","Brasil","Amazonas",NA,NA,"INPA0181722",NA,NA,NA,"1987","11","Camanaús, Alto Rio Negro, acima de Camanaús","-66.95","-0.13","30","São Gabriel da Cachoeira",NA,NA,NA,NA,NA,NA,NA,"-66.95","-0.13",NA,NA
"9","2021-01-10 20:50:08-03","INPA","INPA","196430","Dupli","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Pap","Aldina","microphylla","Aldina microphylla","M.Yu.Gontsch. & Yakovlev","Pipoly III, JJ","6846","Southern America","Brasil","Amazonas",NA,NA,"INPA0196430","INPA0196430 INPA0196430_1 INPA0196430_1e INPA0196430_e","Ramos, G",NA,"1984","03","Serra do Aracá, Serra Aracá; W slope of sourthern massif. Top of western serra.","-63","0.666667","20","Barcelos",NA,NA,"800",NA,"2017","12","11","-63","0.666667","800",NA
"10","2021-01-10 20:50:08-03","INPA","INPA","196430","segun","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Pap","Aldina","microphylla","Aldina microphylla","M.Yu.Gontsch. & Yakovlev","Pipoly III, JJ","6846","Southern America","Brasil","Amazonas",NA,NA,"INPA0196430","INPA0196430 INPA0196430_1 INPA0196430_1e INPA0196430_e","Ramos, G",NA,"1984","03","Serra do Aracá, Serra Aracá; W slope of sourthern massif. Top of western serra.","-63","0.666667","20","Barcelos",NA,NA,"800",NA,"2017","12","11","-63","0.666667","800",NA
