"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01214182","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindleyana","Mikania lindleyana","DC.","W. A. Ducke","1936","1946","04","14","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459393' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214182","NY01214182_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02491368","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindleyana","Mikania lindleyana","DC.","L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2720402' target='other'> <mi>dwc_moreinfo</mi></a>","NY02491368","NY02491368_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","811666","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindleyana","Mikania lindleyana","DC.","G. G. Hatschbach","24511","1970","07","21","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811666","NY00811666_01","M. R. Ritter","Cerro Azul","Rio do Turvo.","-49.2608","-24.8236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01214180","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindleyana","Mikania lindleyana","DC.","G. T. Prance","13414","1971","06","19","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1338313' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214180","NY01214180_01","G. M. Barroso",NA,"Rio Purus between Campina and Tambaqui.","-62.878443","-4.995765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","797318","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindleyana","Mikania lindleyana","DC.","W. E. Broadway","7843","1931","11","20","South America","Trinidad and Tobago",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=483651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797318",NA,"B. L. Robinson",NA,"Trinidad. Near no. 115 Smallbridge, south of Kern Oilfields, southern road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01214177","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindleyana","Mikania lindleyana","DC.","J. J. Strudwick","3304","1981","07","20","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1458662' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214177","NY01214177_01","J. F. Pruski",NA,"Lageira, airstrip on Rio Maicuru. On riverbanks of Maicuru up to 1 Km upstream of airstrip","-54.433333","-0.916667","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01214176","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindleyana","Mikania lindleyana","DC.","J. J. Strudwick","3307","1981","07","20","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1458660' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214176","NY01214176_01","J. F. Pruski",NA,"Lageira, airstrip on Rio Maicuru. On riverbanks of Maicuru up to 1 Km upstream of airstrip","-54.433333","-0.916667","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01214184","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindleyana","Mikania lindleyana","DC.","J. M. Pires","1600","1947","05","16","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459409' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214184","NY01214184_01","W. C. Holmes",NA,"Rio Guamá: I.A.N.","-48.4018296","-1.4548669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","797317","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindleyana","Mikania lindleyana","DC.","P. Acevedo-Rodríguez","7447","1995","06","21","South America","Ecuador","Napo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=483649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797317",NA,"H. E. Robinson",NA,"Yasuni Forest Reserve; along Tiputini River, E of Pontificia Universidad Católica del Ecuador Sci. Station","-76.39495","-0.680883","225","225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01214183","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindleyana","Mikania lindleyana","DC.","A. B. Anderson","174","1975","04","27","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1339944' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214183","NY01214183_01","W. C. Holmes",NA,"Cuieiras Campina, rio Cuieiras near mouth of rio Brancinho.Rare or occasional in shade of campina.","-60.3200886","-2.5451154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01214181","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindleyana","Mikania lindleyana","DC.","C. A. Cid Ferreira","4551","1984","06","15","South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1338311' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214181","NY01214181_01","D. C. Wasshausen","Costa Marques","Chapada dos Parecís, Distrito de Alta Floresta, estrada P-56, km 17","-63.05","-11.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","797316","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindleyana","Mikania lindleyana","DC.","M. H. Nee","35262","1987","07","19","South America","Bolivia","Santa Cruz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=483650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797316",NA,"H. E. Robinson","Andrés Ibáñez","Jardin Botanico de Santa Cruz, 12 km. E of center of Santa Cruz, on road to Cotoca","-63.07","-17.77","375","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01214178","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindleyana","Mikania lindleyana","DC.","J. J. Strudwick","3201","1981","07","17","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1458665' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214178","NY01214178_01","J. F. Pruski",NA,"Lageira, airstrip on Rio Maicuru, within 100m of Maicuru river bank.","-54.433333","-0.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
