"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","399903","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","membranaceum","Erythroxylum membranaceum","Plowman","isotype","R. P. Belém","932","1965","04","25","South America","Brazil","Bahia","Rodovia Ubaitaba-Lagos, 8km de Ubaitaba.","-39.3666","-14.3333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00399903","NY00399903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:37:58-03","EAO","IAN","119424","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Erythroxylaceae","Erythroxylum","membranaceum","Erythroxylum membranaceum","Plowman","isotipo","Belém, RP; Magalhães, MG","932","1965","04","25","Southern America","Brasil","Bahia","Rodovia Ubaitaba-Lages, 8km de Ubaitaba. Mata virgem e perigosa.",NA,NA,NA,"Plowman & Hensold (2004:30) citaram: TYPE: BRAZIL. Bahia: Mun. Aurelino Leal, rd Ubaitaba-Lages [Lage do Banco], 8 km de Ubaitaba, 24 Apr 1965, R. P. Belém & M. Magalhães 932 (HOLOTYPE, CEPEC 1057 = F neg. 60130; ISOTYPES: F 1622274,","IAN119424",NA,"Plowman, T","1983","11","17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-26 13:53:59-03","IMA","MAC","26005","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","membranaceum","Erythroxylum membranaceum","Plowman",NA,"M.N.Rodrigues; Santos, MR dos","1983","2006","05","04",NA,"Brasil","Alagoas","APA do Catolé.","-35.795458","-9.55775",NA,"Árvore ca. de 5m de altura. Botões florais cremes. Frutos verdes.; Mata Atlântica","MAC0026005","MAC0026005","M.I.B.Loiola","2008","05","29","Satuba","-35.795458","-9.55775",NA,NA,NA,NA,NA,NA
"4","2019-09-04 17:46:22-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Erythroxylaceae","Erythroxylum","membranaceum","Erythroxylum membranaceum",NA,"Holotype","R. P. Belém & Mendes Magalhães","932","1965","4","25","South America","Brazil","Bahia","Aurelino Leal, Rodovia Ubaitaba-Lages (=Lage do Banco), 8 Km de Ubaitaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"5","2019-09-04 17:05:29-03","F","FMNH-SEEDPLANTS","V0055706F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Erythroxylaceae","Erythroxylum","membranaceum","Erythroxylum membranaceum",NA,"Isotype","R. P. Belém & Mendes Magalhães","932","1965","4","25","South America","Brazil","Bahia","Aurelino Leal, Rodovia Ubaitaba-Lages (=Lage do Banco), 8 Km de Ubaitaba",NA,NA,NA,NA,"V0055706F","V0055706F_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"6","2020-07-23 12:05:31-03","CEPLAC","CEPEC","91079","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","membranaceum","Erythroxylum membranaceum",NA,NA,"W. W. Thomas","12689","2001","10","30",NA,"Brasil","Bahia","11,2Km a W da BR-101 Rod. para Aurelio Leal em direção a Laje do Banco.","-39.366667","-14.333333",NA,NA,NA,NA,"T. Araújo",NA,NA,NA,"AURELINO LEAL","39W22'","14S20'",NA,"30/12/2010",NA,NA,NA,NA
"7","2020-07-23 12:05:31-03","CEPLAC","CEPEC","1057","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","membranaceum","Erythroxylum membranaceum",NA,"Holótipo","R. P. Belém","932","1965","04","25",NA,"Brasil","Bahia","8Km Rod. Ubaitaba/Lages.","-39.3272018432617","-14.3166999816895",NA,NA,NA,NA,"T. Plowman",NA,NA,NA,"AURELINO LEAL","0W0'0","0S0'0",NA,"17/11/1983","38772","auto",NA,NA
"8","2020-07-23 12:05:31-03","CEPLAC","CEPEC","1054","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","membranaceum","Erythroxylum membranaceum",NA,"Isótipo","R. P. Belém","941","1965","04","25",NA,"Brasil","Bahia","Rodovia Ubaitaba/Lages. 8Km de Ubaitaba.","-39.323299407959","-14.3125",NA,NA,NA,NA,"T. Plowman",NA,NA,NA,"ubaitaba",NA,NA,NA,"30/04/1987","27575","auto",NA,NA
"9","2021-04-08 17:12:32-03","UESB","HUESB","1442","S","Plantae","Dicotyledoneae",NA,"Erythroxylaceae","Erythroxylum","membranaceum","Erythroxylum membranaceum","Plowman",NA,"Macedo, G.E.L.; Nenê; Nenê","1928","2005","04","21",NA,"Brasil","Bahia","Fazenda Brejo Novo, Fazenda Brejo Novo, a 10,5 Km da Av. Otávio Mangabeira entrando pela Av. Exupério Miranda no Bairro do Mandacarú.","-41.066667","-13.946389",NA,"Localizado em solo areno argiloso-pedregoso. Habitat:Terrestre no interior da mata. Ind. 297. Parcela 07. UTM 8457961.; Árvore de 8,0m. Folhas simples, discolor, brilhante, adaxialmente.; Floresta Estacional (Mata de Cipó) em zona de transição.",NA,NA,"I. Loiola","2005","10",NA,"Jequié","-41.066667","-13.946389",NA,NA,NA,NA,"693","693"
"10","2021-04-08 17:12:32-03","UESB","HUESB","1443","S","Plantae","Dicotyledoneae",NA,"Erythroxylaceae","Erythroxylum","membranaceum","Erythroxylum membranaceum","Plowman",NA,"Macedo, G.E.L.; Paixão, J.L.; Paixão, J.L.","1464","2004","12","07",NA,"Brasil","Bahia","Fazenda Brejo Novo, Fazenda Brejo Novo, a 10,5 Km da Av. Otávio Mangabeira entrando pela Av. Exupério Miranda no Bairro do Mandacarú.","-41.066667","-13.9475",NA,"Localizado em solo areno argiloso-pedregoso. Habitat:Terrestre no interior da mata. Ind. 410. Parcela 10.; Árvore de 9,0m. Folhas simples, discolor, brilho ceroso adaxilamente.; Floresta Estacional (Mata de Cipó) em zona de transição.",NA,NA,"I. Loiola","2005","10",NA,"Jequié","-41.066667","-13.9475",NA,NA,NA,NA,"689","689"
