"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01132015","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Lobelia","hilaireana","Lobelia hilaireana","(Kanitz) E.Wimm.","B. R. Silva","1267","2004","02","05","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual da Serra do Ibitipoca. Margem da estrada em direção à Lombada.","-43.8839","-21.6844","1705","1705","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1286917' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132015","NY01132015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:44-03","UFRJ","RFA","32538","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Haynaldia","hilaireana","Haynaldia hilaireana","Kanitz","H.Q Boudet fernandes","1443","1985","08","27",NA,"Brasil","Espírito Santo","Santa Teresa","Patio do MBML. sobre barranco próximo a casa de hospedes","-40.6002998352051","-19.9356002807617",NA,NA,NA,"Arbusto com 4 m de altura. flores com cálice verde vináceo e corola lilás, heliófila","RFA36700",NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:04:14-03","ESALQ","ESA","98274","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Campanulaceae","Lobelia","hilaireana","Lobelia hilaireana",NA,"Silva, B.R.","1267.0","2004","02","05",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"ESA098274","ESA098274","30417","auto","Silva, B.R.","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:16:31-03","UFV","VIC","13232","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Lobelia","hilaireana","Lobelia hilaireana","(Kanitz) E. Wimm.","Heringer, E.P.","606","1941","06","08",NA,"Brasil","Minas Gerais","Coronel Pacheco","Est. Exp. de Café","-43.2655982971191","-21.5877990722656",NA,NA,NA,"Planta herbácea ereta, encontrada em lugares úmidos, brejos; flores vermelhas em cachos terminais.","VIC013232","VIC013232","10350","auto","Inst. Bot. de São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:16:31-03","UFV","VIC","5716","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Lobelia","hilaireana","Lobelia hilaireana","(Kanitz) E. Wimm.","Coons, M.P.; et al.","310","1977","02","23",NA,"Brasil","Minas Gerais",NA,"Parque Florestal da Serra de Ibitipoca, Beira da mata de galeria.",NA,NA,NA,NA,NA,"Cálice arroxeado, acrescente. Folhas laxas. Caule, nervuras e brácteas arroxeadas. Laticífera.","VIC005716","VIC005716",NA,NA,"Vieira, A.O.S.","2018","09","20",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:33:09-03","UFJF","CESJ","14622","PreservedSpecimen","Plantae","Angiosperma",NA,"Campanulaceae","Lobelia","hilaireana","Lobelia hilaireana","(Kanitz) E.Wimm.","L. Krieger","CESJ14622","1977","02","23","América do Sul","Brasil","Minas Gerais",NA,"Ibitipoca",NA,NA,NA,NA,NA,"Erva alta até 3-4m, folhas laxas; caule, nervuras e brácteas arroxeadas. Cálice arroxeado, acrescente, corola roxo profundo. Bastante comum, beira de mata. Lactífera.","CESJ014622",NA,NA,NA,"A.O.S.Vieira","1997","09","09",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:33:09-03","UFJF","CESJ","14622x","PreservedSpecimen","Plantae","Angiosperma",NA,"Campanulaceae","Lobelia","hilaireana","Lobelia hilaireana","(Kanitz) E.Wimm.","L. Krieger","CESJ14622","1977","02","23","América do Sul","Brasil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,NA,"Erva alta até 3-4m., folhas laxas; caule, nervuras e brácteas arroxeadas. Cálice arroxeado, acrescente, corola roxa profunda. Bastante comum, beira de mata. Lactífera.","CESJ14622X",NA,NA,NA,"A.O.S.Vieira","1997","09","09",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:33:09-03","UFJF","CESJ","24656","PreservedSpecimen","Plantae","Angiosperma",NA,"Campanulaceae","Lobelia","hilaireana","Lobelia hilaireana","(Kanitz) E.Wimm.","F.R.G. Salimena; et al.","s.n.,","1991","03","23","América do Sul","Brasil","Minas Gerais","São Francisco do Prata","Serra das Flores",NA,NA,NA,NA,NA,"Erva ca. 2,5 m alt., em campo de altitude úmido. Flores arroxeadas. População com grande número de indivíduos.","CESJ024656",NA,NA,NA,"A.O.S.Vieira","1997","09","25",NA,NA,NA,NA,NA,NA,NA
"9","2020-06-30 18:32:06-03","UFJF","CESJ","29095","PreservedSpecimen","Plantae","Angiosperma",NA,"Campanulaceae","Lobelia","hilaireana","Lobelia hilaireana","(Kanitz) E.Wimm.","L.G.Rodela","Q8-179","1996","03","22","América do Sul","Brasil","Minas Gerais",NA,"Parque Estadual do Ibitipoca, Pico do Pião",NA,NA,"1660","1660",NA,"Campo altimontano encharcado próximo. Folhas verdes e grandes na parte mais próximo ao solo e vinho/roxa na parte superior.","CESJ029095",NA,NA,NA,"A.O.S.Vieira","1997","09","25",NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:33:09-03","UFJF","CESJ","66532","PreservedSpecimen","Plantae","Angiosperma",NA,"Campanulaceae","Lobelia","hilaireana","Lobelia hilaireana","(Kanitz) E.Wimm.","V.A.O. Dittrich; L.V. Lima; E.J.O. Furtado","1924","2014","09","14","América do Sul","Brasil","Minas Gerais","Santa Rita do Jacutinga","Serra da Bandeira","-43.995944","-22.022306","1635","1635",NA,"Herbácea de aproximadamente 2,3m de altura em campo de altitude. Flores roxas, com odor levemente adocicado.","CESJ066532",NA,NA,NA,"V.A.O. Dittrich","2014","09",NA,"-43.995944","-22.022306",NA,NA,NA,NA,NA
