"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","247974","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","brevifolia","recurvata","Barbacenia brevifolia recurvata","L.B.Sm.","L. B. Smith","isotype","H. L. de M. Barreto","9526","1937","11","05","South America","Brazil","Minas Gerais","Diamantina","Guinda","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554958' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247974","NY00247974_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","247975","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","brevifolia","recurvata","Barbacenia brevifolia recurvata","L.B.Sm.","L. B. Smith","isotype","H. L. de M. Barreto","9526","1937","11","05","South America","Brazil","Minas Gerais","Diamantina","Guinda","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554959' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247975","NY00247975_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","898692","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard","L. B. Smith",NA,"H. S. Irwin","22186","1969","01","18","South America","Brazil","Minas Gerais",NA,"Ca. 12km SW of Diamantina. Serra do Espinhaço.","-43.7","-18.27","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=976864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898692","NY00898692_01","1370","1370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","898691","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard","L. B. Smith",NA,"H. S. Irwin","22532","1969","01","24","South America","Brazil","Minas Gerais","Datas","Serra do Espinhaço, vicinity of Datas","-43.6556","-18.44535","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=976861' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898691","NY00898691_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L 0041299","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard","Mello-Silva R de","type","Glaziou AFM",NA,"1892","04","04","Southern America","Brazil","Minas Gerais",NA,"Serra dos Crystaes pres diamentina.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200041299 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0041299","NL-L0041299",NA,NA,"Magnoliopsidae","2007","04","20","912180583",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L 0041300","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard","Mello-Silva R de","type","Unknown",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200041300 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0041300","NL-L0041300",NA,NA,"Magnoliopsidae","2007","04","20","93747336",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:09:44-03","NBC","NL-BOTANY","WAG.1189163","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard",NA,NA,"Irwin HS; Reis dos Santos R; Sousa R; Fonseca SF da",NA,"1969","01","24","Southern America","Brazil",NA,NA,"The Planalto do Brasil. Estado de Minas Gerais. Serra do Espinhaco.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1189163 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1189163","NL-WAG1189163",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:39:16-02","BGBM","B","B 10 0244755","S","Plantae",NA,NA,"Velloziaceae","Barbacenia","longiscapa",NA,"Barbacenia longiscapa","Goethart & Henrard",NA,"type ?","H. L. de Mello Barreto","9526",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"fragments and photo <a href=http://herbarium.bgbm.org/object/B100244755 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100244755","B100244755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:46:49-03","MBM","MBM","139002","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Pleurostima","inclinata",NA,"Pleurostima inclinata","(Goeth. & Henr.) Menezes","Menezes, N.L.",NA,"Hensold, N.; et al.; et al.","2861",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Itambé","Cabeça de Boi, a 5km de Itambé",NA,NA,NA,NA,"MBM139002","MBM139002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:46:49-03","MBM","MBM","139001","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Pleurostima","inclinata",NA,"Pleurostima inclinata","(Goeth. & Henr.) Menezes","Menezes, N.L.",NA,"Menezes, N.L.","558",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Diamantina","Estrada Diamantina - Conseelheiro Mata, km 20","-43.6002998352051","-18.2493991851807",NA,NA,"MBM139001","MBM139001",NA,NA,NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA
