"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","infraspecificEpithet","typeStatus","recordNumber","continentOcean","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","eventTime","fieldNumber","sex"
"1","2021-04-05 14:33:47-03","UNESC","CRI","11685","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","tenella","Myrciaria tenella","(DC.) O.Berg","Fábio C. S. Vieira","2020","04","17","Anderson Zilli Kruger","2002","11","15","Brasil","Santa Catarina","Praia Grande","Rio do Boi, PIC III.","-49.960556","-29.196944","49º57'38''W","29º11'49''S","CRI008651","CRI008651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","405033","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","tenella","Eugenia tenella glazioviana","Kiaersk.",NA,NA,NA,NA,"A. F. M. Glaziou",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"NY00405033","NY00405033_01","Magnoliophyta","Myrtales","glazioviana","possible type","13886","South America","sheet","donné par Mme Simard, sa fille en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714179' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","405032","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","tenella","Eugenia tenella","DC.",NA,NA,NA,NA,"Collector unspecified",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"NY00405032","NY00405032_01","Magnoliophyta","Myrtales",NA,"probable type","s.n.","South America","sheet","collector Martius? <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561818' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","405034","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","tenella","Eugenia tenella glazioviana","Kiaersk.",NA,NA,NA,NA,"A. F. M. Glaziou","1882","01","02","Brazil","Rio de Janeiro",NA,"Nova Friburgo [?illegible]",NA,NA,NA,NA,"NY00405034","NY00405034_01","Magnoliophyta","Myrtales","glazioviana","possible type","13886","South America","sheet","donné par Mme Simard, sa fille en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714180' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","405033","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","tenella","Eugenia tenella glazioviana","Kiaersk.",NA,NA,NA,NA,"A. F. M. Glaziou",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"NY00405033","NY00405033_01","Magnoliophyta","Myrtales","glazioviana","possible type","13886","South America","sheet","donné par Mme Simard, sa fille en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714179' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","405034","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","tenella","Eugenia tenella glazioviana","Kiaersk.",NA,NA,NA,NA,"A. F. M. Glaziou","1882","01","02","Brazil","Rio de Janeiro",NA,"Nova Friburgo [?illegible]",NA,NA,NA,NA,"NY00405034","NY00405034_01","Magnoliophyta","Myrtales","glazioviana","possible type","13886","South America","sheet","donné par Mme Simard, sa fille en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714180' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","616776","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","tenella","Myrciaria tenella","(DC.) O.Berg","C. M. D. E. Legrand",NA,NA,NA,"L. B. Smith","1957","02","04","Brazil","Santa Catarina","Porto Uniao","Rio Pintado, southeast of Pôrto Uniao","-51.0781","-26.2383",NA,NA,"NY00616776","NY00616776_01","Magnoliophyta","Myrtales",NA,NA,"10790","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532095' target='other'> <mi>dwc_moreinfo</mi></a>","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-01-26 16:22:00-02","NY","NYBG","1187580","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","tenella","Myrciaria tenella",NA,"B. K. Holst",NA,NA,NA,"D. C. Daly","1983","07","21","Bolivia","Santa Cruz","Chiquitos","Valle de Tucavaca, 30 km ENE of Santiago de Chiquitos","-59.13","-18.33",NA,NA,"NY01187580",NA,"Magnoliophyta","Myrtales",NA,NA,"2217","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1311868' target='other'> <mi>dwc_moreinfo</mi></a>","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","616794","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","tenella","Myrciaria tenella","(DC.) O.Berg","M. L. Kawasaki",NA,NA,NA,"M. H. Nee","1988","02","16","Bolivia","Santa Cruz","Florida","Gorge of Rio Pirai, ca. 1 km NE of junction woth Rio Bermejo","-63.55","-18.18",NA,NA,"NY00616794",NA,"Magnoliophyta","Myrtales",NA,NA,"36337","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532090' target='other'> <mi>dwc_moreinfo</mi></a>","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","616788","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","tenella","Myrciaria tenella","(DC.) O.Berg","M. Sobral",NA,NA,NA,"A. C. Brade","1951","05","20","Brazil","São Paulo",NA,"Serra da Bocaina","-44.678829","-22.840477",NA,NA,"NY00616788","NY00616788_01","Magnoliophyta","Myrtales",NA,NA,"20648","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532101' target='other'> <mi>dwc_moreinfo</mi></a>","1650","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA
