"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","class","order","imagecode","relatedCatalogItem","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","sex"
"1","2021-03-30 12:34:49-03","EAO","IAN","99714","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Cabrera, I","1962","Fróes, RL","33501","1957","09","11","Southern America","Brasil","Goiás","Rio das Garças, região do Araguaia, Balisa.","Planta herbácea a beira do rio.","IAN099714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:49-03","EAO","IAN","94188","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.",NA,NA,"Glaziou, AFM","13993",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,"IAN094188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2013-07-03 10:32:16-03","EBDA","BAH","1325","S","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Self.","1960","K. Khosla",NA,"1960","02",NA,NA,"India","Delhi","University campus.","A wild herb.",NA,"02","690","690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:49:49-03","NBC","NL-BOTANY","U.1118971","PreservedSpecimen","Plantae",NA,"Compositae","Gnaphalium","indicum","Gnaphalium indicum","L.",NA,NA,"Pedersen TM",NA,"1949","09","05","Southern America","Argentina",NA,"Estancia Santa Teresa, dep. Mburucuya prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1118971 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1118971",NA,NA,NA,"Magnoliopsidae","Asterales","NL-U1118971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:49:49-03","NBC","NL-BOTANY","U.1119161","PreservedSpecimen","Plantae",NA,"Compositae","Gnaphalium","polycaulon","Gnaphalium polycaulon","Pers.",NA,NA,"Prance GT; et al.",NA,"1968","07","12","Southern America","Brazil",NA,"Brazilian Amazonia, territory of Rondonia, basin of Rio Madeira. E. bank of Rio Madeira at Abuna.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1119161 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1119161",NA,NA,NA,"Magnoliopsidae","Asterales","NL-U1119161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:49:49-03","NBC","NL-BOTANY","U.1119162","PreservedSpecimen","Plantae",NA,"Compositae","Gnaphalium","polycaulon","Gnaphalium polycaulon","Pers.","Funk VA",NA,"Mutchnick P",NA,"1995","02","16","Southern America","Guyana","Potaro-Siparuni",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1119162 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1119162",NA,NA,NA,"Magnoliopsidae","Asterales","NL-U1119162","U 0138026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:36:08-03","MN","R","11549","PreservedSpecimen","Plantae",NA,"Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.",NA,NA,"Glaziou, A.F.M.","172","1862","07","18",NA,"Brasil","Rio de Janeiro",NA,"Plantas do Brasil Central","R000011549",NA,NA,NA,NA,NA,"R000011549_001",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA
"8","2019-02-15 11:34:14-02","IPA","IPA","62844","S","Plantae","Plantae","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Rita Pereira","1997","Baracho, G.; Siqueira-Filho, J.A.; Manderley, M.G.L.; Siqueira-Filho, J.A.; Manderley, M.G.L.","667","1997","09","05","Southern America","Brasil","Pernambuco","Mesoregião da Mata Pernambucana, Microregião da mata úmida. 170 km do centro do Recife. Frequênte no local de coleta, dentro do cercado do gado.","Pequena população ca. 5cm de altura; saxicola. Inflorescências terminais, vilosa. Sobre densa camada de matéria orgânica.","IPA0062844","09",NA,NA,NA,NA,NA,NA,"Maraial","-35.8088989257812","-8.78250026702881","17320","auto","05",NA,NA,NA,NA
"9","2019-02-15 11:34:14-02","IPA","IPA","1868","S","Plantae","Plantae","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.",NA,NA,"Andrade-Lima","50649","1950","09","18","Southern America","Brasil","Pernambuco","Jardim Dois Irmãos, próximo Sec. Bot.","Erva em canteiros incultos. Flor branco-creme. Folhas glaucas com lanugem argêntea","IPA0001868",NA,NA,NA,NA,NA,NA,NA,"Recife","-34.8810997009277","-8.05389022827148","18865","auto",NA,NA,NA,NA,NA
"10","2019-02-15 11:34:14-02","IPA","IPA","5115","S","Plantae","Plantae","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Mattfeld.","1929","Pickel, B.","478","1920",NA,NA,"Southern America","Brasil","Pernambuco","São Bento, campo de cultura.",NA,"IPA0005115","06",NA,NA,NA,NA,NA,NA,"São Lourenço da Mata","-35.0182991027832","-8.00222015380859","21764","auto",NA,NA,NA,NA,NA
"11","2019-07-26 11:39:27-03","IPA","IPA","48354","S","Plantae","Plantae","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Gallindo, F.","1986","Gallindo, F.","48354","1985","10","08","Southern America","Brasil","Paraíba","EMBRAPA-CNPA.","Erva 0,2 - 0,7m de altura. abundante. Flores amarelo-claras.","IPA0048354",NA,NA,NA,NA,NA,NA,NA,"Campina Grande","-35.8810997009277","-7.23055982589722","41577","auto",NA,NA,NA,NA,NA
"12","2019-02-15 11:34:14-02","IPA","IPA","49119","S","Plantae","Plantae","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Rita Pereira","1986","Lima, V.C.","319","1986","06","05","Southern America","Brasil","Pernambuco","Na subida da serra da Gameleira (Serra do Exu).","Erva ereta, formando touceiras, caule com pêlos brancos. Inflorescência amarelo-esverdeada.","IPA0049119","12",NA,NA,NA,NA,"IPA0049119",NA,"Exu","-39.7242012023926","-7.51194000244141","29194","auto","22",NA,NA,NA,NA
"13","2019-07-26 11:39:27-03","IPA","IPA","66637","S","Plantae","Plantae","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Rita Pereira; Cavalcanti, M.F.","2003","Rita Pereira","66637","2002","11","18","Southern America","Brasil","Pernambuco",NA,NA,"IPA0066637","07",NA,NA,NA,NA,NA,NA,"Garanhuns","-36.4928016662598","-8.89027976989746","21839","auto","05",NA,NA,NA,NA
"14","2019-02-15 11:34:14-02","IPA","IPA","60521","S","Plantae","Plantae","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Rita Pereira","1997","Rita Pereira; Lima, V.C.; Lima, V.C.","2002","1997","09","05","Southern America","Brasil","Pernambuco","Engenho Curtume, local úmido.","Erva ca. 20cm; inflorescência amarelo-ouro.","IPA0060521","09",NA,NA,NA,NA,NA,NA,"Maraial","-35.8088989257812","-8.78250026702881","17320","auto",NA,NA,NA,NA,NA
"15","2019-07-26 11:39:27-03","IPA","IPA","64673","S","Plantae","Plantae","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Cavalcanti, M.F.","2003","Eugênio, C.","64673","1997","06","20","Southern America","Brasil","Pernambuco","Reserva Ecológica de Caetés",NA,"IPA0064673","06",NA,NA,NA,NA,NA,NA,"Paulista","-34.8731002807617","-7.94083023071289","17375","auto","19",NA,NA,NA,NA
"16","2019-02-15 11:34:14-02","IPA","IPA","85050","S","Plantae","Plantae","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Gomes, P.; Sobral-Leite, M.","2009","Sobral-Leite, M.; Maciel, B.; Gomes, P.; Maciel, B.; Gomes, P.","440A","2007","08","18","Southern America","Brasil","Pernambuco","Inselbergue Pedra do Guariba, Agreste Pernambucano.","Erva terrestre da vegetação efêmera, junto com Bulbostylis scabra (Cyperaceae). Início de floração. Flores alvas, sem odor perceptível.; Caatinga hipoxerófila.","IPA0085050","04","685","685",NA,NA,NA,NA,"Caruaru","-35.843889","-8.381944",NA,NA,"29","-35.843889","-8.381944",NA,NA
"17","2019-02-15 11:34:14-02","IPA","IPA","87375","S","Plantae","Plantae","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Sobral-Leite, M.","2010","Sobral-Leite, M.; Gomes, P.; Gomes, P.","1170","2010","09","30","Southern America","Brasil","Pernambuco","Riacho Mentirosos, Bacia hidrográfica do Una. Sítio Flecheira.","Macrofita emergente nas margens alagáveis do rio, vegetando junto com Rotala ramosior (Lythraceae). População em inicio de floração. Estruturas reprodutivas brancas e marrons, sem odor perceptível.; Caatinga hipoxerófila.","IPA0087375","09","500","500",NA,NA,NA,NA,"Caruaru","-35.993056","-8.391111",NA,NA,"30","-35.993056","-8.391111",NA,NA
"18","2019-02-15 11:34:14-02","IPA","IPA","87394","S","Plantae","Plantae","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Josinaldo Alves","2011","Josinaldo Alves; Oliveira, M.; et al.; Oliveira, M.; et al.","656","2011","09","10","Southern America","Brasil","Pernambuco","Engenho Pereira","Erva ca. 10cm de altura. Flores diminutas esbranquiçadas.","IPA0087394","09",NA,NA,NA,NA,NA,NA,"Moreno","-35.15","-8.133333",NA,NA,"15","-35.15","-8.133333",NA,NA
"19","2019-02-15 11:34:14-02","IPA","IPA","78427","S","Plantae","Plantae","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Marques, J.S.","2007","Marques, J.S.; Albuquerque, N.A.; Alves-Araújo, A.; Araújo, D.; Albuquerque, N.A.; Alves-Araújo, A.; Araújo, D.","212","2007","08","15","Southern America","Brasil","Pernambuco","Mata dos Macacos, Usina São josé. Na borda.","Erva com capítulos pequenos.","IPA0078427","12",NA,NA,NA,NA,NA,NA,"Igarassu","-34.9063987731934","-7.83416986465454","24709","auto","05",NA,NA,NA,NA
"20","2019-07-26 11:39:27-03","IPA","IPA","32157","S","Plantae","Plantae","Asteraceae","Gnaphalium","indicum","Gnaphalium indicum","L.","Rita Pereira","1984","Chiappeta, A.; Barreto, R.; Gallindo, F.; Rita, L.; Lima, V.C.; Barreto, R.; Gallindo, F.; Rita, L.; Lima, V.C.","CFPE-654","1983","09","13","Southern America","Brasil","Pernambuco","Próximo ao Açude Tapacurá, no caminho para o Oiteiro de Pedro.","Erva de 25cm. Caule recoberto de lanugem alta; flores cremes e estames amarelos","IPA0032157","04",NA,NA,NA,NA,NA,NA,"São Lourenço da Mata","-35.0182991027832","-8.00222015380859","21764","auto","10",NA,NA,NA,NA
"21","2019-11-21 14:31:49-03","UFJF","CESJ","71624","PreservedSpecimen","Plantae","Angiosperma","Asteraceae","Gnaphalium","polycaulon","Gnaphalium polycaulon","Pers.","L.V.V. Cruz","2018","L.V.V. Cruz; S.G. Furtado; D.E.F. Barbosa; L. Menini Neto","224","2018","06","26","América do Sul","Brasil","Minas Gerais","Parque Nacional do Caparaó, Lagoas","Erva. Ca. 6 cm. Em manchas de campo úmido entre afloramentos. Próximo aos 3 lagos.","CESJ071624","10","2600","2600",NA,NA,NA,NA,"Alto Caparaó","-41.803697","-20.429931",NA,NA,"23","-41.803697","-20.429931",NA,NA
"22","2019-12-13 15:39:02-03","UFS","ASE","41945","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Gnaphalium","polycaulon","Gnaphalium polycaulon","Pers.","Fabricante, JR","2018","Mendonça, DA; Fabricante, JR","40","2018","07","31","Southern America","Brasil","Sergipe","Povoado Pé do veado, Sítio da Sra. Helena","Erva - aprox. 40 cm de altura. Flores tipo verticilastra cor amarelo e marrom e com presença de botão floral. Folhas alternas cor das faces abaxial verde claro e adaxial verde com pilosidadesem látex e de forma cuneiforme com margens","ASE0043457","08","196","196",NA,NA,NA,NA,"Itabaiana","-37.24537","-10.38274",NA,NA,"02","-37.24537","-10.38274",NA,NA
"23","2019-11-27 13:46:17-03","UFS","ASE","41613","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Gnaphalium","polycaulon","Gnaphalium polycaulon","Pers.","Santos, LAS","2019","Santana, JP; Santos, LAS","294","2019","09","04","Southern America","Brasil","Sergipe","Povoado Siririzinho","Herbácea com cerca de 10cm. Inflorescência com flores alvas.; Mata Atlântica.","ASE0043127","10",NA,NA,NA,NA,NA,NA,"Carmópolis","-37.083308","-10.678651",NA,NA,"09","-37.083308","-10.678651",NA,NA
