"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","phylum","verbatimLongitude","verbatimLatitude","typeStatus"
"1","2020-12-21 16:23:39-03","MBM","MBM","132775","PreservedSpecimen","Plantae","Eriocaulaceae","Paepalanthus","rhizomatosus","Paepalanthus rhizomatosus","Silveira","Trovó, M.I.O.","2010","03","26","Hensold, N.","692","1982","04","11","Southern America","Brazil","Minas Gerais","Diamantina","14 km from BR 367 between Diamantina and Curvejo, on road to São João da Chapada","-43.6002998352051","-18.2493991851807","101169","Borders of drainage depressions. Brejo, sandy campo.","MBM132775","MBM132775","auto",NA,NA,NA,NA
"2","2020-12-11 11:44:06-03","UFMG","BHCB","8164","PreservedSpecimen","Plantae","Eriocaulaceae","Paepalanthus","rhizomatosus","Paepalanthus rhizomatosus","Silveira",NA,NA,NA,NA,"Grandi, TSM; et al.","2302","1987","01","10","Southern America","Brasil","Minas Gerais","Diamantina","Conselheiro Mata.","-43.6002998352051","-18.2493991851807","101169","Campo;herbáceo;",NA,NA,"auto","Monocotyledon",NA,NA,NA
"3","2019-11-13 11:19:24-03","USP","SPF","227116","PreservedSpecimen","Plantae","Eriocaulaceae","Actinocephalus","rhizomatosus","Actinocephalus rhizomatosus","(Silveira) F.N.Costa","Costa, FN",NA,NA,NA,"Andrino, CO","91","2011","11","19",NA,"Brasil","Minas Gerais","Diamantina",NA,"-43.715194","-18.161417",NA,NA,"SPF00227116",NA,NA,NA,"-43.715194","-18.161417",NA
"4","2021-02-23 13:22:10-03","MN","R-TIPOS","181882","PreservedSpecimen","Plantae","Eriocaulaceae","Actinocephalus","rhizomatosus","Actinocephalus rhizomatosus","(Silveira) F.N. Costa","Costa, F.N.","2005","10",NA,"Silveira, A.A.","HS - 761","1925","06",NA,NA,"Brasil","Minas Gerais","Barauna","Serra do Espinhaço.",NA,NA,NA,NA,"R000181882","R000181882_001",NA,NA,NA,NA,"Holotypus de Paepalanthus rhizomatosus Silveira"
