"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","county","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01132232","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Abildgaardia","disticha","Abildgaardia disticha","Lye","isotype","R. M. Harley","19356","1977","03","03","South America","Brazil","Bahia","Summit of Morro do Chapeu, ca. 8 km. S.W. of the town of Morro do Chapeu to the West of the road to Utinga. Morro do Chapeu.","-41.2","-11.58","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1294007' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132232","NY01132232_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:12:41-03","NBC","NL-BOTANY","U 0067416","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Bulbostylis","distichoides","Bulbostylis distichoides","Lye","isotype","Harley RM; Mayo SJ; Storr RM; Santos TS dos; Pinheiro RS",NA,"1977","03","03","Southern America","Brazil","Bahia","Summit of Morro do Chapeu, c. 8 km. SW. of the town of Morro do Chapeu to the West of the road to Utinga.","-41.2","-11.583333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200067416 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0067416","NL-U0067416","Magnoliopsidae","Prata AP","2003","08","01","-41.2","-11.583333","96196",NA,NA,NA,NA
"3","2021-03-01 11:55:22-03","UFPE","UFP","45475","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Bulbostylis","distichoides","Bulbostylis distichoides","Lye",NA,"R.C.Forzza; P.Leitman, MMSaavedra; Silva, JC","4306","2006","11","20",NA,"Brasil","Minas Gerais",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,"Mata e campo ao lado do alojamento. Erva em campo arenoso.; Mata e campo ao lado do alojamento. Erva em campo arenoso.","UFP045475",NA,NA,"Marccus, Alves","2007","11",NA,NA,NA,NA,"Lima Duarte","30417","auto",NA
"4","2020-09-12 05:00:02-03","US","US","3405615","PreservedSpecimen","Plantae",NA,"Cyperales","Cyperaceae","Abildgaardia","disticha","Abildgaardia disticha","Lye","Isotype","R. M. Harley","19356","1977","3","3","South America - Neotropics","Brazil","Bahia","Summit of Morro do Chapeau, ca. 8 km SW of the town of Morro do Chapeau to the west of the road to Utinga.",NA,NA,NA,NA,NA,NA,"US00664129","US00664129_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"5","2019-11-13 11:18:30-03","USP","SPF","181540","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","distichoides","Bulbostylis distichoides","Lye",NA,"Forzza, RC","4306","2006","11","20",NA,"Brasil","Minas Gerais","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"SPF00181540",NA,NA,"Alves, M","2007",NA,NA,NA,NA,NA,"Lima Duarte","30417","auto",NA
"6","2019-10-07 09:20:48-03","UEFS","HUEFS","8741","PreservedSpecimen","Plantae","Angiospermae","Poales","Cyperaceae","Bulbostylis","distichoides","Bulbostylis distichoides","Lye",NA,"Costa, A.L.",NA,"1975","05","17",NA,"Brasil","Bahia",NA,"-41.1561012268066","-11.5500001907349","800","900",NA,NA,"HUEFS0008741","HUEFS0008741","Lilianae","A.P.Prata","2006","02",NA,NA,NA,NA,"Morro do Chapéu","98143","auto",NA
"7","2019-10-07 09:20:48-03","UEFS","HUEFS","106002","PreservedSpecimen","Plantae","Angiospermae","Poales","Cyperaceae","Bulbostylis","distichoides","Bulbostylis distichoides","Lye",NA,"Harley, R.M.","19356","1977","03","03",NA,"Brasil","Bahia","Summit of Morro do Chapéu, 8 Km SW of the town of Morro do Chapéu to the west of the road to Utinga.","-41.1561012268066","-11.5500001907349",NA,NA,NA,NA,"HUEFS0106002",NA,"Lilianae",NA,NA,NA,NA,NA,NA,NA,"Morro do Chapéu","98143","auto",NA
"8","2019-09-04 17:27:43-03","F","FMNH-SEEDPLANTS","V0045383F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Cyperaceae","Abildgaardia","disticha","Abildgaardia disticha",NA,"Isotype","R. Harley","19356","1977","3","3","South America","Brazil",NA,"Morro Do Chapeu",NA,NA,NA,NA,NA,NA,"V0045383F","V0045383F_01","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
