"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","514501","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","cuspidata","Serjania cuspidata","Cambess.","P. Acevedo-Rodríguez","H. W. Schott","5592","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Prope Rio de Janeiro.","-43.448386","-22.913514","sheet","Schott (D.no. 725) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514501","NY00514501_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","514497","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","cuspidata","Serjania cuspidata","Cambess.","P. Acevedo-Rodríguez","G. Eiten","7845","South America","Brazil","Rio de Janeiro","Magé","At Mauá Beach on Guanabara BAy. 100 m from shore.","-43.0406","-22.6531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201633' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514497","NY00514497_01","1966","11","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1181459","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","cuspidata","Serjania cuspidata","Cambess.","M. Faria","M. Faria","112","South America","Brazil","Rio de Janeiro","Paratí","Praia de São Gonçalo. Praia de São Gonçalo na ca. do estacionamento, em área antropizada, solo arenoso.","-44.6175","-23.0428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1370112' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181459","NY01181459_01","2008","07","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","514511","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","cuspidata","Serjania cuspidata","Cambess.","G. V. Somner","D. S. Souza","117","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Praia Vermelha, Morro da Urca.","-43.164746","-22.955216","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514511","NY00514511_01","1980","09","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","514486","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","cuspidata","Serjania cuspidata","Cambess.","P. Acevedo-Rodríguez","P. K. H. Dusén","1986","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Jacarepaguá, in fruticetis.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514486","NY00514486_01","1903","03","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","514496","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","cuspidata","Serjania cuspidata","Cambess.",NA,"D. S. D. de Araújo","6284","South America","Brazil","Rio de Janeiro","Angra dos Reis","Ilha Grande, Reserva Biológica Estadual da Praia do Sul.","-44.28","-23.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514496","NY00514496_01","1984","05","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","514494","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","cuspidata","Serjania cuspidata","Cambess.","G. M. Barroso; G. V. Somner","B. D. Sucre","8085","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Restinga de Jacarepaguá.","-43.397161","-23.010952","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514494","NY00514494_01","1971","12","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","514498","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","cuspidata","Serjania cuspidata","Cambess.","P. Acevedo-Rodríguez","G. Eiten","7845","South America","Brazil","Rio de Janeiro","Magé","At Mauá Beach on Guanabara BAy. 100 m from shore.","-43.0406","-22.6531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514498","NY00514498_01","1966","11","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","514506","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","cuspidata","Serjania cuspidata","Cambess.","G. V. Somner","H. C. de Lima","556","South America","Brazil","Rio de Janeiro","Saquarema","Saquarema, Restinga de Jaconé.","-42.5103","-22.9203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514506","NY00514506_01","1978","05","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","514491","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","cuspidata","Serjania cuspidata","Cambess.","P. Acevedo-Rodríguez","Mr. Hombron","s.n.","South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","(Astrol & Zéléc 1838-40) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201629' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514491","NY00514491_01","1841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
