"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","886821","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","J. G. Jardim","1479","1998","02","03","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca. 7.5 km percorrendo mais 1.7 km até a sede da Faz. Teimoso. Serra do Teimoso. RPPN Serra do Teimoso.","-39.58","-15.17","300","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886821","NY00886821_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2172091","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"C. R. Sperling","6400","1982","06","17","South America","Brazil","Pará",NA,"8 km SE of Rio Itacaiunas then 3 km south on secondary road past mining exploration camp","-50.43","-5.97","400","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319310' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172091","NY02172091_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","869147","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","D. C. Daly","732","1980","10","24","South America","Brazil","Maranhão","Santa Luzia","Approx. 50 km from Santa Luzia on highway to Açailândia.","-45.95","-4.08",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869147","NY00869147_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","565895","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","I. Cordeiro","185","1985","07","08","South America","Brazil","Amazonas","Barcelos","Próximo a basse da Serra do Aracá, acesso pelo rio Jauari (Cuieiras), afluente do Rio Aracá","-63.35","0.8",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565895","NY00565895_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2172095","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"W. A. Archer","8197","1943","01","26","South America","Brazil","Pará","Belém","South woods of I.A.N.","-48.506461","-1.461156",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319330' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172095","NY02172095_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2172088","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"D. C. Daly","4310","1986","11","10","South America","Brazil","Amazonas","Tefé","Vila Nogueira slightly west of acros, Lago Tefé from torn.","-64.780916","-3.3006428",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319307' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172088","NY02172088_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1738109","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","L.A. Gomes","L.A. Gomes","258","2011","11","11","South America","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto.","-37.41886","-11.38594",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1965335' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738109","NY01738109_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1413878","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","H. Medeiros","433","2010","04","11","South America","Brazil","Acre","Porto Acre","Reserva Florestal Humaíta, estrada AC 40, Km 27.","-67.67083","-9.751","152","152","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412420' target='other'> <mi>dwc_moreinfo</mi></a>","NY01413878","NY01413878_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","565888","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","C. C. Berg","J. G. Jardim","847","1996","07","23","South America","Brazil","Bahia","Santa Luzia","Município de Santa Luzia/Una, entrada a 11.3 km a E da sede do município. Serra da Onça, ca. 4.5 km da entrada","-39.2569077","-15.3417536","510","510","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565888","NY00565888_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2172100","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,"G. T. Prance","25884","1977","11","29","South America","Brazil","Pará",NA,"BR 230, Transamazon highway; 15 km W of Ruropolis Presidente Medici towards Itaituba","-55.0481","-4.1075",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319335' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172100","NY02172100_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
