"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:36:37-03","E","E","144268","PreservedSpecimen","Plantae","Boraginaceae","Cordia","insignis","Cordia insignis","M.J.G.Hopkins, S.Beck, L.E.Forero, H.Phipps, N.Hernandez & H.Wolf","102","1983","07","26","Central America","BO","herbarium specimen of unspecif","BGBASE:153109","<a href=http://data.rbge.org.uk/herb/E00144268 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00144268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00857973","PreservedSpecimen","Plantae","Boraginaceae","Cordia","insignis","Cordia insignis","S. A. Mori","16707","1984","07","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857973","Magnoliophyta","Boraginales","Cham.","J. A. Kallunki","Mato Grosso","Chapada dos Guimarães","Rio Mutuca. MT251, 30 km NNE of Cuiabá on Cuiabá/Chapada dos Guimarães Highway.","-55.7494","-15.4608","200","200","NY00857973_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00857967","PreservedSpecimen","Plantae","Boraginaceae","Cordia","insignis","Cordia insignis","H. S. Irwin","16619","1966","06","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949529' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857967","Magnoliophyta","Boraginales","Cham.","G. Agostini","Mato Grosso",NA,"Ca. 86 km. N. of Xavantina. Serra do Roncador.","-52.08","-13.92","550","550","NY00857967_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02341820","PreservedSpecimen","Plantae","Boraginaceae","Cordia","insignis","Cordia insignis","Martii Herbar. Florae Brasil.","269","1841",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531718' target='other'> <mi>dwc_moreinfo</mi></a>","NY02341820","Magnoliophyta","Boraginales","Cham.",NA,NA,NA,"Morro do Ernesto, Cuyabá",NA,NA,NA,NA,"NY02341820_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00857978","PreservedSpecimen","Plantae","Boraginaceae","Cordia","insignis","Cordia insignis","J. A. Ratter","R.1585","1968","05","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857978","Magnoliophyta","Boraginales","Cham.","J. A. Ratter","Mato Grosso","Ribeirão Cascalheira","Córrego de Gato, 220 km. N of Xavantina on the Xavantina-São Felix road.","-51.82961","-12.925",NA,NA,"NY00857978_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00857977","PreservedSpecimen","Plantae","Boraginaceae","Cordia","insignis","Cordia insignis","J. A. Ratter","R.3321","1976","07","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857977","Magnoliophyta","Boraginales","Cham.",NA,"Mato Grosso",NA,"Caveira de Indio, approx. 10 km W of Xavantina on the N bank of the Rio das Montes.","-52.33","-14.73",NA,NA,"NY00857977_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00857976","PreservedSpecimen","Plantae","Boraginaceae","Cordia","insignis","Cordia insignis","J. A. Ratter","R.1267","1968","05","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857976","Magnoliophyta","Boraginales","Cham.","J. A. Ratter","Mato Grosso",NA,"15 km N of Barra do Garças on the road to Xavantina.",NA,NA,NA,NA,"NY00857976_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00857980","PreservedSpecimen","Plantae","Boraginaceae","Cordia","insignis","Cordia insignis","L. M. M. Carreira","711","1983","05","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949766' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857980","Magnoliophyta","Boraginales","Cham.","J. A. Kallunki","Mato Grosso",NA,"Estrada de Pontes e Lacerda a Vila Bela.","-59.6331","-15.1231",NA,NA,"NY00857980_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","401038","PreservedSpecimen","Plantae","Boraginaceae","Cordia","insignis","Cordia insignis","C. E. O. Kuntze",NA,"1892","07",NA,"South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=458242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401038","Magnoliophyta","Boraginales","Cham.","I. M. Johnston",NA,NA,NA,NA,NA,NA,NA,"NY00401038_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00857968","PreservedSpecimen","Plantae","Boraginaceae","Cordia","insignis","Cordia insignis","H. S. Irwin","16806","1966","06","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857968","Magnoliophyta","Boraginales","Cham.","G. Agostini","Mato Grosso",NA,"Ca. 20 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.32","-14.82","400","400","NY00857968_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
