"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","yearIdentified","verbatimLongitude","verbatimLatitude","individualCount","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","4626","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke","isotype","W. A. Ducke","RB35087","1937","01","27","South America","Brazil","Amazonas","São Paulo de Olivença","São Paulo de Olivença, Rio Solimões","-68.93558","-3.4590837","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=37964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004626","NY00004626_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4625","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke","isotype","W. A. Ducke","RB35087","1937","01","27","South America","Brazil","Amazonas","São Paulo de Olivença","São Paulo de Olivença, Rio Solimões","-68.93558","-3.4590837","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=37963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004625","NY00004625_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1135819","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke",NA,"W. A. Rodrigues","4993","1963","02","28","South America","Brazil","Amazonas","Manaus","Estrada Manaus-Itacoatiara, Km 60.","-59.7181875","-2.7016243","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1374180' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135819","NY01135819_01","M. R. Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1185430","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke","isotype","W. A. Ducke","s.n.","1937","01","27","South America","Brazil","Amazonas","São Paulo de Olivença","São Paulo de Olivença","-68.9350837","-3.4711744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1398502' target='other'> <mi>dwc_moreinfo</mi></a>","NY01185430","NY01185430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:40:18-03","EAO","IAN","16419","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke",NA,"Fróes, RL","21032","1945","06","02","Southern America","Brasil","Amazonas",NA,"Riosinho Juruema, Rio Jutahy.",NA,NA,NA,"Árvore.","IAN016419","IAN016419 IAN016419_1 IAN016419_d IAN016419_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:40:18-03","EAO","IAN","135008","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke",NA,"Silva, NT da","3152",NA,NA,NA,"Southern America","Brasil","Pará",NA,"Estrada de Munguba km 15. Mata de terra firme.",NA,NA,NA,"Árvore de 14m e 23cm de diâm. cálice marron, corola e estames amarelos.","IAN135008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:40:18-03","EAO","IAN","136292","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke",NA,"Silva, NT da","3229","1970","06","20","Southern America","Brasil","Pará",NA,"Estrada de Munguba km 14. Mata de terra firme.",NA,NA,NA,"Árvore de 18m e 24cm de diâm.","IAN136292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:40:18-03","EAO","IAN","151192","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke",NA,"Rosa, NA; Coêlho, LF","590","1975","11","17","Southern America","Brasil","Amazonas",NA,"Projeto RADAM, ponto 8-SB-19-XA.",NA,NA,NA,"Árvore de 25m e 1,60m de circ.Madeira dura.","IAN151192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:40:18-03","EAO","IAN","XILO5220X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke",NA,"Silva, NT da","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO5220X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:40:18-03","EAO","IAN","XILO5220X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke",NA,"Silva, NT da","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO5220X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-08 17:40:18-03","EAO","IAN","XILO5248X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke",NA,"Silva, NT da","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO5248X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-08 17:40:18-03","EAO","IAN","XILO5248X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke",NA,"Silva, NT da","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO5248X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-08 17:40:18-03","EAO","IAN","XILO5705X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke",NA,"sc","s.n.","1992","08","31","Southern America","Brasil","Pará",NA,"Jari",NA,NA,NA,NA,"IANXILO5705X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-08 17:40:18-03","EAO","IAN","XILO5705X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke",NA,"sc","s.n.","1992","08","31","Southern America","Brasil","Pará",NA,"Jari",NA,NA,NA,NA,"IANXILO5705X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-08 17:40:18-03","EAO","IAN","XILO5793","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke",NA,"Silva, NT da","3152",NA,NA,NA,"Southern America","Brasil","Pará",NA,"Estrada de Munguba km 15. Mata de terra firme.",NA,NA,NA,"Árvore de 14m e 23cm de diâm. cálice marron, corola e estames amarelos.","IANXILO5793",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-08 17:40:18-03","EAO","IAN","50523a","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke","isotipo","Ducke, A","s.n.","1937","01","27","Southern America","Brasil","Amazonas","São Paulo de Olivença","Rio Solimões, mata de terra firme.","-68.8724975585938","-3.37832999229431",NA,"(Herbário Jard. Bot.R. de Janeiro).; Árvore grande, pétalas amarelas.","IAN50523a",NA,NA,"362329","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-08 17:40:18-03","EAO","IAN","50523","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke","isotipo","Ducke, A","s.n.","1937","01","27","Southern America","Brasil","Amazonas","São Paulo de Olivença","Rio Solimões, mata de terra firme.","-68.8724975585938","-3.37832999229431",NA,"(Herbário Jard. Bot.R. de Janeiro).; Árvore grande, pétalas amarelas.","IAN050523",NA,NA,"362329","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 09:08:01-03","NBC","NL-BOTANY","U 0003302","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Caes.","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke","isotype","Ducke A",NA,"1937","01","27","Southern America","Brazil","Amazonas",NA,"Sao Paulo de Olivença (civ. Amazonas)",NA,NA,NA,"silva non inundabili<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003302 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003302","NL-U0003302","Ducke A",NA,NA,"Magnoliopsidae","40621 A",NA,NA,NA,NA,NA,NA
"19","2013-04-01 09:19:37-03","IPT","BCTW","13230","S","Plantae","Magnoliophyta",NA,NA,"Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke",NA,"Silva, N.T.","3152",NA,NA,NA,NA,"Brasil","Pará",NA,"Jari",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA
"20","2015-09-04 02:39:24-03","MNHN","RECOLNAT_MNHN_P","P03104108","PreservedSpecimen",NA,NA,NA,"Fabaceae","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke","isotype","Ducke, A.",NA,"1937","1","27",NA,"Brésil",NA,NA,"Sao Paulo de Olivença (civ. Amazonas)",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03104108' target='other'> <mi>dwc_moreinfo</mi></a>","P03104108","P03104108_01 P03104108_02",NA,NA,NA,NA,NA,"35087",NA,NA,NA,NA,NA
"21","2020-10-01 14:20:27-03","JBB","HEPH","4539","S","Plantae","Dicotyledon","Fabales","Fabaceae","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke",NA,"Rodrigues, W","4993","1963","02","28","Southern America","Brasil","Amazonas","Manaus","Estrada Manaus-Itacoatiara Km 60","-60.0250015258789","-3.10193991661072",NA,"Ocasional na mata",NA,NA,"Cowan, RS","138090","auto",NA,NA,NA,"1973",NA,NA,NA,NA
"22","2021-01-10 20:42:18-03","INPA","INPA","39619","S","Plantae","Dicotyledon","Fabales","Leguminosae-Caes","Recordoxylon","stenopetalum","Recordoxylon stenopetalum","Ducke","isolectotype","Ducke, A","RB35087","1937","01","27","Southern America","Brasil","Amazonas","São Paulo de Olivença",NA,"-69.456944","-3.639722",NA,NA,"INPA0039619","INPA0039619",NA,NA,NA,NA,NA,NA,NA,"-69.456944","-3.639722",NA,NA
