"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","day","stateProvince","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount"
"1","2016-10-21 18:24:00-02","NY","NYBG","806541","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chromolaena","rhinanthacea","Chromolaena rhinanthacea","E. Hassler","9015","1905","02","South America","Paraguay","In viciniis Caaguazú.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","806540","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chromolaena","rhinanthacea","Chromolaena rhinanthacea","P. K. H. Dusén","14590","1914","03","South America","Brazil","Curityba opp.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806540","(DC.) R.M.King & H.Rob.","12","Paraná","900","900","NY00806540_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","806539","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chromolaena","rhinanthacea","Chromolaena rhinanthacea","P. K. H. Dusén","8272","1909","03","South America","Brazil","Curityba.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806539","(DC.) R.M.King & H.Rob.","16","Paraná",NA,NA,"NY00806539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:37:05-03","EAO","IAN","81657","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Eupatorium","rhinanthaceum","Eupatorium rhinanthaceum","Sellow, F","s.n.",NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN081657","DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:27:29-03","IAP","PACA-AGP","28300","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","rhinanthaceum","Eupatorium rhinanthaceum","Rambo, B.",NA,"1945","03",NA,"Brasil","ad fl. Uruguai",NA,"Habitat: in campestribus siccis graminosis Fenofase: flor","PACA028300","DC.",NA,"RS",NA,NA,NA,"Magnoliatae","Emrich-Rambo","1954","06","30","Nonoai","-52.7714004516602","-27.3617000579834","35080","auto",NA,NA,NA,NA,NA
"6","2019-08-27 13:27:29-03","IAP","PACA-AGP","40842","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","rhinanthaceum","Eupatorium rhinanthaceum","Rambo, B.",NA,"1949","04",NA,"Brasil","Granja Neugebauer p. Itapoan",NA,"SEM MATERIAL Habitat: in campestribus siccis dumetosis Fenofase: flor","PACA040842","DC.","03","RS",NA,NA,NA,"Magnoliatae","Emrich-Rambo","1954","06","30","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA
"7","2019-08-27 13:27:29-03","IAP","PACA-AGP","32351","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","rhinanthaceum","Eupatorium rhinanthaceum","Rambo, B.",NA,"1946","02",NA,"Brasil",NA,NA,"Habitat: in campestribus siccis dumetosis Fenofase: flor","PACA032351","DC.","27","RS",NA,NA,NA,"Magnoliatae","Emrich-Rambo","1954","06","30","Vacaria","-50.9338989257812","-28.5121994018555","63451","auto",NA,NA,NA,NA,NA
"8","2019-08-27 13:27:29-03","IAP","PACA-AGP","47294","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","rhinanthaceum","Eupatorium rhinanthaceum","Emrich, K.",NA,"1949",NA,NA,"Brasil","Montserrat",NA,"Habitat: in campestribus siccis dumetosis Fenofase: flor","PACA047294","DC.",NA,"RS",NA,NA,NA,"Magnoliatae","Emrich-Rambo","1954","06","30","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA
"9","2019-08-27 13:27:29-03","IAP","PACA-AGP","41295","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","rhinanthaceum","Eupatorium rhinanthaceum","Rambo, B.",NA,"1949","04",NA,"Brasil","Morro Santa Teresa",NA,"SEM MATERIAL Habitat: in campestribus siccis dumetosis Fenofase: flor","PACA041295","DC.","29","RS",NA,NA,NA,"Magnoliatae","Emrich-Rambo","1954","06","30","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA
"10","2019-08-27 13:27:29-03","IAP","PACA-AGP","526","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","rhinanthaceum","Eupatorium rhinanthaceum","Rambo, B.",NA,"1931","11",NA,"Brasil","Vila Manresa",NA,"Habitat: in campestribus siccis dumetosis Fenofase: flor","PACA000526","DC.","02","RS",NA,NA,NA,"Magnoliatae","Emrich-Rambo","1954","06","30","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA
