"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1144751","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cryptangium","claussenii","Cryptangium claussenii","C.B.Clarke","W. W. Thomas","M. F. A. Calió","185","2007","01","20","South America","Brazil","Minas Gerais","Congonhas do Norte","Serra Talhada ((setor nordeste da Serra do Cipó), 9 km. S de Congonhas do Norte na estrada para Conceição do Mato Dentro, entrada para Extrema seguindo ca. 11 km. - Estrada para Lapinha.","-43.68503","-18.93744","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299125' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144751","NY01144751_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01096195","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cryptangium","minarum","Cryptangium minarum","(Nees) Boeckeler","S. M. Costa","H. C. de Lima","5999","2002","01","30","South America","Brazil","Rio de Janeiro","Nova Iguaçú","Rebio do Tinguá. Pico do Tinguá, trilha do Rala, Sápe.","-43.4842","-22.5894","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1234721' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096195","NY01096195_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","622914","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","claussenii","Lagenocarpus claussenii","(C.B.Clarke) H.Pfeiff.","W. W. Thomas","G. G. Hatschbach","48325","1984","09","17","South America","Brazil","Bahia",NA,"Mucugê, rodovia para Andaraí.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=596808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622914","NY00622914_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","622915","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","claussenii","Lagenocarpus claussenii","(C.B.Clarke) H.Pfeiff.","S. J. Mayo","A. Furlan","CFCR 2124","1981","09","08","South America","Brazil","Bahia",NA,"Mucugê. Estrada nova Andaraí-Mucugê, entre 11-13 Km de Mucugê.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=596809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622915","NY00622915_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00926357","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","minarum","Lagenocarpus minarum","(Nees) Kuntze","T. M. Koyama","H. S. Irwin","30217","1971","01","13","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, near summit of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.67613","-19.82237","1800","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002695' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926357","NY00926357_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00926358","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","minarum","Lagenocarpus minarum","(Nees) Kuntze","T. M. Koyama","H. S. Irwin","29025","1971","01","24","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 10 km W. of Barão de Cocais","-43.4927778","-20.1263","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926358","NY00926358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00926362","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","minarum","Lagenocarpus minarum","(Nees) Kuntze","T. M. Koyama","L. Emygdio de Mello Filho","3555","1972","07","21","South America","Brazil","Minas Gerais",NA,"Caraça.","-43.4881089","-20.0987894","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926362","NY00926362_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00926355","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","minarum","Lagenocarpus minarum","(Nees) Kuntze","T. M. Koyama","H. S. Irwin","20796","1968","02","24","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, at Lapinha, ca. 19km N. of Sêrro on road (MG 2) to Diamantina.","-43.55","-18.55","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926355","NY00926355_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00926363","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","minarum","Lagenocarpus minarum","(Nees) Kuntze","T. M. Koyama","P. L. Krieger","24254","1989","10","11","South America","Brazil","Minas Gerais","Lima Duarte","Mascente do Pirapitinga.","-43.7931","-21.8428",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926363","NY00926363_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00926353","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","minarum","Lagenocarpus minarum","(Nees) Kuntze","T. M. Koyama","H. S. Irwin","12496","1966","02","10","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926353","NY00926353_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
