"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","continentOcean","individualCount","imagecode","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2019-08-27 13:27:36-03","IAP","PACA-AGP","92096","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","C. Mondin","2001","11","C. Mondin & A. Iob","2454","2001","11","11","Brasil","RS","São José dos Ausentes","entre o Posto de Fiscalização e a Rocinha","-50.0657997131348","-28.7483005523682","42598","Capítulos brancos. HASU 15385.&nf;EM PERIGO. Habitat: Campo úmido.","PACA092096","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:27:36-03","IAP","PACA-AGP","92095","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","C. Mondin",NA,NA,"C. Mondin & A. Iob","2464","2001","11","11","Brasil","RS","São José dos Ausentes","Serra da Rocinha","-50.0657997131348","-28.7483005523682","42598","Capítulos brancos. HASU 15386. EM PERIGO. Habitat: Turfeira. Hábito: erva","PACA092095","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-01-17 11:24:29-02","PUCRS","MPUC","11132","S","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","C.A. Mondin","N.I. Matzenbacher",NA,NA,NA,NA,"2004","12","15","Brasil","SC","São Joaquim",".","-49.9317016601562","-28.2938995361328","48290",NA,NA,"auto","South America","1",NA,NA,NA,NA,NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","2456862","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin",NA,NA,NA,"Cláudio A. Mondin","Mondin 982","1994","8","21","Brazil","Rio Grande do Sul",NA,"São José dos Ausentes. Serra da Rocinha",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","3562996","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Asterales","Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin",NA,NA,NA,"J. M. Silva, J. Cordeiro, C. Poliquesi & J. Vaz","7225","2008","11","16","Brazil","Santa Catarina",NA,"Boca da Serra (Mun. Bom Jardim da Serra) Santa Catarina",NA,NA,NA,NA,"US01621575",NA,"South America","1","US01621575_01",NA,NA,NA,NA,NA,NA
"6","2020-08-20 14:55:09-03","UFSC","FLOR","66890","PreservedSpecimen","Plantae",NA,NA,"Asterales","Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Funez, L.A.","2019","04","Funez, L.A.; Costa-Rezende, D.H.; Ribeiro-Nardes, W.; Comin, M.","8437","2018","11","10","Brasil","Santa Catarina","Bom Jardim da Serra","Parque Nacional de São Joaquim. Campos de Santa Bárbara. Parque Nacional de São Joaquim","-49.606389","-28.162222",NA,"Erva. Lígulas amarelas Habitat: Campo limpo Habito: Erva","FLOR0066890",NA,NA,NA,"FLOR0066890","10","49º36'23''W","28º9'44''S","1665","1665",NA
"7","2021-02-08 12:36:25-03","UFRGS","ICN","110231","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Mondin, C",NA,NA,"Hagelund, K","12618","1978","10","20","Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203","55856","Espécie ameaçada de extinção (Em perigo).","ICN00000074","auto","América do Sul",NA,"ICN00000074",NA,NA,NA,NA,NA,"Paratypus"
"8","2021-02-08 12:36:25-03","UFRGS","ICN","106505","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin",NA,NA,NA,"Mondin, CA; Matzenbacher, NI; Ritter, MR","982","1994","10","21","Brasil","RS","Cambará do Sul","Serra da Rocinha divisa entre SC e RS","-50.1446990966797","-29.0478000640869","30776","Espécie ameaçada de extinção (Em perigo).; Lígulas brancas com extremidades rosadas.; Em turfeira.","ICN00000038","auto","América do Sul",NA,"ICN00000038 ICN00000038_1 ICN00000038_2",NA,NA,NA,NA,NA,"Isotypus"
"9","2021-02-08 12:36:25-03","UFRGS","ICN","106301","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Mondin, C",NA,NA,"Matzenbacher, NI","s.n.","1994","12","08","Brasil","SC","Bom Jardim da Serra","Serra do Rio do Rastro","-49.624698638916","-28.3369007110596","32577","Espécie ameaçada de extinção (Em perigo).; Local seco.","ICN00000037","auto","América do Sul",NA,"ICN00000037",NA,NA,NA,"1300","1300","Paratypus"
"10","2021-02-08 12:36:25-03","UFRGS","ICN","106303","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Mondin, C",NA,NA,"Matzenbacher, NI","s.n.","1994","12","09","Brasil","SC","Rio do Rastro","Bom Jardim da Serra",NA,NA,NA,NA,"ICN00000036",NA,"América do Sul",NA,"ICN00000036",NA,NA,NA,NA,NA,"Paratypus"
"11","2021-02-08 12:36:25-03","UFRGS","ICN","137541","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Holocheilus","monocephalus","Holocheilus monocephalus","Mondin","Matzenbacher, NI",NA,NA,"Matzenbacher, NI","s.n.","2004","12","15","Brasil","SC","São Joaquim","Parque Nacional de São Joaquim 28°09'48 6S 49°37'18 0W","-49.621667","-28.163333",NA,"Espécie ameaçada de extinção (Em perigo).; Em campo úmido no topo do Morro do Baú, freqüente",NA,NA,"América do Sul",NA,NA,NA,"-49.621667","-28.163333","2","2",NA
