"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag"
"1","2020-12-21 16:32:33-03","MBM","MBM","384325","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","itacarensis","Bunchosia itacarensis","W.R.Anderson","São-Mateus, W.","São-Mateus, W.; Jardim, J.; Vignoli, M.; Jardim, J.; Vignoli, M.","14","2008","05","22","Southern America","Brazil","Bahia","Itacaré","Encosta ao lado da praia da Ribeira.","-39","-14","-39","-14","Sub-arbusto 1,5m alt. Folhas cartáceas com a face adaxial brilhante. Frutos imaturos de coloração esverdeada com estiletes parsistentes.; Vegetação de Restinga.","MBM384325","MBM384325",NA,NA,NA,NA
"2","2020-07-23 12:10:44-03","CEPLAC","CEPEC","122989","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","itacarensis","Bunchosia itacarensis",NA,"São-Mateus, W.","São-Mateus, W.","14","2008","05","22",NA,"Brasil","Bahia","ITACARÉ","Itacaré, Encosta ao lado da praia da Ribeira.","-39","-14","39W","14S",NA,NA,NA,NA,NA,NA,NA
"3","2020-07-23 12:10:44-03","CEPLAC","CEPEC","20387","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","itacarensis","Bunchosia itacarensis",NA,"A. M. Amorim","T. Plowman","10093","1980","04","12",NA,"Brasil","Bahia","ITACARÉ","2Km ao S de Itacaré.","-38.983333","-14.283333","38W59'0","14S17'0",NA,NA,NA,"Paratipo","30/12/1993",NA,NA
"4","2020-07-23 12:10:44-03","CEPLAC","CEPEC","18471","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","itacarensis","Bunchosia itacarensis",NA,"W. R. Anderson","S. A. Mori","13081","1979","12","08",NA,"Brasil","Bahia","ITACARÉ","A 3Km ao S de Itacaré, beira do mar.","-38.9967002868652","-14.2775001525879","0W0'0","0S0'0",NA,NA,NA,"Isótipo","30/12/1993","41230","auto"
"5","2020-07-23 12:10:44-03","CEPLAC","CEPEC","59817","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","itacarensis","Bunchosia itacarensis",NA,"A. M. Amorim","W. W. Thomas","10175","1993","10","28",NA,"Brasil","Bahia","UNA","8.8Km a E da BR-101na Rod. São José/Una.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,"30/12/1995","36070","auto"
