"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01179353","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Disynaphia","ericoides","Disynaphia ericoides","(DC.) R.M.King & H.Rob.","H. E. Robinson","R. A. Wasum","6299","1989","11","11","South America","Brazil","Rio Grande do Sul","Viamao","Viamao","-51.0231","-30.0811","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391225' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179353","NY01179353_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01179352","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Disynaphia","ericoides","Disynaphia ericoides","(DC.) R.M.King & H.Rob.","J. A. Kallunki","P. K. H. Dusén","7965","1909","04","14","South America","Brazil","Paraná",NA,"23 Turma.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391220' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179352","NY01179352_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:01:28-03","ESALQ","ESA","9621","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Disynaphia","ericoides","Disynaphia ericoides",NA,"Fernandes, A.C.","Souza, V.C. et al.","2447.0","1993","02","19",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA009621","ESA009621","27729","auto",NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:01:28-03","ESALQ","ESA","50127","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Disynaphia","ericoides","Disynaphia ericoides",NA,"Fernandes, A.C.","Scaramuzza, C.A.M. et al.","1118.0","1993","05","21",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA050127","ESA050127","27729","auto",NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:01:28-03","ESALQ","ESA","8705","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Disynaphia","ericoides","Disynaphia ericoides",NA,"Fernandes, A.C.","Scaramuzza, C.A.M. ; Souza, V.C.",NA,"1989","04","08",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA008705","ESA008705","27729","auto",NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:27:21-03","IAP","PACA-AGP","32733","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Disynaphia","ericoides","Disynaphia ericoides","(DC.) R. M. King & H. Rob.","E. K. D. Hattori","Henz, E.",NA,"1945","10","17",NA,"Brasil","RS","Montenegro","Zimmerberg","-51.4611015319824","-29.6886005401611",NA,"Habitat: in rupestribus dumetosis Fenofase: flor","PACA032733",NA,"21601","auto","Magnoliatae","2010","02",NA,NA,NA
"7","2019-08-27 13:27:21-03","IAP","PACA-AGP","44426","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Disynaphia","ericoides","Disynaphia ericoides","(DC.) R. M. King & H. Rob.","E. K. D. Hattori","Rambo, B.",NA,"1949","11","19",NA,"Brasil","RS","Porto Alegre","Neugebauer p. Itapoan","-51.2299995422363","-30.0331001281738",NA,"Habitat: in campestribus dumetosis Fenofase: flor","PACA044426",NA,"29946","auto","Magnoliatae","2010","02",NA,NA,NA
"8","2019-08-27 13:27:21-03","IAP","PACA-AGP","533","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Disynaphia","ericoides","Disynaphia ericoides","(DC.) R. M. King & H. Rob.","E.K.O. Hattori","Rambo, B.",NA,"1933","10","05",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"Habitat: in campestribus dumetosis Fenofase: flor","PACA000533",NA,"29946","auto","Magnoliatae","2010","02",NA,NA,NA
"9","2019-08-27 13:27:21-03","IAP","PACA-AGP","64945","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Disynaphia","ericoides","Disynaphia ericoides","(DC.) R. M. King & H. Rob.","E.K.O. Hattori","Reitz, R.","387","1953","03","12",NA,"Brasil","SC","Palhoça","Campo do Massiambu","-48.6678009033203","-27.645299911499",NA,"HBR 15248 Ecossistema: Mata Atlântica","PACA064945",NA,"31105","auto","Magnoliatae","2010","02",NA,NA,NA
"10","2021-03-16 17:50:45-03","UCS","HUCS","06299","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Disynaphia","ericoides","Disynaphia ericoides","(DC.) R.M. King & H. Rob.","Robinson, H.","Wasum, R.A.","s.n.","1989","11","11",NA,"Brasil","Rio Grande do Sul","Viamão",NA,"-51.0233001708984","-30.0811004638672",NA,"Em beira de estrada",NA,NA,"41667","auto",NA,"1990","01",NA,NA,NA
