"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","class","relatedCatalogItem","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","sex"
"1","2021-04-05 14:34:14-03","UNESC","CRI","12895","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.","Hicdegard ABT","2017","09","26","Alexandre Medeiros","2017","09","26","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 723. Habitat: Terrícola Habito: Arbustivo","CRI011503","CRI011503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00955703","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.",NA,NA,NA,NA,"G. G. Hatschbach","1983","02","11","Brazil","Mato Grosso do Sul","Ponta Pora","Poteranti","-55.7256","-22.5361",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955703","NY00955703_01","Magnoliophyta","Lamiales","46113","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00955704","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.",NA,NA,NA,NA,"L. O. Williams","1945","02",NA,"Brazil","Minas Gerais","Belo Horizonte","Near the dam at Pampulha.","-43.9378","-19.9208",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033843' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955704","NY00955704_01","Magnoliophyta","Lamiales","5629","South America","sheet","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00955705","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.",NA,NA,NA,NA,"A. Macedo","1948","12","05","Brazil","Minas Gerais","Ituiutaba","Fundao","-49.465","-18.9692",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033850' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955705","NY00955705_01","Magnoliophyta","Lamiales","1415","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1338809","PreservedSpecimen","Plantae","Verbenaceae","Duranta","erecta","Duranta erecta","L.",NA,NA,NA,NA,"T. C. Plowman","1983","02","03","Brazil","Bahia","Maraú","Ponta do Mutá. Sitio Campinho","-39.0147018432617","-14.103099822998",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1588081' target='other'> <mi>dwc_moreinfo</mi></a>","NY01338809","NY01338809_01","Magnoliophyta","Lamiales","12795","South America","sheet",NA,NA,"47076","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","564175","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.",NA,NA,NA,NA,"S. A. Mori","1978","02","10","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesq. do Cacau), km 22 rodovia Ilhéus/Itabuna - BR 415","-39.2273659","-14.771874",NA,NA,"foto <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663314' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564175","NY00564175_01","Magnoliophyta","Lamiales","9243","South America","sheet","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","137514","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens lopez-palacii","Moldenke","H. N. Moldenke",NA,NA,NA,"L. E. Ruiz-Terán","1971","05","28","Venezuela","Sucre",NA,"Alrededores del San Antonio, unos 5 km. abajo de El Portachuelo (El Ramal), cordillera de los Andes, estado Merida",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00137514","NY00137514_01","Magnoliophyta","Lamiales","1923","South America","sheet","1820","1820",NA,NA,"lopez-palacii","holotype",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","593505","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.",NA,NA,NA,NA,"R. A. Wasum","1994","11","25","Brazil","Rio Grande do Sul","Nova Prata","Nova Prata - Viveiro Florestal","-51.61","-28.7842",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593505","NY00593505_01","Magnoliophyta","Lamiales","s.n.","South America","sheet","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","564177","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.","H. N. Moldenke",NA,NA,NA,"F. C. Hoehne","1930","10","18","Brazil","São Paulo","Sao Paulo","Jardim do Orchidario","-46.63","-23.5403",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564177","NY00564177_01","Magnoliophyta","Lamiales","s/n¦","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","564179","PreservedSpecimen","Plantae","Verbenaceae","Duranta","repens","Duranta repens","L.","H. N. Moldenke",NA,NA,NA,"H. Luederwaldt","1912","12",NA,"Brazil","São Paulo","Sao Paulo","Ipiranga, Capital","-46.63","-23.5403",NA,NA,"Ex Herv. do Museu Paulista s/n° <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564179","NY00564179_01","Magnoliophyta","Lamiales","s/n¦","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
