"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1731862","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Lucuma","butyrocarpa","Lucuma butyrocarpa","Kuhlm.","isotype","J. G. Kuhlmann","s.n. [=herb. RB 28903]","1934","04","07","South America","Brazil","Espírito Santo","Rio Doce, Colonia e Goytacazes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1961830' target='other'> <mi>dwc_moreinfo</mi></a>","NY01731862","NY01731862_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01805942","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"P. Fiaschi","2878","2005","03","18","South America","Brazil","Bahia","Camacã: RPPN Serra Bonita, 9.7 km W de Camacã na estrada para Jacareci, ramal para a RPPN, ca. 6 km da entrada.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2125179' target='other'> <mi>dwc_moreinfo</mi></a>","NY01805942","NY01805942_01","A. Alves-Araújo","Camacan","-39.5652778","-15.3916667","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","375363","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"S. A. Mori","11799","1979","05","05","South America","Brazil","Bahia","Rod. BA-026, a 6 km a Sul de Maracás. Folha SD-24 (14-40a)","sheet","Separate fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375363","NY00375363_01","T. D. Pennington","Maracás","-40.4306","-13.4411","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","419339","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"A. M. Amorim","2663","1998","11","21","South America","Brazil","Bahia","Rod. Jussari/Palmira. Entrada ca. 7.5km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419339","NY00419339_01","T. D. Pennington","Jussari","-39.5286","-15.1581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375365","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"R. de Lemos Fróes","20025","1943","03","15","South America","Brazil","Bahia","Entre Bom Gosto e Olivença","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375365","NY00375365_01","T. D. Pennington","Ilhéus","-40.0808689","-13.5615656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","375831","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"S. A. Mori","11799","1979","05","05","South America","Brazil","Bahia","Rod. BA-026, a 6 km a Sul de Maracás. Folha SD-24 (14-40a)","separate fruit","Separate fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375831","NY00375831_01","T. D. Pennington","Maracás","-40.4306","-13.4411","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","375364","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"G. G. Bondar",NA,"1946","10","19","South America","Brazil","Bahia","Coletann na fazenda Canaao, lado direito do Rio Mucuri","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375364","NY00375364_01",NA,"Mucuri","-39.5506","-18.0867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","469072","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"A. M. Amorim","2224","1998","02","21","South America","Brazil","Bahia","Rod. Jussari/Palmira. Estrada ca 7.5km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469072","NY00469072_01","T. D. Pennington","Jussari","-39.5286","-15.1581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1015302","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"J. L. Paixão","165","2002","03","29","South America","Brazil","Bahia","Rod. Jussarí/Palmira, entrada ca. 7.5 km de Jussari. Faz. Teimoso - RPPN - Serra do Teimoso.",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1019369' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015302","NY01015302_01","T. D. Pennington","Jussari","-39.5286","-15.1581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:49:27-03","EAO","IAN",NA,"PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D. Penn.",NA,"Kuhlmann, JG","341","1954","05","14","Southern America","Brasil","Distrito Federal","Colônia, Collatina. Mata virgem.",NA,"Árvore grande.",NA,NA,"Pennington, TD",NA,NA,NA,NA,NA,"1990",NA,NA,NA,NA,NA,NA,NA,NA,NA
