"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","locality","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:50-03","E","E","83562","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","laxiflora","Symplocos laxiflora","Silva, J.M. & Hatschbach, G.","1063","1991","12","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92484","<a href=http://data.rbge.org.uk/herb/E00083562 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:50-03","E","E","285298","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","laxiflora","Symplocos laxiflora","Gardner, George","343","1905","01","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:293397","<a href=http://data.rbge.org.uk/herb/E00285298 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285298","unspecified kind of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:50-03","E","E","285299","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","laxiflora","Symplocos laxiflora","Gardner, George","343","1905","01","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:293398","<a href=http://data.rbge.org.uk/herb/E00285299 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285299","unspecified kind of","Organ Mts.","3048","3048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","486820","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","laxiflora","Symplocos laxiflora","F. C. Hoehne","23847","1931","11","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=641712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486820",NA,"Jardim Botanico",NA,NA,"Magnoliophyta","Ericales","Benth.","F. C. Hoehne","São Paulo","Sao Paulo","-46.618358","-23.646109","NY00486820_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","486818","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","laxiflora","Symplocos laxiflora","L. B. Smith","13056","1964","11","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=641713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486818",NA,"Bu road to Xanxerê","700","900","Magnoliophyta","Ericales","Benth.","L. B. Smith","Santa Catarina","Ponte Serrada","-52.05","-26.92","NY00486818_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","486814","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","laxiflora","Symplocos laxiflora","G. G. Hatschbach","25202",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=641715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486814",NA,"Rio Santa Luzia",NA,NA,"Magnoliophyta","Ericales","Benth.","G. G. Hatschbach","Mato Grosso do Sul","Rio Brilhante","-54.5464","-21.8019","NY00486814_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","486815","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","laxiflora","Symplocos laxiflora","G. G. Hatschbach","40654","1977","12","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=641719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486815",NA,"Rio Bromado",NA,NA,"Magnoliophyta","Ericales","Benth.",NA,"Paraná","Morretes","-48.8342","-25.4769","NY00486815_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","297026","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","laxiflora","Symplocos laxiflora","G. Gardner","343","1837",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=641717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297026","possible type","Serra dos Orgaos",NA,NA,"Magnoliophyta","Ericales","Benth.",NA,"Rio de Janeiro",NA,"-43.073169","-22.496706","NY00297026_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","486819","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","laxiflora","Symplocos laxiflora","L. B. Smith","7498","1956","11","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=641714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486819",NA,"Lower fazenda of Ernesto Scheide, Campo Alegre","900","900","Magnoliophyta","Ericales","Benth.","L. B. Smith","Santa Catarina","Campo Alegre","-49.2656","-26.1925","NY00486819_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","486821","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","laxiflora","Symplocos laxiflora","F. C. Hoehne","23847",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=641720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486821",NA,NA,NA,NA,"Magnoliophyta","Ericales","Benth.",NA,"São Paulo",NA,NA,NA,"NY00486821_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
