"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","infraspecificEpithet","individualCount","typeStatus"
"1","2020-09-23 10:36:18-03","E","E","84449","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","cerasifolia","Ilex cerasifolia","Magothaes, V.C.R., Silva, B. & Torres de Assumpçao, C.","7531","1979","07","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93329","<a href=http://data.rbge.org.uk/herb/E00084449 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","589249","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","cerasifolia","Ilex cerasifolia","S. A. Nicolau","2053","1999","12","14","South America","Brazil","sheet",NA,"Centro de Monitoramento Ambiental da Serra do Itapety. CEMASI <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00589249","Magnoliophyta","Aquifoliales","Reissek","S. A. Nicolau","São Paulo","Cajuru: Estrada Barrosa","NY00589249_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-05-17 10:21:00-03","NY","NYBG","02681775","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","cerasifolia","Ilex cerasifolia","E. M. Saddi","596","2011","11","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944038' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681775","Magnoliophyta","Aquifoliales",NA,NA,"Minas Gerais","Parcela P26 dos estudos para o EIA do Complexo Serra Azul.","NY02681775_01","Mateus Leme","-44.389444","-20.094167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-28 13:10:59-03","MCN-PUC-MINAS","HPUC-MG","ANG221","S","Plantae","Aquifoliaceae","Ilex","cerasifolia","Ilex cerasifolia","Colombini, M.A.G.; Afonso, C.G.;Pereira, Ce; Starling, M.F.V.",NA,"2007","10","11",NA,"Brasil",NA,NA,"Nº 7B",NA,NA,NA,NA,"Martins, JC; Santos, RM.","Minas Gerais","Mata PUC Minas",NA,"Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-01-28 13:10:59-03","MCN-PUC-MINAS","HPUC-MG","ANG3976","S","Plantae","Aquifoliaceae","Ilex","cf. cerasifolia","Ilex cf. cerasifolia","E.T.N.; M.Valentina W.","223",NA,NA,NA,NA,"Brasil",NA,NA,"Frutos pretos. UTM: 7753879 x; 589814 y.",NA,NA,NA,NA,"M.Valentina W.","Minas Gerais",NA,NA,"Nova Lima","-43.966944","-20.208611",NA,NA,"43º58'01''W","20°12'31''S","1.4","1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:28:40-03","UNESP-IBB","BOTU","18246","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","cerasifolia","Ilex cerasifolia","Campos, C.J.",NA,"1992","06","24",NA,"Brasil",NA,NA,NA,"BOTU018246",NA,NA,"Reissek","Groppo Jr., M.","São Paulo","Distrito de Rubião Júnior, Jardim Botânico, campus de Botucatu","BOTU018246","Botucatu",NA,NA,NA,NA,"9999","9999",NA,NA,"1998","01",NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:28:40-03","UNESP-IBB","BOTU","21188","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","cerasifolia","Ilex cerasifolia","Amaral Jr., A.","12296-49","1996","02","12",NA,"Brasil",NA,NA,NA,"BOTU021188",NA,NA,"Reissek",NA,"São Paulo","Caminho de São José dos Alpes. Trilha do Sapucaí, à margem do Rio Sapucaí","BOTU021188","Campos do Jordão",NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 11:07:10-03","UNESP-IBB","BOTU","29300","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","cerasifolia","Ilex cerasifolia","Galhego, A.A.","105-b","1994","02","18",NA,"Brasil",NA,NA,"Floresta Estacional Semidecidual secundária, com árvores de cerca de 25m de altura e sub bosque pouco denso; Coleção: Jardim Botânico UNESP Botucatu","BOTU029300",NA,NA,"Reissek",NA,"São Paulo",NA,NA,"Botucatu","-48.433333","-22.866667",NA,NA,"48°26'w","22°52's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-08 11:07:10-03","UNESP-IBB","BOTU","29293","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","cerasifolia","Ilex cerasifolia","Galhego, A.A.","120","1994","03","24",NA,"Brasil",NA,NA,"Mata mesófila semidecidual secundária com árvores de até 20m e sub-bosque pouco denso; Coleção: Jardim Botânico UNESP Botucatu","BOTU029293",NA,NA,"Reissek","Montovani, W.","São Paulo",NA,NA,"Botucatu","-48.433333","-22.866667",NA,NA,"48°26'w","22°52's",NA,NA,"2013","08",NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 11:07:10-03","UNESP-IBB","BOTU","29155","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","cerasifolia","Ilex cerasifolia","Bignotto, R.B.","316","2004","05","28",NA,"Brasil",NA,NA,"Mata mesófila semidecidual secundária, com árvores de até 20m de altura e sub-bosque pouco denso. Árvore 9,0m, frutos imaturos verde amarelados, maduros vermelhos.; Coleção: Jardim Botânico UNESP Botucatu","BOTU029155",NA,NA,"Reissek",NA,"São Paulo",NA,"BOTU029155","Botucatu","-48.433333","-22.866667",NA,NA,"48°26'w","22°52's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
