"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","scientificNameAuthorship","recordedBy","continentOcean","verbatimLongitude","verbatimLatitude","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","class","order","individualCount"
"1","2020-11-04 12:17:29-03","ESALQ","ESA","121859","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Cattleya","jongheana","Cattleya jongheana","Catharino, E.L.M.","8244.0","1970","02","01","Brasil","São Paulo","São Paulo","Cultivo no Orquidário Dr. Carlos Hoehne. Intituto de Botânica - São Paulo.","-46.6300010681152","-23.5400009155273","53584","ESA121859","ESA121859","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:44:22-03","UFMG","BHCB","105121","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Cattleya","jongheana","Cattleya jongheana",NA,"3099","2006","09","13","Brasil","Minas Gerais","Itamarandiba","P.E. da Serra Negra","-42.724694","-18.005611",NA,NA,NA,NA,"(Rchb) Van den Berg","Mota, RC da; et al.","Southern America","-42.724694","-18.005611","planta coletada em campo rupestre; erva epífita em Vellozia auriculata; sépalas e pétalas róseas, labelo róseo com cristas amarelas.",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:44:23-03","UFMG","BHCB","105145","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Cattleya","jongheana","Cattleya jongheana",NA,"3123","2006","09","15","Brasil","Minas Gerais","São Gonçalo do Rio Preto","PE do Rio Preto","-43.3908004760742","-18.0041999816895","26697",NA,NA,"auto","(Rchb) Van den Berg","Mota, RC da; et al.","Southern America",NA,NA,"planta coletada em mata de galeria; erva epífita; sépalas e pétalas róseas, labelo róseo com cristas amarelas.",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:44:43-03","UFMG","BHCB","102239","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Hadrolaelia","jongheana","Hadrolaelia jongheana",NA,"2508","2006","06","10","Brasil","Minas Gerais","Felício dos Santos","APA Felício- Cachoeira do Sumidouro","-43.25","-18.216667",NA,NA,NA,NA,"(Rchb) Chiron & V.P.Castro","Viana, PL; et al.","Southern America","-43.25","-18.216667","Epífita em interior de capão de mata, flores rosas.","1300","1300",NA,NA,NA,NA,NA
"5","2020-12-11 11:44:43-03","UFMG","BHCB","90474","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Hadrolaelia","jongheana","Hadrolaelia jongheana",NA,"1862","2004","08","08","Brasil","Minas Gerais","São Gonçalo do Rio Preto","P.E. do Rio Preto, Pico 2 Irmãos.","-43.3908004760742","-18.0041999816895","26697","BHCB001399","BHCB001399","auto","(Rchb) Chiron & V.P.Castro","Viana, PL; Mota, NFO","Southern America",NA,NA,"Epífita em Myrcia cf. retorta. Flores rosas com tubo do labelo amarelo.","1800","1800","2004","11",NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2857635","PreservedSpecimen","Plantae",NA,"Orchidaceae","Laelia","jongheana","Laelia jongheana",NA,"s.n.","1926","9","11","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F. C. Hoehne","South America - Neotropics",NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","Orchidales","1"
"7","2017-09-11 17:11:57-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Laelia","jongheana","Laelia jongheana",NA,"s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,"Habitat in arboribus ad Serra de Itabira prov. Minas Geraes",NA,NA,NA,NA,NA,NA,"Rchb.f.","Libon, J","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-09-11 17:11:57-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Laelia","jongheana","Laelia jongheana",NA,"s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,"Habitat in arboribus ad Serra de Itabira prov. Minas Geraes",NA,NA,NA,NA,NA,NA,"Rchb.f.","Libon, J","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 10:13:29-03","IBt","SP","27103","S","Plantae",NA,"Orchidaceae","Hadrolaelia","jongheana","Hadrolaelia jongheana","Mamede, MCH","s.n.","1926","09","11","Brasil","Minas Gerais","Santa Bárbara do Mato Dentro",NA,NA,NA,NA,NA,NA,NA,"(Rchb.f.) Chiron & V.P.Castro","Hoehne, FC",NA,NA,NA,NA,NA,NA,"2011","03",NA,NA,NA
"10","2019-11-21 10:13:29-03","IBt","SP","5730","S","Plantae",NA,"Orchidaceae","Hadrolaelia","jongheana","Hadrolaelia jongheana","Mamede, MCH","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara",NA,"-43.4152984619141","-19.959400177002","33136",NA,NA,"auto","(Rchb.f.) Chiron & V.P.Castro","Hoehne, FC",NA,NA,NA,NA,NA,NA,"2011","03",NA,NA,NA
