"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","coordinatePrecision","individualCount","geoFlag","recordNumber","continentOcean","preparationType","infraspecificEpithet","typeStatus","class","relatedCatalogItem","relationshipType","fieldNumber","previousCatalogNumber","sex"
"1","2021-04-05 14:33:16-03","UNESC","CRI","7379","PreservedSpecimen","Plantae","Asteraceae","Mikania","glomerata","Mikania glomerata","Spreng.","Vanilde Citadini- Zanette","2007","08","10","Robson dos Santos","2007","08","10","Brasil","Santa Catarina","Criciúma","Bairro Sto Antônio.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI001605","CRI001605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:16-03","UNESC","CRI","14822","PreservedSpecimen","Plantae","Asteraceae","Mikania","glomerata","Mikania glomerata","Spreng.","Vanilde Citadini-Zanette","2000","11","07","Jairo J. Zocche; Rogério & Marinalda","2000","09","30","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S",NA,NA,"CRI014147",NA,"Habito: Trepadeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:16-03","UNESC","CRI","8492","PreservedSpecimen","Plantae","Asteraceae","Mikania","glomerata","Mikania glomerata","Spreng.","M. Ritter","2010","05","01","Jaqueline Bonazza Rodrigues","2007","09","05","Brasil","Santa Catarina","Siderópolis","Sítio Sete Lombas.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI001606","CRI001606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:16-03","UNESC","CRI","8473","PreservedSpecimen","Plantae","Asteraceae","Mikania","glomerata","Mikania glomerata","Spreng.","M. Ritter",NA,NA,NA,"Jean Gabriel Cemin","2008","08","15","Brasil","Santa Catarina","Turvo","Rio do Turvo.","-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","CRI001604","CRI001604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:58-03","UNESC","CRI","11918","PreservedSpecimen","Plantae","Asteraceae","Mikania","glomerata","Mikania glomerata","Spreng.","Vanilde C. Zanette","2011","10","08","Vanilde C. Zanette; Patricia de Aguiar Amaral","2011","10","08","Brasil",NA,"Nova","Caravaggio.","-49.498333","-28.636944","49º29'54''W","28º38'13''S",NA,NA,"CRI010084","CRI010084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:16-03","UNESC","CRI","14739","PreservedSpecimen","Plantae","Asteraceae","Mikania","glomerata","Mikania glomerata","Spreng.","Vanilde Citadini-Zanette","2000","11","02","Jairo J. Zocche; Rogério & Marinalda","2000","09","30","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S",NA,NA,"CRI014064","CRI014064","Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:24:58-03","UNESC","CRI","10710","PreservedSpecimen","Plantae","Asteraceae","Mikania","glomerata","Mikania glomerata","Spreng.",NA,NA,NA,NA,"Vanilde C. Zanette; Robson dos Santos & Alecsandro S. Klein","2001","08","14","Brasil","Santa Catarina","Praia Grande","Aparados da Serra - Trilha do Faxinalzinho.","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,"CRI001607","CRI001607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:24:58-03","UNESC","CRI","13926","PreservedSpecimen","Plantae","Asteraceae","Mikania","glomerata","Mikania glomerata","Spreng.","Vanilde Citadini-Zanette","2018","10","02","Maria Salvaro","2018","10","02","Brasil","Santa Catarina","Siderópolis","Vila São Jorge","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,"CRI012537","CRI012537","Trepadeira em botão floral Habitat: Terrestre Habito: Trepadeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1886","S","Plantae","Asteraceae","Mikania","glomerata","Mikania glomerata","Spreng.",NA,NA,NA,NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2006","03","26","Brasil","Minas Gerais","Marliéria","Mumbaça","-42.7322006225586","-19.7122001647949",NA,NA,NA,NA,NA,NA,"254","Magnoliophyta","Asterales","28215","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","797250","PreservedSpecimen","Plantae","Asteraceae","Mikania","glomerata","Mikania glomerata","Spreng.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1972","09","16","Brazil","Paraná","Dois Vizinhos","3 Barras","-53.0569","-25.7336",NA,NA,NA,NA,"NY00797250","NY00797250_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=659707' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asterales",NA,NA,NA,"30330","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
