"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","class","yearIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1523270","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","atropurpurea","Cambessedesia atropurpurea","A.B.Martins","A. B. Martins","H. S. Irwin","32021","1971","03","17","South America","Brazil","Goiás","Água Fria de Goiás","Serra Geral do Paraná, ca. 10 km S.of São João de Aliança","-47.5333","-14.79038","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1792393' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523270","NY01523270_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","221484","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","atropurpurea","Cambessedesia atropurpurea","A.B.Martins",NA,"W. R. Anderson","6714","1973","03","09","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros: 27 km by road N of Alto Paraíso","-47.4583015441895","-13.7974996566772","1750","1750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00221484","NY00221484_01","isotype","92497","auto",NA,NA,NA,NA,NA
"3","2020-11-04 11:13:20-03","ESALQ","ESA","90035","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Cambessedesia","atropurpurea","Cambessedesia atropurpurea",NA,"Versiane, A.F.A.","Araújo, A.O.; Scalon, V.R. ; Chautems, A.","525.0","2005","01","24",NA,"Brasil","Goiás","Alto Paraíso","Chapada dos Veadeiros, rodovia Alto Paraíso-Terezina de Goiás, ca. 25 km de Alto Paraíso. Afloramento rochoso atrás do córrego, do lado esquerdo da rodovia.",NA,NA,"1440","1440",NA,"Em afloramento calcáreo, sob rochas, em gruta. Subarbusto ereto com ramos secundários prostrados, face abaxial das folhas arroxeadas. Cálice esverdeado; corola com base amarela e limbo abóbora.","ESA090035",NA,NA,NA,NA,"-47,453,528","-13,948,222",NA,NA,NA
"4","2020-11-04 11:13:20-03","ESALQ","ESA","102684","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Cambessedesia","atropurpurea","Cambessedesia atropurpurea",NA,"Versiane, A.F.A.","Araújo, A.O.","525.0","2005","01","24",NA,"Brasil","Goiás","Alto Paraíso",NA,NA,NA,NA,NA,NA,NA,"ESA102684",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:34:00-03","MBM","MBM","302112","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","atropurpurea","Cambessedesia atropurpurea","Martins","Wurdack, J.J.","Harley, R.M.; et al.; et al.","26356","1988","11","11","Southern America","Brazil","Bahia","Rio de Contas","Pico das Almas","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,"MBM302112","MBM302112",NA,"49773","auto",NA,NA,NA,NA,NA
"6","2015-08-13 05:50:00-03","MO","MOBOT","100384840","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","atropurpurea","Cambessedesia atropurpurea","A.B. Martins","A.B. Martins","Howard S. Irwin|R.M. Harley|Gary L. Smith","Irwin 32021","1971","3","17","South America","Brazil","Goiás",NA,"Campo. Campo and cerrado, ca. 10 km S of São João da Aliança.",NA,NA,"950.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"7","2009-06-25 13:32:00-03","MO","MOBOT","1940486","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","atropurpurea","Cambessedesia atropurpurea","A.B. Martins","L.M. Campbell","William R. Anderson","Anderson 6714","1973","3","9","South America","Brazil","Goiás",NA,"Chapada dos Veadeiros. 27 km. by road N. of Alto Paraíso. Wet, seeping sedge meadow, sloping up to rocky cerrado with sandstone outcrops. Trailing from crevices in sandstone.",NA,NA,"1750.00000000",NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2907225","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Cambessedesia","atropurpurea","Cambessedesia atropurpurea","A.B. Martins",NA,"W. R. Anderson","6714","1973","3","9","South America - Neotropics","Brazil","Goiás",NA,"Chapada do Veadeiros, 27 km N de Alto Paraiso.",NA,NA,"1750","1750",NA,NA,"US00120236","US00120236_01","Isotype",NA,NA,NA,NA,"1","Dicotyledonae",NA
"9","2020-09-12 05:00:02-03","US","US","2907119","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Cambessedesia","atropurpurea","Cambessedesia atropurpurea","A.B. Martins",NA,"H. S. Irwin, R. M. Harley & Geo. L. Smith","32021","1971","3","17","South America - Neotropics","Brazil","Goiás",NA,"10 km S of São João da Aliança.",NA,NA,"950",NA,NA,NA,"US01894061","US01894061_01 US01894061_02",NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"10","2019-11-13 11:25:12-03","USP","SPF","164138","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","atropurpurea","Cambessedesia atropurpurea","A.B.Martins","Wurdack, JJ","Harley, RM","26356","1988","11","11",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas","-41.95","-13.533333","1500","1500",NA,NA,"SPF00164138",NA,NA,NA,NA,"-41.95","-13.533333",NA,NA,"1990"
