"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","typeStatus","fieldNumber"
"1","2021-04-05 14:33:37-03","UNESC","CRI","12937","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","pallescens","Bunchosia pallescens","Skottsb.","Rafael Pellegrini","2018","01","13","Alexandre Medeiros","2018","01","13","Brasil","Santa Catarina","Balneário Camboriú","Pinhonat.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 838. Flores amarelas. Habitat: Terrestre Habito: Arbóreo","CRI011545","CRI011545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:11-03","E","E","82213","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","pallescens","Bunchosia pallescens",NA,NA,NA,NA,NA,"Silva, J.M. & Hatschbach, G.","1994","04","22","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00082213 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082213",NA,"1335","E. Tropical South America","herbarium specimen of unspecif","BGBASE:90985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00893173","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","pallescens","Bunchosia pallescens","Skottsb.","W. R. Anderson",NA,NA,NA,"G. G. Hatschbach","1987","10","23","Brazil","Mato Grosso do Sul","Bela Vista","Rio Guaviral.","-56.5208","-22.1092",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893173","NY00893173_01","51611","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","472453","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","pallescens","Bunchosia pallescens","Skottsb.","W. R. Anderson",NA,NA,NA,"G. G. Hatschbach","1979","11","22","Brazil","Paraná","Cerro Azul","Rio Bom Sucesso","-49.2608","-24.8236",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79460' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472453",NA,"42575","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","472455","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","pallescens","Bunchosia pallescens","Skottsb.","W. R. Anderson",NA,NA,NA,"G. G. Hatschbach","1984","03","01","Brazil","Paraná","Antonina","Mangue Maior Santo","-48.7117","-25.4286",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79461' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472455",NA,"47617","South America","sheet",NA,"Magnoliophyta","Malpighiales","3","5",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","778714","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","pallescens","Bunchosia pallescens","Skottsb.","W. R. Anderson",NA,NA,NA,"A. M. Amorim","2000","02","03","Brazil","São Paulo","Sao Sebastiao","Enseada de Baraqueçaba, SP 055","-45.4097","-23.7603",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778714","NY00778714_01","3281","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-28 13:56:00-03","NY","NYBG","472456","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","pallescens","Bunchosia pallescens",NA,"W. R. Anderson",NA,NA,NA,"F. O. Zuloaga","1996","04","17","Argentina","Misiones","General Manuel Belgrano","Ruta Nac. 101, de Pinalto a Deseado, 20 km S de Deseado","-53.95","-25.88",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472456",NA,"5613","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","472454","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","pallescens","Bunchosia pallescens","Skottsb.","W. R. Anderson",NA,NA,NA,"A. Krapovickas","1991","01","24","Brazil","Santa Catarina","Penha","Penha","-48.6456","-26.7694",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472454",NA,"43736","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","776970","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","pallescens","Bunchosia pallescens","Skottsb.","M. C. H. Mamede",NA,NA,NA,"G. F. Arbocz","1995","06","14","Brazil","Espírito Santo","Colatina","Colatina, Aeroporto","-40.6306","-19.5394",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00776970",NA,"1517","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:10:47-03","UTFPR","DVPR","5519","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","pallescens","Bunchosia pallescens","Skottsb","Silva, DR","2018","02","10","Rocha Filho, JA; Piva, J; Machado, C","2018","01","30","Brasil","Paraná","Capitão Leonidas Marques","Estrada interligando a BR-163 o Córrego Leãozinho.","-53.3513","-25.3032","-53.3513","-25.3032","Árvore 8 m. Folhas cartáceas. Frutos verdes, imaturos. Ponto 558.; Borda de fragmento de Floresta Estacional Semidecidual em estágio médio de sucessão secundaria, apresentando associação entre Latossolo e Nitossolo Vermelhos.","DVPR005519",NA,"587",NA,NA,NA,"Magnoliophyta",NA,"298","298",NA,NA,NA,NA,NA,NA,NA
