"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:25:18-03","UNESC","CRI","15021","PreservedSpecimen","Plantae","Fabaceae","Machaerium","nyctitans","Machaerium nyctitans","(Vell.) Benth.","Kassner-Filho, A","2019","03","27","Kassner-Filho, A; Santos, D; Bollmann, G; Althoff, L.F.","5000","2019","03","27","Brasil","Santa Catarina","Herval d#?#Oeste","Linha Barreiras. Linha Barreiras.","-51.387222","-27.178889","51º23'14''W","27º10'44''S","808","808","Flor bordo escuro Habitat: Borda de fragmento Florestal;Ecótono entre Floresta estacional decidual e Floresta Ombrófila Mista; Estágio Avançado a Médio Habito: Arbórea","CRI014325","CRI014325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:42-03","E","E","4434","PreservedSpecimen","Plantae","Leguminosae","Machaerium","nictitans","Machaerium nictitans",NA,NA,NA,NA,NA,"Chagas E Silva, F.","1510","1992","04","07","BR",NA,NA,"Proximo a Posto Caete, rodovia que liga Sapopema-Curiuva.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00004434 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00004434",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:16724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:42-03","E","E","324058","PreservedSpecimen","Plantae","Leguminosae","Machaerium","nyctitans","Machaerium nyctitans",NA,NA,NA,NA,NA,"Stannard, B.; Ganev, W.; Queiroz, R.F.",NA,"1992","02","25","BR",NA,NA,NA,"-41.816667","13.266667","-41.816667","13.266667",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00324058 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00324058",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:326609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-28 13:44:00-02","NY","NYBG","1019006","PreservedSpecimen","Plantae","Fabaceae","Machaerium","nictitans","Machaerium nictitans",NA,NA,NA,NA,NA,"H. C. de Lima","6450","2006","08","12","Brazil","Rio de Janeiro","Petrópolis","Itaipava, BR-40, km 65, próximo a estrada para o Vale do Sossego.","-43.15317","-22.42083",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1266354' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019006","NY01019006_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-01-09 12:01:00-02","NY","NYBG","02474103","PreservedSpecimen","Plantae","Fabaceae","Machaerium","nictitans","Machaerium nictitans",NA,NA,NA,NA,NA,"H. C. de Lima","7697","2013","07","27","Brazil","Rio de Janeiro","Duas Barras","Monerat, Fazenda Três Amores, trilha para o Cruzeiro, ca. 50 m após a Cruz","-42.4197","-22.07",NA,NA,"730",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685429' target='other'> <mi>dwc_moreinfo</mi></a>","NY02474103","NY02474103_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01092813","PreservedSpecimen","Plantae","Fabaceae","Machaerium","nyctitans","Machaerium nyctitans","(Vell.) Benth.","F. L. R. Filardi",NA,NA,NA,"G. G. Hatschbach","16144","1967","03","12","Brazil","Paraná","Rio Branco do Sul","Curiola.","-49.3142","-25.1903",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237794' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092813","NY01092813_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01091646","PreservedSpecimen","Plantae","Fabaceae","Machaerium","nyctitans","Machaerium nyctitans","(Vell.) Benth.","F. L. R. Filardi",NA,NA,NA,"A. M. Amorim","1010","1993","02","21","Brazil","Bahia","Jacobina","Estrada Jacobina-Itaitu, ca. 30 km a partir da sede do município, na Cachoeira Pequena","-40.5181","-11.1808",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1240561' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091646","NY01091646_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01092798","PreservedSpecimen","Plantae","Fabaceae","Machaerium","nyctitans","Machaerium nyctitans","(Vell.) Benth.","F. L. R. Filardi",NA,NA,NA,"F. C. Hoehne","s.n.","1931","11","13","Brazil","São Paulo","São Paulo","nativa no Jardim Botânico (Parque do Estado)","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237598' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092798","NY01092798_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01092809","PreservedSpecimen","Plantae","Fabaceae","Machaerium","nyctitans","Machaerium nyctitans","(Vell.) Benth.","F. L. R. Filardi",NA,NA,NA,"H. de F. L. Filho","41","1967","08","02","Brazil","São Paulo",NA,"Colhida em Roseira, rodovia ant. SP-RJ a beira da estrada.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237633' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092809","NY01092809_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01092822","PreservedSpecimen","Plantae","Fabaceae","Machaerium","nyctitans","Machaerium nyctitans","(Vell.) Benth.","F. L. R. Filardi",NA,NA,NA,"G. Jönsson","329a","1914","05","13","Brazil","Paraná",NA,"Jaguariahyva","-49.713647","-24.340602",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238268' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092822","NY01092822_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
