"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","identifiedBy","yearIdentified","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","county","imagecode","monthIdentified","dayIdentified","class","order","coordinatePrecision","geoFlag","individualCount"
"1","2020-09-23 10:39:32-03","E","E","221745","PreservedSpecimen","Plantae","Gramineae","Arundinella","deppeana","Arundinella deppeana","Smith, Herbert H.","2575","W. Tropical South America","EC","herbarium specimen of unspecif","BGBASE:232157","<a href=http://data.rbge.org.uk/herb/E00221745 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00221745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:53:00-03","EAO","IAN","83414","PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Tucker, JM","791","Southern America","El Salvador",NA,NA,"North slope. Highest peak, Montes de cacaguatique.","IAN083414","Monocotiledônea","Nees","Pohl, RW","1953","1942","01","14","Morazán","Moist, Shady road bank. Department of Morazán","-88.216667","13.766667","-88.216667","13.766667","1320","1380",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:53:00-03","EAO","IAN","157656","PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Nee, M","9508",NA,"Panamá",NA,NA,NA,"IAN157656","Monocotiledônea","Nees","Davidse, G","1974","1974","01","31",NA,"Canal Zone. Colony in wet spot, grassy area along RR, 1,5Km W of Gamboa. Apparently rare along RR for first 3Km W of Gamboa.",NA,NA,NA,NA,"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:53:00-03","EAO","IAN","56416","PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Standley, PC","84734","Southern America","Guatemala",NA,NA,NA,"IAN056416","Monocotiledônea","Nees",NA,NA,"1941","01","25","Quezaltenango","Dept.Quezaltenango: Along Rio Samalá, near Santa Maria de Jesus,",NA,NA,NA,NA,"1500","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:53:00-03","EAO","IAN","56417","PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Standley, PC","77404","Southern America","Guatemala",NA,NA,NA,"IAN056417","Monocotiledônea","Nees",NA,NA,"1940","11","18","Jalapa","brushy quebrada.common, dept. Jalapa: vicinity of Jalapa about.",NA,NA,NA,NA,"1360","1360","Jalapa",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:53:00-03","EAO","IAN","63050","PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Leon, B; Charles","4847","Southern America","Cuba",NA,NA,NA,"IAN063050","Monocotiledônea","Nees",NA,NA,NA,NA,NA,NA,"Arroyo Catalina ( S. Diogo, La Palma Pinar del Rio).",NA,NA,NA,NA,NA,NA,NA,"IAN063050 IAN063050_e IAN063050_e1 IAN063050_e2",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-02 16:29:10-03","CPAN-UFMS","COR","15959","PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","Ribeiro, L. M.","7",NA,"Brasil",NA,NA,"Erva, 1,6 m de altura, com rizoma Habito: Erva",NA,NA,"Nees ex Steud.","Guglieri, A.","2008","2007","09","23","Mato Grosso do Sul","Recanto Anjo de Luz; córrego Boa Sorte","-54.832222","-19.8275","54º49'56''W","19º49'39''S","312","312","Corguinho",NA,"06","18",NA,NA,NA,NA,NA
"8","2020-02-08 10:16:15-03","NBC","NL-BOTANY","L.1217043","PreservedSpecimen","Plantae","Gramineae","Arundinella","deppeana","Arundinella deppeana","Smith HH",NA,"Southern America","Colombia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1217043 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1217043",NA,"Nees",NA,NA,"1898","01","01",NA,"Santa llarta. *.",NA,NA,NA,NA,NA,NA,NA,"NL-L1217043",NA,NA,"Magnoliopsidae","Poales",NA,NA,NA
"9","2020-02-08 10:16:15-03","NBC","NL-BOTANY","U.1493150","PreservedSpecimen","Plantae","Gramineae","Arundinella","deppeana","Arundinella deppeana","Smith HH",NA,"Southern America","Colombia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1493150 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1493150",NA,"Nees",NA,NA,"1898","01","01",NA,"Santa llarta. *.",NA,NA,NA,NA,NA,NA,NA,"NL-U1493150",NA,NA,"Magnoliopsidae","Poales",NA,NA,NA
"10","2021-04-07 11:47:12-03","UFMS","CGMS","20571","PreservedSpecimen","Plantae","Poaceae","Arundinella","deppeana","Arundinella deppeana","M.C. Pereira; L.M. Ribeiro; A. Guglieri","3",NA,"Brasil",NA,NA,NA,"CGMS1049965",NA,"Nees ex Steud.","A. Guglieri","2008","2007","09","23","Mato Grosso do Sul","Recanto Anjo de Luz.","-54.8293991088867","-19.8316993713379",NA,NA,NA,NA,"Corguinho",NA,"06","18",NA,NA,"56513","auto",NA
