"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00857715","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R. M. Harley","H. S. Irwin","12411","1966","02","09","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943951' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857715","NY00857715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00857716","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R. M. Harley","H. S. Irwin","32130","1971","03","18","South America","Brazil","Goiás","São João d'Aliança","Serra Geral do Paraná, ca. 20 km N.of São João de Aliança","-47.5333","-14.51924","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943953' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857716","NY00857716_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00857717","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R. M. Harley","B. Gates","202","1979","02","15","South America","Brazil","Goiás","Alto Paraiso de Goiás","Chapada dos Veadeiros 5km E of Alto Paraíso.","-47","-14",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943956' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857717","NY00857717_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00857714","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","R. M. Harley","G. M. Barroso","591","1968","12","21","South America","Brazil","Goiás","Campos Belos","Chapada dos Veadeiros, Pouso Alto.","-46.7717","-13.0369","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857714","NY00857714_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:32:36-03","NBC","NL-BOTANY","U.1405752","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling",NA,"Irwin HS; Harley RM; Smith GL",NA,"1971","03","18","Southern America","Brazil",NA,NA,"Tha planlto do Brasil, Estado de goias, Chapada dos Veadeiros, wet campo and adjacent gallery forest, ca. 20km N. of Alto do Paraiso.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1405752 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1405752","NL-U1405752","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:40:39-02","IPA","IPA","17883","S","Plantae","Plantae",NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Harley, R.M.","Barroso, G.M.; Mª José; Giulietti, A.M.; Mª José; Giulietti, A.M.","591","1968","12","21","Southern America","Brasil","Goiás",NA,"Chapada dos Veadeiros, Pouso alto, sobre pedras.",NA,NA,"1800","1800",NA,"Arbusto ramificado com 1,5m de altura, ericoide, com flores alvas. Frequente no local.","IPA0017883",NA,NA,"1990","02","01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:32:09-03","UNICAMP","UEC","102624","S","Plantae","Magnoliopsida",NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling",NA,"Romero, R; Almeda, F; Robinson, O; Robinson, D; Martins, AB; Goldenberg, R","5535","1998","06","16",NA,"Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, cerca de 11 Km da cidade.","-47.610278","-14.169028","1115","1115",NA,"Árvore, cerca de 2.5 m. Cálice verde, corola lavanda.; Campo limpo associado a afloramentos rochosos, local úmido.","UEC095210","UEC095210",NA,NA,NA,NA,"-47.610278","-14.169028",NA,NA,NA,NA,NA
"8","2021-03-01 16:32:09-03","UNICAMP","UEC","27986","S","Plantae","Magnoliopsida",NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Semir, J","Martinelli, G; et al.","3809","1978","01","24",NA,"Brazil","Goiás","Alto Paraíso de Goiás","43 km ao Norte de Alto de Paraíso de Goiás. Chapada dos Veadeiros.","-47.5099983215332","-14.1324996948242","1200","1200",NA,"Arbusto com mais ou menos 2m, heliófila, saxícola, folhas verdes concolor, flores róseo pálido.; Formações de campos rupestres","UEC156964","UEC156964",NA,"2018","02",NA,NA,NA,"44724","auto",NA,NA,NA
"9","2020-05-15 17:23:09-03","UFPB","JPB","2407","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling",NA,"Chaves, MJ","247","1968","12","21","Southern America","Brasil","Goiás","Chapadão dos Veadeiros-Pouso A",NA,NA,NA,"1800","1800",NA,"; DESC: Arbusto ramificado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:30:19-03","MBM","MBM","261695","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","pachyphylla","Hyptis pachyphylla","Epling","Oliveira, R.C.","Oliveira, R.C.; et al.; et al.","1054","1998","05","01","Southern America","Brazil","Goiás","Alto Paraíso","Fazenda Água Fria",NA,NA,NA,NA,NA,NA,"MBM261695","MBM261695",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
