"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","class","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1144747","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & H.Schumach.","B. Loeuille","B. Loeuille","289","2007","07","20","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros. Estrada GO-118 para Cavalcante, 30 km depois de Alto Paraíso.","-47.5097","-14.1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299100' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144747","NY01144747_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","168377","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & H.Schumach.",NA,"N. F. F. MacLeish","734","1980","10","14","South America","Brazil","Goiás","Cavalcante","33 km. north of Alto Paraiso towards Cavalcante","-47.4581","-13.7975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=241666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00168377","NY00168377_01","isotype","1370","1370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","860341","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & H.Schumach.",NA,"H. Schumacher","1035","1981","08","28","South America","Brazil","Goiás","Alto Paraíso de Goiás","Brasília Richtung Campos Belos 22 km nach Alto Paraíso, rechts,","-47.5097","-14.1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860341","NY00860341_01",NA,"1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:01:39-03","ESALQ","ESA","67238","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & Schumacher","Loeuille, B.","Souza, V.C. et al.","24698.0","2000","07","31",NA,"Brasil","Goiás","Teresina de Goiás",NA,"-47.2647018432617","-13.7763996124268",NA,NA,"ESA067238",NA,NA,NA,NA,"2013","42211","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:01:39-03","ESALQ","ESA","90097","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & Schumacher","Loeuille, B.","Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","4502.0","2005","01","23",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Estrada para a Vila de São Jorge, ca. 7km do trevo da GO-118. Próximo à entrada da Fazenda Capão do Negro. Campo úmido com cerrado adjacente","-47.5099983215332","-14.1324996948242",NA,"Arvoreta, ca. 3m alt. Inflorescências creme","ESA090097","ESA090097",NA,"1110","1110","2011","44724","auto","-47,616,667","-14,163,611",NA,NA,NA,NA,NA,NA
"6","2021-03-25 09:27:02-03","UNICAMP","UEC","120400","S","Plantae","Magnoliopsida",NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & Schumach.","Leuville, B","Semir, J; Mansanares, ME; Belinello, R","01101","2001","06","20",NA,"Brazil","Minas Gerais","Catas Altas","Estrada para Conselheiro Mata.","-43.6806","-20.126794",NA,NA,"UEC123741","UEC123741",NA,"1305","1305",NA,NA,NA,"-43.6806","-20.126794",NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:24:08-03","UNICAMP","UEC","180916","S","Plantae","Magnoliopsida",NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & Schumach.","Loeuille, BFP","Souza, VC; Souza, JP; Scalon, VR; Romão, GO; Araújo, AO","24698","2000","07","31",NA,"Brazil","Goiás","Teresina De Goiás","Fazenda Hotel Ecológico Alpes Goianos. Rod. GO-118, km 202.","-47.396917","-13.89975",NA,"Arbusto esguio, ca. 5 m de altura; papilho creme.","UEC123742","UEC123742",NA,NA,NA,"2013",NA,NA,"-47.396917","-13.89975","09",NA,NA,NA,NA,NA
"8","2019-08-20 10:05:32-03","UNICAMP","UEC",NA,"S","Plantae","Magnoliopsida",NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & Schumach.",NA,"Schumacher, H","3044","1983","07","04",NA,"Brazil","Distrito Federal","Brasília","Richtung Alto Paraíso de Goiás, 22km nach Alto Paraíso","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:05:32-03","UNICAMP","UEC","32310","S","Plantae","Magnoliopsida",NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & Schumach.",NA,"Schumacher, H","3044","1983","07","04",NA,"Brazil","Distrito Federal","Brasília","Richtung Alto Paraíso de Goiás, 22km nach Alto Paraíso","-47.9296989440918","-15.7797002792358",NA,NA,"UEC069225","UEC069225",NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:05:32-03","UNICAMP","UEC","126743","S","Plantae","Magnoliopsida",NA,"Asteraceae","Eremanthus","argenteus","Eremanthus argenteus","MacLeish & Schumach.","Loeuille, BFP","Vichnewski, W","35165","1995","07","06",NA,"Brazil","Goiás","Alto Paraíso de Goiás","Estrada GO 118, Sentido Alto Paraíso - Terezina de Goiás, km 196-197.","-47.5099983215332","-14.1324996948242",NA,"Árvore, ca. 2,0 m, pappus purpuras.","UEC069393","UEC069393",NA,NA,NA,"2011","44724","auto",NA,NA,NA,NA,NA,NA,NA,NA
