"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","verbatimLongitude","verbatimLatitude","previousCatalogNumber","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","788085","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","paranensis","Baccharis paranensis","Heering & Dusén","H. E. Robinson","R. A. Wasum","s.n.","1994","09","24","South America","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Floresta Nacional.","-50.395632","-29.433343","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788085","NY00788085_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","788088","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","paranensis","Baccharis paranensis","Heering & Dusén","P. K. H. Dusén","P. K. H. Dusén","14394","1914","01","22","South America","Brazil","Paraná","Sao Joao","Serra do Mar.","-52.7253","-25.8281",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788088","NY00788088_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","788087","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","paranensis","Baccharis paranensis","Heering & Dusén","P. K. H. Dusén","P. K. H. Dusén","7899","1909","03","25","South America","Brazil","Paraná",NA,"Serra do Mar, Cadeado.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788087","NY00788087_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-20 14:40:13-03","UPM","MACK","788","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","paranensis","Baccharis paranensis","Herring & Dusen","G. Heiden","V. C. Souza; et al.","9070","1995","09","04",NA,"Brasil","SP","Eldorado","Parque Estadual de Jacupiranga, núcleo da caverna do Diabo, trilha para o mirante mais alto. Mata Atlântica com transição para campo de altitude.","-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,NA,NA,"2010","11","38804","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:48:01-03","NBC","NL-BOTANY","U.1110748","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Baccharis","paranensis","Baccharis paranensis","Heering ex Dusén","Dusén PKH","Dusén PKH",NA,"1915","01","20","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1110748 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1110748","NL-U1110748",NA,NA,NA,NA,"Magnoliopsidae","U 0108462",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:01:10-03","ESALQ","ESA","25087","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Baccharis","paranensis","Baccharis paranensis","Heering ex Dusén","Heiden, G.","Souza, V.C.; Rodrigues, R.R.; Arzolla, F.A.R.P.; Ivanauskas, N.M.; Souza, J.P.; Scalon, V.R.; Farah, F.T.; Mazine, F.F.; Sanches, I.D.; Paiva, G.A.; Campos, L.M.; Dias, A.S.; Pereira, V.; Cordeiro, L.E.; Rodrigues, A.G.; Guskuma, M.","8981.0","1995","09","02",NA,"Brasil","São Paulo","Eldorado","Parque Estadual de Jacupiranga, Núcleo da Caverna do Diabo, Trilha para o Mirante dos Angicos. 24*30'06S, 48*24'32W. Área de rochas calcáreas. Mata Atlântica com transição para campo de altitude.","-48.0999984741211","-24.5200004577637",NA,NA,NA,"Arbusto, ca. 1 m alt.; capítulos creme. Transição campo de altitude - mata.","ESA025087","ESA025087","2015","05","38804","auto",NA,NA,"28",NA,NA,NA,NA,NA,NA
"7","2020-02-27 16:43:49-03","UFSC","CTBS","51","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","paranensis","Baccharis paranensis","Heering & Dùsen","Iganci, J.R.V.","Iganci, João Ricardo Vieira; Ferreira, P.A.; Silveira, G.H & Buzatto, C.","507","2008","11","18",NA,"Brasil","Santa Catarina","Urubici","Serra do Corvo Branco","-49.366111","-28.055556","1340","1340",NA,NA,NA,NA,"2008","11",NA,NA,NA,NA,"28","49°21'58W","28°03'20S","ICN: 172134",NA,NA,NA
"8","2021-03-01 16:23:20-03","UNICAMP","UEC","156806","S","Plantae","Magnoliopsida",NA,"Asteraceae","Baccharis","paranensis","Baccharis paranensis","Heering & Dusén","Heiden, G","Souza, VC; et al.","9070","1995","09","04",NA,"Brazil","São Paulo","Eldorado","Brasil. São Paulo. Município de Eldorado. Parque Estadual de Jacupiranga, Núcleo da Caverna do Diabo. Trilha para o mirante mais alto.","-48.407778","-24.634722",NA,NA,NA,"Escandente, capítulos creme.; Campo de altitude. Mata Atlântica com transição para campo de altitude.","UEC008688","UEC008688","2010","09",NA,NA,NA,NA,NA,"-48.407778","-24.634722",NA,NA,NA,NA
"9","2021-03-01 16:23:20-03","UNICAMP","UEC","76444","S","Plantae","Magnoliopsida",NA,"Asteraceae","Baccharis","paranensis","Baccharis paranensis","Heering & Dusén","Heiden, G","Souza, VC; et al.","8981","1995","09","02",NA,"Brazil","São Paulo","Eldorado","Brasil. São Paulo. Município de Eldorado. Parque Estadual do Jacupiranga. Núcleo da Caverna do Diabo. Trilha para o Mirante dos Angicos.","-48.408889","-24.501667",NA,NA,NA,"Arbusto, ca. 1m alt., capítulos creme.; Área de rochas calcáreas. Mata Atlântica com transição para campo de altitude. Transição campo de altitude - mata.","UEC101991","UEC101991","2010","11",NA,NA,NA,NA,NA,"-48.408889","-24.501667",NA,NA,NA,NA
"10","2021-03-01 16:23:20-03","UNICAMP","UEC","76439","S","Plantae","Magnoliopsida",NA,"Asteraceae","Baccharis","paranensis","Baccharis paranensis","Heering & Dusén","Heiden, G","Souza, VC; et al.","8977","1995","09","02",NA,"Brazil","São Paulo","Eldorado","Brasil. São Paulo. Município de Eldorado. Parque Estadual do Jacupiranga. Núcleo da Caverna do Diabo. Trilha para o Mirante dos Angicos.","-48.408889","-24.501667",NA,NA,NA,"Erva subescandente, capítulos creme.; Área de rochas calcáreas. Mata Atlântica com transição para campo de altitude. Mata.","UEC101990","UEC101990","2010","11",NA,NA,NA,NA,NA,"-48.408889","-24.501667",NA,NA,NA,NA
