"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01318295","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","M. K. Caddah","M. K. Caddah","638","2009","08","04","South America","Brazil","São Paulo","Queluz","Margem do Rio das Cruzes, próximo à pousada Águas da Marambaia","-44.7811","-22.4547","970","970","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305589' target='other'> <mi>dwc_moreinfo</mi></a>","NY01318295","NY01318295_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","522170","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"A. F. M. Glaziou","16888",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522170","NY00522170_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","522171","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","R. Goldenberg","L. H. Bailey","1244","1924","03","10","South America","Brazil","Rio de Janeiro","Teresópolis","Therezopolis","-42.986352","-22.417353","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92631' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522171","NY00522171_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:04:18-03","NBC","NL-BOTANY","U.1395619","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","robusta","Miconia robusta","(Sagot) Cogn.",NA,"Forestry Bureau",NA,"1916","03","25","Southern America","Surinam",NA,NA,"Boschreserve, Brownsberg.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1395619 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1395619","NL-U1395619","Magnoliopsidae","U 0204279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:04:18-03","NBC","NL-BOTANY","U.1395620","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","robusta","Miconia robusta","(Sagot) Cogn.",NA,"Forestry Bureau",NA,"1916","03","25","Southern America","Surinam",NA,NA,"Boschreserve, Brownsberg.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1395620 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1395620","NL-U1395620","Magnoliopsidae","U 0204278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:04:18-03","NBC","NL-BOTANY","U.1395622","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","robusta","Miconia robusta","(Sagot) Cogn.",NA,"Unknown",NA,"1916","09","21","Southern America","Surinam",NA,NA,"Brownsberg.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1395622 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1395622","NL-U1395622","Magnoliopsidae","U 0204282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:04:18-03","NBC","NL-BOTANY","U.1395623","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","robusta","Miconia robusta","(Sagot) Cogn.",NA,"Unknown",NA,"1916","09","21","Southern America","Surinam",NA,NA,"Brownsberg.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1395623 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1395623","NL-U1395623","Magnoliopsidae","U 0204281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:04:18-03","NBC","NL-BOTANY","L.2550766","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"Glaziou AFM",NA,"1888","01","01","Southern America","Brazil",NA,NA,"Prov. Rio de janeiro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2550766 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2550766","NL-L2550766","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:39:39-03","UFJF","CESJ","24504","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.",NA,"L. Krieger","CESJ24504","1987","10","30","América do Sul","Brasil","Minas Gerais","Juiz de Fora","São Pedro","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Árvore pequena, em mata ciliar. Face dorsal das folhas de cor ferrugínea. Flores creme.","CESJ024504",NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:39:39-03","UFJF","CESJ","54771","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"A.O. Soares; A.D.Souza; E>A.Feliciano; F.A.R.Freitas; W.F.Pereira","s.n.","2003","04","25","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Campus da UFJF, Mata da Faculdade de Educação Física.","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Arvoreta.","CESJ054771",NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA,NA
