"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","recordNumber","individualCount","coordinatePrecision","geoFlag","class","continentOcean","typeStatus","fieldNumber","preparationType","relatedCatalogItem"
"1","2021-04-05 14:25:06-03","UNESC","CRI","1615","PreservedSpecimen","Plantae","Bromeliaceae","Wittrockia","superba","Wittrockia superba","Lindm.","Jorge Luiz Waechter","1993","07","26","V. Citadini-Zanette","1993","03","02","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","300","300","CRI001859","CRI001859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:22-03","UNESC","CRI","12545","PreservedSpecimen","Plantae","Bromeliaceae","Wittrockia","superba","Wittrockia superba","Lindm.","Renato Colares & Aline V. Guislon","2017","07","25","Alexandre Medeiros","2017","05","23","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras (Pedra do Urubu).","-48.637778","-27.001389","48º38'16''W","27º0'5''S",NA,NA,"CRI010752","CRI010752","Coleta 381. Habito: Rupícola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:50-03","FZB-BH","CVJBFZB","124","S","Plantae","Bromeliaceae","Wittrockia","superba","Wittrockia superba","Lindm.","Elton. C. M. Leme","2009","05",NA,"Roberto da Silva;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254","Magnoliophyta","Poales","Silva114","1",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:50-03","FZB-BH","CVJBFZB","519","S","Plantae","Bromeliaceae","Wittrockia","superba","Wittrockia superba","Lindm.","Elton. C. M. Leme","2011","08",NA,"Elton M. C. Leme; Bruno Rezende Silva; Karl Green","1999","08","27","Brasil","São Paulo","Pariquera-Açú","Fazenda Chá-Pariquera, Mata Atlântica","-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,NA,"254","Magnoliophyta","Poales",NA,"1","17990","auto",NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:03:58-03","ESALQ","ESA","95423","PreservedSpecimen","Plantae","Bromeliaceae","Wittrockia","superba","Wittrockia superba","Lindm.",NA,NA,NA,NA,"Carboni, M. et al.","2005","03","28","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,"ESA095423","ESA095423",NA,"Magnoliophyta",NA,"169.0",NA,"38804","auto",NA,NA,NA,NA,NA,NA
"6","2021-02-07 08:35:31-03","MN","R","239911","PreservedSpecimen","Plantae","Bromeliaceae","Wittrockia","superba","Wittrockia superba","Lindm.","Kessous, I.M.","2017","03","14","Kessous, I.M. 274; Aguiar, C. & Costa, A.F.","2017","03","14","Brasil","São Paulo","São Luiz do Paraitinga","PESM, sede, Trilha do Pirapitinga.",NA,NA,NA,NA,NA,NA,"R010071846,R010071847,R010071848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-07 17:00:40-03","MN","R","211061","PreservedSpecimen","Plantae","Bromeliaceae","Wittrockia","superba","Wittrockia superba","Lindm.",NA,NA,NA,NA,"França, C.R.P. 2; Moura, R.","2007","03","24","Brasil","Rio de Janeiro","Rio de Janeiro","Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010016926","R010016926 R010016926_1 R010016926_2",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"8","2021-02-07 08:35:31-03","MN","R","46445","PreservedSpecimen","Plantae","Bromeliaceae","Wittrockia","superba","Wittrockia superba","Lindm.","Fontoura, T.","1987","07","21","Ule, E.H.G.",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Tijuca.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010016927","R010016927 R010016927_1",NA,NA,NA,"4041",NA,"57442","auto",NA,NA,NA,NA,NA,NA
"9","2020-06-30 10:38:00-03","IAP","PACA-AGP","30392","PreservedSpecimen","Plantae","Bromeliaceae","Wittrockia","superba","Wittrockia superba","Lindm.","Büneker, H.M.","2018","06","08","Reitz, R.","1944","04","10","Brasil","SC","Sombrio",NA,"-49.61669921875","-29.113899230957",NA,NA,"10","10","PACA030392",NA,"for. parvum Reitz. Herbas de folhas arrouxeadas Habitat: In silva primaeva ad arbores et rupes Hábito: Epífita e rupestre","Magnoliophyta","Bromeliales","1092",NA,"16515","auto","Liliatae",NA,NA,NA,NA,NA
"10","2021-03-01 16:19:09-03","UNICAMP","UEC","206545","S","Plantae","Bromeliaceae","Wittrockia","superba","Wittrockia superba","Lindm.","Nunes, CEP","2018","06",NA,"Vizentin-Bugoni, J; Nunes, CEP","2013","08","15","Brazil","São Paulo","São Luiz do Paraitinga","Área de piquenique adjascente ao alojamento de pesquisadores do Núcleo Santa Virgínia, Parque Estadual da Serra do Mar","-45.133333","-23.316667","-45.133333","-23.316667","80","1200","UEC001199","UEC001199","Plantas geralmente epífitas, encontradas no estrato superior da floresta ou rupícolas, mesofíticas a heliófilas, formando touceiras, 40-60cm alt. florida.; Floresta Ombrófila Densa Sub-Montana.","Liliopsida",NA,"2013/68",NA,NA,NA,NA,NA,NA,NA,NA,NA
