"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","yearIdentified","class","relatedCatalogItem","fieldNumber","individualCount","monthIdentified","dayIdentified","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","02027220","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","pachyantha","Vochysia pachyantha","Ducke","N. T. da Silva","60963","1966","02","03","South America","Brazil","Amazonas","Between Maturacá and Rio Yá; Rio Negro, Rio Cauaburí, Rio Maturacá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2183532' target='other'> <mi>dwc_moreinfo</mi></a>","NY02027220","NY02027220_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1085","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","pachyantha","Vochysia pachyantha","Ducke","W. A. Ducke","RB-34653","1936","02","21","South America","Brazil","Amazonas","Rio Curicuriary affl. Rio Negro, ad ripam altam infra cataractam Bucú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=358660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00001085","NY00001085_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02027219","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","pachyantha","Vochysia pachyantha","Ducke","N. T. da Silva","60963","1966","02","03","South America","Brazil","Amazonas","Between Maturacá and Rio Yá; Rio Negro, Rio Cauaburí, Rio Maturacá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2183531' target='other'> <mi>dwc_moreinfo</mi></a>","NY02027219","NY02027219_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:50:45-03","EAO","IAN","135712","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Vochysia","pachyantha","Vochysia pachyantha","Ducke","Silva, NT da; Brazão, U","60963","1966","02","03","Southern America","Brasil",NA,"Along margin of rio Cauaburi, in high forest on terra firme, between rio Maturaca and rio Ya.",NA,"Tree 25m high, 50cm diam, calyx orange, corolla orange below and yellow within, style yellow.","IAN135712",NA,NA,"Marcano-Berti, L","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:50:45-03","EAO","IAN","145822","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Vochysia","pachyantha","Vochysia pachyantha","Ducke","Ribeiro, BGS","835","1975","03","04","Southern America","Brasil","Amazonas","Margem da estrada Perimetral Norte. Rio Negro, Uaupés.",NA,"Árvore de 13m. Cálice marron, corola e estames amarelos.","IAN145822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:50:45-03","EAO","IAN","146589","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Vochysia","pachyantha","Vochysia pachyantha","Ducke","Pires, JM; Marinho, LR","15676","1975","03","06","Southern America","Brasil","Amazonas","Rio Negro, S. Gabriel da Cachoeira; Perimetral Norte km 24, mata de terra firme, solo arenoso.",NA,"Árvore de 12m e 20cm diam., flor amarela.","IAN146589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:50:45-03","EAO","IAN","42699","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Vochysia","pachyantha","Vochysia pachyantha","Ducke","Fróes, RL","23782","1948","12","26","Southern America","Brasil","Amazonas","Rio Solimões; igarapé Belém; terra firme high land forest vicinity of the village Belém.",NA,"Tree, 30mts. x 35cm yellow flowers.","IAN042699",NA,NA,"Stafleu, FA","1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:50:45-03","EAO","IAN","50543","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Vochysia","pachyantha","Vochysia pachyantha","Ducke","Ducke, A","s.n.","1936","02","21","Southern America","Brasil","Amazonas","Rio Curicuriarí; margem alta abaixo da cachoeira Bocú.",NA,"Árvore pequena; inflorescencia toda ferrugineo-clara; flores internamente amarelas.","IAN050543",NA,"isotipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:08:33-03","NBC","NL-BOTANY","U 0007163","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Vochysia","pachyantha","Vochysia pachyantha","Ducke","Ducke A",NA,"1936","02","21","Southern America","Brazil","Amazonas","Rio curicuriary affl. R. Negro (civ. Amazonas), infra cataractam Bucú",NA,"ad ripas<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007163 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007163","NL-U0007163","isotype","Stafleu FA",NA,"Magnoliopsidae","10242 B",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:08:33-03","NBC","NL-BOTANY","U 0007164","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Vochysia","pachyantha","Vochysia pachyantha","Ducke","Ducke A",NA,"1936","02","21","Southern America","Brazil","Amazonas","Rio curicuriary affl. R. Negro (civ. Amazonas), infra cataractam Bucú",NA,"ad ripas<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007164 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007164","NL-U0007164","isotype","Stafleu FA",NA,"Magnoliopsidae","10243 B",NA,NA,NA,NA,NA,NA,NA,NA
