"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:41:33-03","E","E","84510","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","phlogiformis","Trembleya phlogiformis","Munhoz, C.","267","1995","05","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93643","<a href=http://data.rbge.org.uk/herb/E00084510 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00942043","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","phlogiformis","Trembleya phlogiformis stachyoides","H. S. Irwin","29292","1971","01","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023222' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942043","Magnoliophyta","Myrtales","stachyoides","(Naudin) Cogn.","J. J. Wurdack","Minas Gerais","Serra do Espinhaço, ca. 12 km W. of Barão de Cocais, base of Serra da Caraça","-43.4927778","-20.1263","1500","1500","NY00942043_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","558627","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","phlogiformis","Trembleya phlogiformis","F. Segadas-Vianna","2824","1951","03",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558627","Magnoliophyta","Myrtales",NA,"DC.","J. J. Wurdack","São Paulo","Barreiro Co., Serra da Bocaina. Lageado Farm","-44.622423","-22.796043","1600","1600","NY00558627_01","Sao José do Barreiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","558620","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","phlogiformis","Trembleya phlogiformis","M. Sakane","470","1976","02","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663888' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558620","Magnoliophyta","Myrtales",NA,"DC.","E. Martins","São Paulo","Campos do Jordao, Vila Matilde, áreas do Sanatório Sao Francisco Xavier","-45.604903","-22.750525",NA,NA,"NY00558620_01","Campos do Jordao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00749118","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","phlogiformis","Trembleya phlogiformis cuneifolia","W. R. Anderson","9645","1973","05","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=888676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749118","Magnoliophyta","Myrtales","cuneifolia","Cogn.","J. J. Wurdack","Goiás","Serra do Caiapó, ca. 12 km (straight line) S of Caiapônia","-51.81666667","-17.0566","840","840","NY00749118_01","Caiapônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","558608","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","phlogiformis","Trembleya phlogiformis","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558608","Magnoliophyta","Myrtales",NA,"DC.",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,"NY00558608_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","558618","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","phlogiformis","Trembleya phlogiformis","G. G. Hatschbach","13964","1966","03","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558618","Magnoliophyta","Myrtales",NA,"DC.","J. J. Wurdack","Paraná","Jaguariaiva-Arapoti","-49.7056","-24.2511",NA,NA,"NY00558618_01","Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","558631","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","phlogiformis","Trembleya phlogiformis","H. Luederwaldt","11488","1907","05",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558631","Magnoliophyta","Myrtales",NA,"DC.","E. Martins","São Paulo","Ipiranga","-46.63","-23.5403",NA,NA,"NY00558631_01","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00942041","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","phlogiformis","Trembleya phlogiformis quinquenervia","H. S. Irwin","19723","1968","02","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942041","Magnoliophyta","Myrtales","quinquenervia","Cogn.","J. J. Wurdack","Minas Gerais","Serra do Itabirito, ca. 50 km S.E. of Belo Horizonte.","-43.73","-20.28","1500","1500","NY00942041_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","558621","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","phlogiformis","Trembleya phlogiformis","M. Kuhlmann","32399","1935","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558621","Magnoliophyta","Myrtales",NA,"DC.","E. Martins","São Paulo","Campos do Jordao; Umuarama","-45.583534","-22.762448",NA,NA,"NY00558621_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
