"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","class","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","03998704","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","G. S. Bunting","4866","1974","11","07","South America","Venezuela","Táchira","Cerca de Cordero (km 17 de la vía San Cristóbal-Táriba-Zumbador), alrededor del instituto por encima de la loma arriba de Cordero","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4314349' target='other'> <mi>dwc_moreinfo</mi></a>","NY03998704","NY03998704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03998705","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","J. A. Steyermark","55539","1944","02","15","South America","Venezuela","Lara","Dry rocky slopes along canyon, between Buenos Aires and Humocaro Alto.","1820","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4314353' target='other'> <mi>dwc_moreinfo</mi></a>","NY03998705","NY03998705_01","2285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03998706","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","J. A. Steyermark","94209","1964","05","18","South America","Venezuela","Bolívar","Faldas meridionales: vecindad de Guayaraca, en la primera (inferior) meseta (hombrillo) arriba del valle de Kamarata.","1000","sheet","Expedición Auyan-tepui. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4314354' target='other'> <mi>dwc_moreinfo</mi></a>","NY03998706","NY03998706_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:46:50-02","IPA","IPA","28424","S","Plantae","Plantae",NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb. f.","Andrade-Lima","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,"IPA0028424",NA,NA,"Smidt, E.C.","2007","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:46:50-02","IPA","IPA","20838","S","Plantae","Plantae",NA,"Orchidaceae","Bulbophyllum","sanderianum","Bulbophyllum sanderianum","Rolfe","Andrade-Lima","69-5613","1969","11","29","Southern America","Brasil","Pernambuco","Fazenda Nova, Serra do Cumunati",NA,NA,"Epífita.","IPA0020838",NA,NA,"Félix, L.P.","1988","07","13","Águas Belas","-37.1231002807617","-9.11139011383057","36545","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-10-14 10:03:57-03","FURB","FURB","54066","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Funez, L.A.","6372","2017","05","01",NA,"Brasil","Santa Catarina","Morro Dom Bosco.","171",NA,"Flores verdes com manchas vináceas, labelo vináceo Habitat: Floresta Habito: Epífito","FURB54066","FURB54066","171","Funez, L.A.","2017","05","31","Apiúna","-49.3666667","-27.0502778",NA,NA,"-49.3666667","-27.0502778",NA,NA,NA,NA,NA
"7","2021-03-21 19:40:16-03","UFC","EAC","49551","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb. f.","Lima-Verde, L.W.","3442","2008","10","09","Southern America","Brasil","Ceará","Mata do brejo",NA,NA,"Epífita, herbáceo.; Mata ombrófila","EAC0049551","EAC0049551",NA,"Lima-Verde, L.W.","2018","06","26","Aratuba","-39.0449981689453","-4.41833019256592","11686","auto",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-21 19:40:16-03","UFC","EAC","49541","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb. f.","Lima-Verde, L.W.","s.n.","2007","10","08","Southern America","Brasil","Ceará","Pico Alto, Sítio lagoa, Ladeira da Pendanga, sotavento.","950",NA,"herbáceo.; Mata seca","EAC0049541","EAC0049541","950","Lima-Verde, L.W.","2018","06","26","Guaramiranga","-38.9331016540527","-4.26332998275757","13198","auto",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-21 19:40:16-03","UFC","EAC","24178","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb. f.","Otoch, R.","s.n.","1996","06","16","Southern America","Brasil","Ceará","Sítio Lorena",NA,NA,"Erva, flor amarelo-lilás.; Mata úmida","EAC0024178","EAC0024178",NA,"Smidt, E.C.","2007","08",NA,"Mulungu","-38.9963989257812","-4.30556011199951","10506","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:38:16-03","MBM","MBM","226957","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Carneiro, J.","373","1997","12",NA,"Southern America","Brazil","Santa Catarina","Vale do Itajaí",NA,NA,"Flor creme, salpicos vinosos. Floresta atlântica","MBM226957","MBM226957",NA,"Smidt, E.C.","2007","08",NA,"Indaial","-49.2317008972168","-26.8978004455566","29534","auto",NA,NA,NA,NA,NA,NA,NA
"11","2015-09-03 20:02:39-03","MNHN","RECOLNAT_MNHN_P","P00419843","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Funck, N.|Schlim",NA,"1846","9",NA,NA,"Vénézuela",NA,"Prov. de Merida","4500","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00419843' target='other'> <mi>dwc_moreinfo</mi></a>","P00419843","P00419843_01 P00419843_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type","735",NA,NA,NA
"12","2013-10-05 06:35:00-03","MO","MOBOT","2812625","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb. f.","Julian A. Steyermark|Ronald L. Liesner|Ángel C. González","Steyermark 120070","1979","11","12","South America","Venezuela","Táchira","Evergeen, dry forested slopes bordering vertical limestone bluff, Sierra El Casadero, 13 km north of Rubio, between Las Duntas and Las Adjuntas.","900.00000000",NA,NA,NA,NA,"1050.00000000","Dunsterville",NA,NA,NA,NA,"-72.38333","7.71666",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2011-04-08 08:45:00-03","MO","MOBOT","2814620","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb. f.","N. Funck|Louis J. Schlim","Funck 735",NA,NA,NA,"South America","Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,"E.A. Christenson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2014-09-11 11:00:00-03","MO","MOBOT","637286","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb. f.","Gerrit Davidse|Otto Huber","Davidse 22693","1982","11","25","South America","Venezuela","Bolívar","Guayaraca, between escarpment and Río Guayaraca, southern base of Auyan-tepui.","950.00000000",NA,NA,NA,NA,NA,"German & Ivon Carnevali",NA,NA,NA,"Piar","-62.5333333","5.7333333",NA,NA,NA,NA,NA,"82-8","2",NA,NA
"15","2020-07-10 09:48:11-03","MBML","MBML-HERBARIO","25171",NA,"Plantae",NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","A. P. Fontana","1436","2005","05","18",NA,"Brasil","Espírito Santo","Vale do Canaã",NA,NA,"Epífita; sépalas verdes quase toda coberta por máculas vináceas; pétalas verdes com máculas vinácea com margens ciliadas; coluna branca com máculas vináceas; labelo vináceo muito peludo exeto calo; antera com ápice verde e base laranja","MBML025171","MBML025171",NA,"Eric C. Smidt/VIII-2007",NA,NA,NA,"Santa Teresa","-40.601944","-19.906111",NA,NA,"40W36'7","19S54'22",NA,NA,NA,NA,NA
"16","2021-01-26 13:56:57-03","IMA","MAC","45646","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Chagas-Mota","7150","2010","01","28",NA,"Brasil","Alagoas","Fazenda Jussara.",NA,NA,"Epífita. Estéril.; Mata Atlântica.","MAC0045646",NA,NA,"W.T.C.C.Santos; V.Brito","2019","04","23","Viçosa","-36.306458","-9.384961",NA,NA,"-36.306458","-9.384961",NA,NA,NA,NA,NA
"17","2021-01-26 13:56:57-03","IMA","MAC","64481","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","V.Brito; F.Ralf","2","2017","12","03",NA,"Brasil","Alagoas",NA,"577",NA,"Epífita. Fruto verde enrrugado. Em árvore a ca. de 1,5 m. do solo.; Mata Atlântica.","MAC0064481",NA,"577","R.P.Lyra-Lemos",NA,NA,NA,"Flexeiras.","-35.723614","-9.333333",NA,NA,"-35.723614","-9.333333",NA,NA,NA,NA,NA
"18","2021-01-26 13:56:57-03","IMA","MAC","52551","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Chagas-Mota","10641","2011","03","29",NA,"Brasil","Alagoas","Coimbra, Grota da Burra.",NA,NA,"Epífita. Frutos passados.; Mata Atlântica.","MAC0052551",NA,NA,"E.C.O.Chagas","2011","03","29","Ibateguara","-35.533628","-8.575601",NA,NA,"-35.533628","-8.575601",NA,NA,NA,NA,NA
"19","2021-01-28 11:37:22-03","IMA","MAC","8050","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","R.P.Lyra-Lemos; C.S.S.Barros","2628","1992","09","03",NA,"Brasil","Alagoas","Serra Águas Belas, Areado",NA,NA,"Epífita no topo de árvore caída. Pétalas esverdeadas e amarelo-avermelhadas. Labelo rachado de vinho, parte interna preta.; Mata Atlântica em encosta íngreme.","MAC0008050",NA,NA,"V.Brito","2019","04","23","Murici","-36.572233","-9.526475",NA,NA,"-36.572233","-9.526475",NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","1358524","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense",NA,"E. P. Killip & A. C. Smith","24009","1929","6","1","South America - Neotropics","Peru","Junín",NA,"800",NA,NA,NA,NA,"1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"21","2021-03-25 13:53:02-03","UNIVILLE","JOI","15001","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Mancinelli, W.S.","1217","2010","05","04",NA,"Brasil","Santa Catarina","Praia de Bombinhas.","5",NA,"; HABITO: Epífita","JOI015001",NA,"5","Mancinelli, W. S.","2010","05","04","Bombinhas","-48.5169982910156","-27.1380004882812","11943","auto",NA,NA,NA,NA,NA,NA,NA
"22","2019-10-07 09:19:50-03","UEFS","HUEFS","117184","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Ribeiro, P.L.","177","2005","02",NA,NA,"Brasil","Bahia","Serra do Orobó, Pátio das Orquídeas.","628",NA,NA,"HUEFS0117184","HUEFS0117184","628","E.C.Smidt","2007","10",NA,"Rui Barbosa","-40.478333","-12.300833",NA,NA,"40W28'42''","12S18'3''",NA,NA,NA,"Lilianae",NA
"23","2019-10-07 09:19:50-03","UEFS","HUEFS","161334","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Smidt, E.C.","675","2005","12",NA,NA,"Brasil","Pernambuco","s.l.",NA,NA,NA,"HUEFS0161334","HUEFS0161334",NA,NA,NA,NA,NA,"Brejo de Madre de Deus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA
"24","2019-10-07 09:19:50-03","UEFS","HUEFS","161336","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Smidt, E.C.","677","2005","12",NA,NA,"Brasil","Pernambuco","s.l.",NA,NA,NA,"HUEFS0161336","HUEFS0161336",NA,NA,NA,NA,NA,"Brejo de Madre de Deus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA
"25","2019-10-07 09:19:50-03","UEFS","HUEFS","86410","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","meridense","Bulbophyllum meridense","Rchb.f.","Linden, J.","731","1846",NA,NA,NA,"Venezuela",NA,"Faropilla.",NA,NA,NA,"HUEFS0086410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA
