"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","class","dayIdentified","fieldNumber","typeStatus","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","04199189","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Guapira","nitida","Guapira nitida","(Mart. ex J.A.Schmidt) Lundell","D. da Silva Costa","J. R. Pirani","3380","1994","12","04","South America","Brazil","Espírito Santo","Nova Venécia","Rodovia ES-137, a 1 Km N do Córrego Boa Esperança. Mata pluvial tropical no sopé da Pedra do Elefante (enormes afloramentos graníticos).","-40.4006","-18.7108","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4508983' target='other'> <mi>dwc_moreinfo</mi></a>","NY04199189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","657038","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Guapira","nitida","Guapira nitida","(Mart. ex J.A.Schmidt) Lundell","L. Y. T. Westra","J. da Costa Sacco","451","1955","12","17","South America","Brazil","Rio Grande do Sul",NA,"I.A.S. -Pelotas. H. Botânico",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657038","NY00657038_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02714961","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Guapira","nitida","Guapira nitida","(Mart. ex J.A.Schmidt) Lundell","F. S. Souza","A. M. Amorim","4266","2004","09","17","South America","Brazil","Bahia","Jussari","RPPN Serra do Teimoso, entrada ca. 7.5 km da Rod. Jussari/Palmira. Fazenda Teimoso ca. 1.7 km da entrada","-39.5311","-15.1544","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474187' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714961","NY02714961_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","657040","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Guapira","nitida","Guapira nitida","(Mart. ex J.A.Schmidt) Lundell","J. A. Kallunki","W. W. Thomas","9444","1992","11","14","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-Ieao (IBAMA), 46 km north on BA-001 between Ilhéus and Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657040","NY00657040_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","657036","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Guapira","nitida","Guapira nitida","(Mart. ex J.A.Schmidt) Lundell","J. A. Kallunki","A. M. V. de Carvalho","3567","1991","09","11","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161643' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657036","NY00657036_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03066058","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Guapira","nitida","Guapira nitida","(Mart. ex J.A.Schmidt) Lundell",NA,"Carlos D. M. Ferreira","126","2015","08","25","South America","Brazil","Rio de Janeiro","Miguel Pereira","Próx ao Orbel 2. ReBio do Tinguá","-43.4688987731934","-22.4538993835449","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3287566' target='other'> <mi>dwc_moreinfo</mi></a>","NY03066058","NY03066058_01","25640","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02173103","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Guapira","nitida","Guapira nitida","(Mart. ex J.A.Schmidt) Lundell",NA,"J. A. Lira Neto","608","1997","08","05","South America","Brazil","Rio de Janeiro","Duque de Caxias","Trilha ao redor da represa (barragem) Plataforma. Reserva da Petrobras","-43.233333","-22.516667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2847953' target='other'> <mi>dwc_moreinfo</mi></a>","NY02173103","NY02173103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","657039","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Guapira","nitida","Guapira nitida","(Mart. ex J.A.Schmidt) Lundell","J. A. Kallunki","A. M. Amorim","624","1992","08","24","South America","Brazil","Bahia","Uruçuca","Estrada que liga Uruçuca ao Distrito de Serra Grande. Coletas efetuadas 30,7 km a partir da sede do município","-39.087604","-14.4769511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657039","NY00657039_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","657035","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Guapira","nitida","Guapira nitida","(Mart. ex J.A.Schmidt) Lundell","A. M. Amorim","S. C. de Sant'Ana","688","1998","09","20","South America","Brazil","Bahia","Una","Una Biological Reserve: Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Trilha paralela à área de cacau cabruca, vizinho a reserva","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657035","NY00657035_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","517229","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Guapira","nitida","Guapira nitida","(Mart. ex J.A.Schmidt) Lundell","J. A. Kallunki","A. M. V. de Carvalho","3567","1991","09","11","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517229","NY00517229_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","657037","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Guapira","nitida","Guapira nitida","(Mart. ex J.A.Schmidt) Lundell","L. Y. T. Westra","B. Rambo","30062","1945","09","10","South America","Brazil","Rio Grande do Sul","Porto Alegre","Porto Alegre","-51.153181","-30.11284","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657037","NY00657037_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","2422978","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Guapira","nitida","Guapira nitida","(Mart. ex J.A.Schmidt) Lundell",NA,"H. F. Uller","506","2013","10","22","South America","Brazil","Rio de Janeiro","Cabo Frio","Conglomerado 143-4-1-11-R","-42.0186004638672","-22.8794002532959","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675690' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422978","NY02422978_01","40069","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","03075416","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Guapira","nitida","Guapira nitida","(Mart. ex J.A.Schmidt) Lundell",NA,"F. Amancio","6","1998","06","12","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Botafogo, Morro Mundo Novo - vertente leste.","-43.2075004577637","-22.9027996063232","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3301102' target='other'> <mi>dwc_moreinfo</mi></a>","NY03075416","NY03075416_01","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 11:31:43-03","UFRJ","RFA","39807","PreservedSpecimen","Plantae",NA,NA,"Nyctaginaceae","Guapira","nitida","Guapira nitida","(Mart. ex J.A.Schmidt) Lundell","Cyl Farney","R. Finotti; J. Caruzo","262",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim","Fragmento florestal adjacente à entrada da Estação Ecológica Paraíso","-42.905556","-22.493333",NA,"Arvore com 13 m de altura e com PAP de 16,5 cm","RFA47004",NA,NA,NA,"42º54'20''W","22º29'36''S","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-01-20 14:40:46-03","UPM","MACK","932","PreservedSpecimen","Plantae",NA,NA,"Nyctaginaceae","Guapira","nitida","Guapira nitida","(J.A. Schmidt) Lundell","A. G. Aguirre","J. M. G. Teixeira","s/n","2011","08","06",NA,"Brasil","SP","Ilha Bela","Cachoeira dos Três Tombos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-01-20 14:40:46-03","UPM","MACK","933","PreservedSpecimen","Plantae",NA,NA,"Nyctaginaceae","Guapira","nitida","Guapira nitida","(J.A. Schmidt) Lundell","A. G. Aguirre","J. M. G. Teixeira","s/n","2011","08","18",NA,"Brasil","SP","Ilha Bela","Cachoeira dos Três Tombos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
