"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","recordNumber","year","month","day","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:33:32-03","UNESC","CRI","14059","PreservedSpecimen","Plantae","Fabaceae","Dimorphandra","mollis","Dimorphandra mollis","Benth.","Catarina D. Rona","Catarina D. Rona","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","Frutos secos Habitat: Terrestre Habito: Arbóreo","CRI012709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00979236","PreservedSpecimen","Plantae","Fabaceae","Dimorphandra","mollis","Dimorphandra mollis","Benth.","R. F. Vieira","R. F. Vieira","Brazil","Goiás","Padre Bernardo","-48.17","-15.42",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1078699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979236","Magnoliophyta","Fabales","647","1990","11","20","South America","Chacara a 5 km apos Fazenda Alegre; na beira do Rio Alegre; a esq. da Rod. Brazlan.- PE. Bernardo; sitio Laudemiro","1050","1050","sheet","NY00979236_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","470739","PreservedSpecimen","Plantae","Fabaceae","Dimorphandra","mollis","Dimorphandra mollis","Benth.","M. F. da Silva","I. Silberbauer-Gottsberger","Brazil","São Paulo","Botucatu","-48.42","-22.75",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470739","Magnoliophyta","Fabales","871","1970","12","11","South America","14 km East of Sao Manuel. Along the S. Manuel-Piracicaba highway. Near ex-RR station, 13 de Maio","550","550","sheet","NY00470739_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00979285","PreservedSpecimen","Plantae","Fabaceae","Dimorphandra","mollis","Dimorphandra mollis","Benth.","V. L. Gomes-Klein; E. F. Guimarães","V. L. Gomes-Klein","Brazil","Goiás","Mossâmedes","-50.215","-16.1269",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1078542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979285","Magnoliophyta","Fabales","3363","1997","10","27","South America","Reserva Biológica Prof. José Angelo Rizzo- Serra Dourada, próximo a estrada que segue para o areal.",NA,NA,"sheet","NY00979285_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00979235","PreservedSpecimen","Plantae","Fabaceae","Dimorphandra","mollis","Dimorphandra mollis","Benth.",NA,"J. H. Kirkbride Jr.","Brazil","Distrito Federal","Brasília","-47.63","-15.73",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1078534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979235","Magnoliophyta","Fabales","5481","1983","11","23","South America","Perto da DF 06, 10 km S de Planaltina","1000","1000","sheet","NY00979235_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00979182","PreservedSpecimen","Plantae","Fabaceae","Dimorphandra","mollis","Dimorphandra mollis","Benth.","M. F. da Silva","H. S. Irwin","Brazil","Mato Grosso",NA,"-52.33","-14.6667",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1078430' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979182","Magnoliophyta","Fabales","16781","1966","06","08","South America","Xavantina. Drainage of the Upper Rio Araguaia.","400","400","separate fruit","NY00979182_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4359","PreservedSpecimen","Plantae","Fabaceae","Dimorphandra","mollis","Dimorphandra mollis","Benth.",NA,"J. B. E. Pohl","Brazil",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732736' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004359","Magnoliophyta","Fabales","772",NA,NA,NA,"South America","[difficult to read], S. Pedro",NA,NA,"sheet","NY00004359_01","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00979264","PreservedSpecimen","Plantae","Fabaceae","Dimorphandra","mollis","Dimorphandra mollis","Benth.",NA,"R. Rodrigues-da Silva","Brazil","Minas Gerais",NA,"-45.8036","-15.3714",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1078819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979264","Magnoliophyta","Fabales","269","1999","04","30","South America","Parque Nacional Grande Sertao Veredas",NA,NA,"sheet","NY00979264_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00979188","PreservedSpecimen","Plantae","Fabaceae","Dimorphandra","mollis","Dimorphandra mollis","Benth.","G. O. A. Malme","Y. E. J. Mexia","Brazil","Minas Gerais","Corinto","-44.4564","-18.3808",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1078739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979188","Magnoliophyta","Fabales","5579","1931","04","09","South America","Corinto. Fazenda do Diamante; pasture north of buildings","590","590","sheet","NY00979188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00979159","PreservedSpecimen","Plantae","Fabaceae","Dimorphandra","mollis","Dimorphandra mollis","Benth.","M. F. da Silva","W. R. Anderson","Brazil","Goiás","São João d'Aliança","-47.5","-14.75",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1078452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979159","Magnoliophyta","Fabales","7615","1973","03","21","South America","4 km by road S of São João da Aliança. Serra Geral do Paraná.","1070","1070","sheet","NY00979159_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
