"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","380457","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","erecta","Chusquea erecta","L.G.Clark","isotype","L. G. Clark","826","1991","02","25","South America","Brazil","São Paulo","Salesópolis","Estaçao Biológica Boraceia/Reserva Hidrológica do rio Claro-SABESP, Campos da Boraceia","-45.9","-22.6","870","870","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70737' target='other'> <mi>dwc_moreinfo</mi></a>","NY00380457","NY00380457_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:40:11-03","MBM","MBM","194521","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Chusquea","erecta","Chusquea erecta","L.G. Clark","ISOTYPE","Clark, L.G.; Morel, M.; Morel, M.","826",NA,NA,NA,"Southern America","Brazil","São Paulo","Salesópolis","Estação Biológica de Boracéia, Reserva Hidrológica do Rio Claro","-45.9","-23.6","870","870",NA,"Campo de altitude with bunchgrasses, lichens, Eriocaulaceae, Melastomataceae, and varius shrubs. Bamboo in chumps, common on slopes, soil sandy, acidis. Culms erect, to ca. 1 cm in diameter, 1,5-2,5m tall. Internodes waxy, short. Cul","MBM194521","MBM194521","Clark, L.G.","2002","02","22","-45.9","-23.6",NA,NA,NA,NA
"3","2008-07-01 03:33:00-03","MO","MOBOT","230818","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Chusquea","erecta","Chusquea erecta","L.G. Clark","Isotype","Lynn G. Clark|M. Morel","Clark 826","1991","2","25","South America","Brazil","São Paulo",NA,"Mpio. Salesópolis, Estação Biológica Boraceia/Reserva Hidrológica do Rio Claro-SABESP, Campos da Boraccia. Campo de altitude with bunchgrasses, lichens, Eriocaulaceae, Melastomaceae and various shrubs.","-45.9","-22.6","870.00000000",NA,NA,NA,NA,NA,"L.G. Clark",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","04506","PreservedSpecimen","Plantae","Tracheophyta","Poales","Poaceae","Chusquea","erecta","Chusquea erecta","L.G.Clark",NA,"L. Clark",NA,NA,NA,NA,"América do Sul","Brasil","São Paulo","Salesópolis","Estação Biol. Boracéia","-45.8400001525879","-23.5300006866455",NA,NA,NA,"Campo de altitude with bunchgrasses, lichens, ...;",NA,NA,NA,NA,NA,NA,NA,NA,"Liliopsida","18032","auto",NA
"5","2020-09-12 05:00:02-03","US","US","3273172","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Chusquea","erecta","Chusquea erecta","L.G. Clark","Isotype","L. G. Clark & M. Morel","826","1991","2","25","South America - Neotropics","Brazil","São Paulo","Salesopolis","Estacao Biologica Boraceia. Reserva Hidrologica do Rio Claro-Sabesp, Campos da Boraceia.","-45.9","-22.6","870","870",NA,NA,"US00406483","US00406483_01",NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1"
"6","2020-09-12 05:00:02-03","US","US","3273171","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Chusquea","erecta","Chusquea erecta","L.G. Clark","Isotype","L. G. Clark & M. Morel","826","1991","2","25","South America - Neotropics","Brazil","São Paulo","Salesopolis","Estacao Biologica Boraceia. Reserva Hidrologica do Rio Claro-Sabesp, Campos da Boraceia.","-45.9","-22.6","870","870",NA,NA,"US00406484","US00406484_01",NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1"
"7","2019-11-21 10:15:06-03","IBt","SP","252414","S","Plantae",NA,NA,"Poaceae","Chusquea","erecta","Chusquea erecta","L.G.Clark","Holotype","Clark, L; Morel, M","826","1991","02","25",NA,"Brasil","São Paulo","Salesópolis","Estação Biológica de Boracéia, Reserva Hidrológica do Rio Claro - SABESP, Campos de Boracéia","-45.8400001525879","-23.5300006866455",NA,NA,NA,"Bamboo in clumps, common on slopes, soil sandy, acidic. Culms erect, to ca. 1 cm in diameter, 1.5-2.5 m tall. Internodes waxy, short. Culm leaves abaxially pubescent, deciduous after branching starts. Branches relatively short, all deve","SP002521","SP002521","Clark, LG","1994","01","15",NA,NA,NA,"18032","auto",NA
"8","2019-11-21 10:15:06-03","IBt","SP","252414a","Extra","Plantae",NA,NA,"Poaceae","Chusquea","erecta","Chusquea erecta","L.G.Clark","Holotype","Clark, L; Morel, M","826","1991","02","25",NA,"Brasil","São Paulo","Salesópolis","Estação Biológica de Boracéia, Reserva Hidrológica do Rio Claro - SABESP, Campos de Boracéia","-45.8400001525879","-23.5300006866455",NA,NA,NA,"Bamboo in clumps, common on slopes, soil sandy, acidic. Culms erect, to ca. 1 cm in diameter, 1.5-2.5 m tall. Internodes waxy, short. Culm leaves abaxially pubescent, deciduous after branching starts. Branches relatively short, all deve","SP002522","SP002522","Clark, LG","1994","01","15",NA,NA,NA,"18032","auto",NA
