"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","occurrenceRemarks","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","fieldNumber","relatedCatalogItem","previousCatalogNumber"
"1","2021-04-05 14:34:11-03","UNESC","CRI","13362","PreservedSpecimen","Plantae","Solanaceae","Dyssochroma","viridiflora","Dyssochroma viridiflora","Miers","Peterson T. Padilha","2018","05","02","Peterson T. Padilha; Renato Colares & Aline Votri Guislon","2017","07","29","Brasil","Santa Catarina","Grão Pará","Parque Estadual da Serra Furada","-49.216389","-28.185556","49º12'59''W","28º11'8''S","CRI011969","CRI011969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:11-03","UNESC","CRI","13709","PreservedSpecimen","Plantae","Solanaceae","Dyssochroma","viridiflorum","Dyssochroma viridiflorum","(Sims) Miers","Alexandre Medeiros","2017","09","20","Alexandre Medeiros","2017","09","20","Brasil","Santa Catarina","Balneário Camboriú","Barra- Estaleiro","-48.637778","-27.001389","48º38'16''W","27º0'5''S","CRI012316","CRI012316","664","Coleta 664 Flor verde Habitat: Terrestre Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2616","S","Plantae","Solanaceae","Dyssochroma","viridiflorum","Dyssochroma viridiflorum","(Sims) Miers","Carlos A. Ferreira Jr.","2013","06","19","Juliana Ordones Rego; Carlos Alberto F. Jr.","2013","06","19","Brasil","Minas Gerais","Catas Altas","Reservatório próximo a Casa do Pesquisador, Serra do Caraça","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,"Ordones2219","254","Magnoliophyta","Solanales","11966","2","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","886447","PreservedSpecimen","Plantae","Solanaceae","Dyssochroma","viridiflora","Dyssochroma viridiflora","(Sims) Miers","M. H. Nee",NA,NA,NA,"P. Fiaschi","2003","10","23","Brazil","Bahia","Uruçuca","Rodovia Ilhéus-Itacaré, entrada à esquerda, na rotatória de acesso à Uruçuca, ca. 9.5 km, ramal à esq. Parque Estadual Serra do Conduru.","-39.1","-14.48",NA,NA,"NY00886447","NY00886447_01","1722","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1024464' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01092730","PreservedSpecimen","Plantae","Solanaceae","Dyssochroma","viridiflora","Dyssochroma viridiflora","(Sims) Miers","M. H. Nee",NA,NA,NA,"M. M. M. Lopes","2006","08","11","Brazil","Bahia",NA,"Camacã. RPPN Serra Bonita. 10 km W de Camacã na estrada para Jacareci, 6 km SW na estrada para a RPPN e Torre de transmissão; Trilha do Mirante.","-39.5653","-15.3917",NA,NA,"NY01092730","NY01092730_01","1039","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232789' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales",NA,NA,NA,"South America","sheet","850","850",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","684459","PreservedSpecimen","Plantae","Solanaceae","Dyssochroma","viridiflora","Dyssochroma viridiflora","(Sims) Miers","M. H. Nee",NA,NA,NA,"A. M. Amorim","1998","05","10","Brazil","Bahia","Santa Luzia","Santa Luzia/Una, entrada a 11.3 km a E da Sede do municipio Serra da On¢a, ca. 4.5 da estrada","-39.2569077","-15.3417536",NA,NA,"NY00684459","NY00684459_01","2422","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=826001' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales",NA,NA,NA,"South America","sheet","510","510",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","719830","PreservedSpecimen","Plantae","Solanaceae","Dyssochroma","viridiflora","Dyssochroma viridiflora","(Sims) Miers","L. L. Giacomin",NA,NA,NA,"A. M. V. de Carvalho","1978","07","15","Brazil","Minas Gerais","Ouro Preto","Cachoeira das andorinhas.","-43.487827","-20.360845",NA,NA,"NY00719830","NY00719830_01","33","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2520364' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales",NA,NA,NA,"South America","sheet","1250",NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:32:40-03","UFRJ","RFA","35422","PreservedSpecimen","Plantae","Solanaceae","Dyssochroma","viridiflora","Dyssochroma viridiflora","Miers","C.M. Vieira",NA,NA,NA,"C.M. Vieira; D. Farias","2008","08","26","Brasil","Rio de Janeiro","Angra dos Reis","Morro do Quitumba","-44.430278","-22.961389","44º25'49''W","22º57'41''S","RFA22794",NA,"1835","Hemiepífita no interior da mata. Folhas verdes discolores. Flores totalmente verdes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:32:41-03","UFRJ","RFA","40841","PreservedSpecimen","Plantae","Solanaceae","Dyssochroma","viridiflora","Dyssochroma viridiflora","Miers","M.F. Castilhori","2018","11","07","R.S. Couto","2010","08","16","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande, Praia da Feiticeira","-44.3180999755859","-23.0067005157471",NA,NA,"RFA43453",NA,"446","Árvore 4 m de altura com flores e botões verde-claro, anteras alvas",NA,NA,"32988",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:32:41-03","UFRJ","RFA","35540","PreservedSpecimen","Plantae","Solanaceae","Dyssochroma","viridiflora","Dyssochroma viridiflora","Miers","C.M. Vieira",NA,NA,NA,"C.M. Vieira; J. Costa","2003","12","11","Brasil","Rio de Janeiro","Rio de Janeiro","Parque Municipal do Mendanha","-43.2075004577637","-22.9027996063232",NA,NA,"RFA22920",NA,"1640","Hemiepífita. Somente a flor foi coletada. Flores verdes",NA,NA,"57442",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
