taxonid,especie_original,subespecie,rank,subpopulation,cat_ameaca_iucn,fonte
151959295,Abarema adenophora,NA,NA,NA,LC,IUCN
145688533,Abarema auriculata,NA,NA,NA,LC,IUCN
22484069,Abarema barbouriana,NA,NA,NA,LC,IUCN
177828298,Abarema campestris,NA,NA,NA,LC,IUCN
62465,Abarema cochleata,NA,NA,NA,LC,IUCN
36552,Abarema cochleata var. moniliformis,moniliformis,var.,NA,VU,IUCN
36560,Abarema cochliocarpos,NA,NA,NA,LC,IUCN
62466,Abarema curvicarpa,NA,NA,NA,LC,IUCN
36545,Abarema curvicarpa var. rodriguesii,rodriguesii,var.,NA,VU,IUCN
36558,Abarema filamentosa,NA,NA,NA,VU,IUCN
180071728,Abarema floribunda,NA,NA,NA,LC,IUCN
144254416,Abarema jupunba,NA,NA,NA,LC,IUCN
22484074,Abarema laeta,NA,NA,NA,LC,IUCN
177828213,Abarema langsdorffii,NA,NA,NA,LC,IUCN
62469,Abarema microcalyx,NA,NA,NA,LC,IUCN
36557,Abarema obovata,NA,NA,NA,VU,IUCN
36556,Abarema racemiflora,NA,NA,NA,LC,IUCN
36559,Abarema turbinata,NA,NA,NA,VU,IUCN
36566,Abarema villifera,NA,NA,NA,LR/nt,IUCN
177828133,Abarema villosa,NA,NA,NA,LC,IUCN
107424699,Abelona michaelisi,NA,NA,NA,VU,IUCN
13486514,Ablennes hians,NA,NA,NA,LC,IUCN
47760825,Abrawayaomys ruschii,NA,NA,NA,LC,IUCN
188581,Abudefduf saxatilis,NA,NA,NA,LC,IUCN
179300309,Abuta grandifolia,NA,NA,NA,LC,IUCN
179301876,Abuta grisebachii,NA,NA,NA,LC,IUCN
61805379,Abuta imene,NA,NA,NA,LC,IUCN
61805418,Abuta rufescens,NA,NA,NA,LC,IUCN
179301959,Abuta sandwithiana,NA,NA,NA,LC,IUCN
60469175,Abyssobrotula galatheae,NA,NA,NA,LC,IUCN
19892695,Acacia amazonica,NA,NA,NA,LC,IUCN
131400014,Acacia caven,NA,NA,NA,LC,IUCN
19891561,Acacia piauhiensis,NA,NA,NA,LC,IUCN
19892630,Acacia riparia,NA,NA,NA,LC,IUCN
151967094,Acalypha cuneata,NA,NA,NA,LC,IUCN
150117801,Acalypha diversifolia,NA,NA,NA,LC,IUCN
180248513,Acalypha fragilis,NA,NA,NA,CR,IUCN
180258237,Acalypha juruana,NA,NA,NA,DD,IUCN
146790439,Acalypha macrostachya,NA,NA,NA,LC,IUCN
149206660,Acalypha villosa,NA,NA,NA,LC,IUCN
170000,Acanthacaris caeca,NA,NA,NA,LC,IUCN
49254377,Acanthagrion abunae,NA,NA,NA,LC,IUCN
159070,Acanthagrion adustum,NA,NA,NA,LC,IUCN
49254317,Acanthagrion aepiolum,NA,NA,NA,LC,IUCN
120035224,Acanthagrion amazonicum,NA,NA,NA,LC,IUCN
49254631,Acanthagrion apicale,NA,NA,NA,LC,IUCN
49254714,Acanthagrion ascendens,NA,NA,NA,LC,IUCN
158995,Acanthagrion chacoense,NA,NA,NA,LC,IUCN
120035308,Acanthagrion chararum,NA,NA,NA,LC,IUCN
120035369,Acanthagrion chicomendesi,NA,NA,NA,LC,IUCN
159060,Acanthagrion cuyabae,NA,NA,NA,LC,IUCN
120035409,Acanthagrion flaviae,NA,NA,NA,DD,IUCN
49254630,Acanthagrion floridense,NA,NA,NA,LC,IUCN
118245249,Acanthagrion franciscoi,NA,NA,NA,CR,IUCN
107889601,Acanthagrion hildegarda,NA,NA,NA,LC,IUCN
120035534,Acanthagrion jessei,NA,NA,NA,LC,IUCN
120035544,Acanthagrion kaori,NA,NA,NA,DD,IUCN
158900,Acanthagrion kennedii,NA,NA,NA,LC,IUCN
49254644,Acanthagrion lancea,NA,NA,NA,LC,IUCN
158827,Acanthagrion longispinosum,NA,NA,NA,LC,IUCN
49254260,Acanthagrion minutum,NA,NA,NA,LC,IUCN
49254721,Acanthagrion obsoletum,NA,NA,NA,LC,IUCN
49254282,Acanthagrion phallicorne,NA,NA,NA,LC,IUCN
120035588,Acanthagrion triangulare,NA,NA,NA,DD,IUCN
159021,Acanthagrion truncatum,NA,NA,NA,LC,IUCN
158881,Acanthallagma luteum,NA,NA,NA,DD,IUCN
158936,Acanthallagma strohmi,NA,NA,NA,DD,IUCN
154987,Acanthistius brasilianus,NA,NA,NA,DD,IUCN
195078,Acanthistius patachonicus,NA,NA,NA,DD,IUCN
97259978,Acanthochelys macrocephala,NA,NA,NA,NT,IUCN
78,Acanthochelys radiolata,NA,NA,NA,LR/nt,IUCN
76,Acanthochelys spixii,NA,NA,NA,LR/nt,IUCN
170331,Acanthocybium solandri,NA,NA,NA,LC,IUCN
190201,Acanthonus armatus,NA,NA,NA,LC,IUCN
193646,Acanthostracion polygonius,NA,NA,NA,LC,IUCN
193647,Acanthostracion quadricornis,NA,NA,NA,LC,IUCN
177985,Acanthurus bahianus,NA,NA,NA,LC,IUCN
177982,Acanthurus chirurgus,NA,NA,NA,LC,IUCN
