original_uicn_name,especie
Abarema cochliocarpos,Abarema cochliacarpos
Abarema langsdorffii,Abarema langsdorffii
Abarema obovata,Abarema brachystachya
Acacia riparia,Senegalia riparia
Acalypha fragilis,Acalypha brasiliensis
Acalypha macrostachya,Acalypha macrostachya
Acalypha villosa,Acalypha villosa
Acca sellowiana,Feijoa sellowiana
Achatocarpus praecox,Achatocarpus praecox
Acianthera saundersiana,Acianthera saundersiana
Acmella uliginosa,Acmella uliginosa
Acroceras zizanioides,Acroceras zizanioides
Acrostichum aureum,Acrostichum aureum
Acrostichum danaeifolium,Acrostichum danaeifolium
Actinostemon concolor,Actinostemon concolor
Actinostemon klotzschii,Actinostemon klotzschii
Actinostemon verticillatus,Actinostemon verticillatus
Aegiphila brachiata,Aegiphila brachiata
Aegiphila fluminensis,Aegiphila fluminensis
Aegiphila integrifolia,Aegiphila integrifolia
Aegiphila mediterranea,Aegiphila mediterranea
Aegiphila obducta,Aegiphila obducta
Aegiphila verticillata,Aegiphila verticillata
Aegiphila vitelliniflora,Aegiphila vitelliniflora
Aeschynomene brasiliana,Ctenodon brasilianus
Aeschynomene brevipes,Ctenodon brevipes
Aeschynomene ciliata,Aeschynomene ciliata
Aeschynomene marginata,Ctenodon marginatus
Aeschynomene racemosa,Ctenodon racemosus
Agarista oleifolia,Agarista oleifolia
Agonandra brasiliensis,Agonandra brasiliensis
Aiouea acarodomatifera,Aiouea acarodomatifera
Aiouea bracteata,Aiouea bracteata
Aiouea glaziovii,Aiouea glaziovii
Aiouea saligna,Aiouea saligna
Albizia carbonaria,Albizia carbonaria
Albizia edwallii,Albizia edwallii
Albizia edwarllii,Albizia edwallii
Albizia inundata,Albizia inundata
Albizia niopoides,Albizia niopoides
Albizia polycephala,Albizia polycephala
Alchornea glandulosa,Alchornea glandulosa
Alchornea triplinervia,Alchornea triplinervia
Algernonia brasiliensis,Algernonia brasiliensis
Algernonia riedelii,Algernonia riedelii
Allophylus edulis,Allophylus edulis
Allophylus racemosus,Allophylus racemosus
Alseis floribunda,Alseis floribunda
Alseis latifolia,Alseis latifolia
Alternanthera sessilis,Alternanthera sessilis
Amaioua guianensis,Amaioua guianensis
Amazona brasiliensis,Gonatogyne brasiliensis
Ambrosia maritima,Ambrosia polystachya
Amburana cearensis,Amburana cearensis
Amphirrhox longifolia,Amphirrhox longifolia
Anathallis guimaraensii,Acianthera guimaraensii
Andira anthelmia,Andira anthelmia
Andira fraxinifolia,Andira fraxinifolia
Andira humilis,Andira humilis
Andira ormosioides,Andira ormosioides
Andira vermifuga,Andira vermifuga
Anemia candidoi,Anemia phyllitidis
Aniba viridis,Aniba viridis
Aniseia martinicensis,Aniseia martinicensis
Annona cacans,Annona cacans
Annona crassiflora,Annona crassiflora
Annona dioica,Annona dioica
Annona dolabripetala,Annona dolabripetala
Annona emarginata,Annona emarginata
Annona glabra,Annona glabra
Annona maritima,Annona emarginata
Annona montana,Annona montana
Annona neosalicifolia,Annona emarginata
Annona neosericea,Annona dolabripetala
Annona nutans,Annona nutans
Annona reticulata,Annona reticulata
Annona rugulosa,Annona emarginata
Annona sylvatica,Annona sylvatica
Annona ubatubensis,Annona dolabripetala
Annona xylopiifolia,Annona xylopiifolia
Anthodon decussatum,Anthodon decussatus
Anthurium sinuatum,Anthurium sinuatum
Aparisthmium cordatum,Aparisthmium cordatum
Apeiba tibourbou,Apeiba tibourbou
Apinagia fluitans,Apinagia riedelii
Aralia warmingiana,Aralia warmingiana
Araucaria angustifolia,Araucaria angustifolia
Ardisia guianensis,Ardisia guianensis
Arthrocereus melanurus,Arthrocereus melanurus
Arundo donax,Arundo donax
Aspidosperma australe,Aspidosperma australe
Aspidosperma camporum,Aspidosperma camporum
Aspidosperma compactinervium,Aspidosperma compactinervium
