"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01198169","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","M. Sobral","A. M. V. de Carvalho","4026","South America","Brazil","Bahia","Barreiras","Estrada para o Aeroporto de Barreiras. Coletas entre 5 a 15 km a partir da sede do Municipio","-44.99","-12.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623225' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198169","NY01198169_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00907297","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","klappenbachiana","Eugenia klappenbachiana","Mattos & D.Legrand",NA,"G. T. Prance","19296","South America","Brazil","Mato Grosso","Cuiabá","Road Buriti to Cuiaba. Lower edge of escarpment.","-56.0967","-15.5961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907297","NY00907297_01","1973","10","22","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1921343","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","neomultipunctata","Eugenia neomultipunctata","Sobral",NA,"G. G. Hatschbach","17013","South America","Brazil","Paraná","Umuarama","Serra Dourada","-53.325","-23.7664","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2272004' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921343","NY01921343_01","1967","08","17",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-20 14:40:42-03","UPM","MACK","3204","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","klappenbachiana","Eugenia klappenbachiana","Mattos & D.Legrand",NA,"B. Abud","52",NA,"Brasil","SP","Franco da Rocha","Parque Estadual do Juquery","-23.341771","-46.673572",NA,NA,"HMACK00003204-B.Abud52-2/8/2016,ParqueEstadualdoJuquery,FrancodaRocha,SP,Brasil-46,673572-23,341771",NA,"2016","08","02",NA,NA,NA,"-23,341771","-46,673572",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:21:12-03","UFBA","ALCB","128234","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Stadnik, A","Stadnik, A; Lopes, R; Jardim, JG; Ibrahim, M","284","Southern America","Brasil","Bahia","Licínio de Almeida","Jurema - estrada para são Domingos","-42","-14",NA,"ca. 1,5m alt. Folhas cartaceas, discolores. Botões verdes. Frutos atropurpureos, sabor adocicado.","ALCB045497","ALCB045497","2015","01","22",NA,NA,NA,"-42","-14","2015","01",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:21:12-03","UFBA","ALCB","87002","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Sobral, M","Michelangeli, F; Goldenberg, R; Silva, JM","4415","Southern America","Brasil","Paraná","Adrianópolis","João Surra","-48.9911003112793","-24.6571998596191",NA,"ca 6m, Flor alva","ALCB057907",NA,"2005","10","17",NA,NA,NA,NA,NA,"2005",NA,"49901","auto",NA,NA,NA,NA,NA
"7","2019-10-09 11:21:12-03","UFBA","ALCB","128166","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Stadnik, A","Stadnik, A; Lopes, R; Hurbath, F","110","Southern America","Brasil","Bahia","Licínio de Almeida","Xaxa","-42.546667","-14.651667",NA,"ca. 3 - 6m alt. Folhas discolores. Flores com pétalas alvas, esverdeadas.","ALCB045429","ALCB045429","2013","01","22","930","930",NA,"-42.546667","-14.651667","2013","01",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:21:12-03","UFBA","ALCB","136505","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.","Sobral, M","Ramalho, FB","340","Southern America","Brasil","Piauí","Canto do Buriti","Fazenda Baixa Verde.","-42.9444007873535","-8.10999965667725",NA,"Ca. 8 m alt. Flores alvas, perfume agradável.","ALCB066128","ALCB066128","1974","06","11",NA,NA,NA,NA,NA,"2012",NA,"120640","auto",NA,NA,NA,NA,NA
"9","2020-02-08 10:06:14-03","NBC","NL-BOTANY","U.1443140","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","gracillima","Eugenia gracillima","Kiaersk.",NA,"Unreadable",NA,"Southern America","Brazil",NA,NA,"Brazil.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1443140 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1443140","NL-U1443140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2020-02-08 10:06:19-03","NBC","NL-BOTANY","U 0285173","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","multipunctata","Eugenia multipunctata","Mattos & D.Legrand",NA,"Lindeman JC; Horreüs de Haas R",NA,"Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200285173 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0285173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw13169",NA,NA,NA
