"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","infraspecificEpithet","scientificNameAuthorship","imagecode","county","identifiedBy","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:47-03","E","E","285721","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","punicifolia","Eugenia punicifolia","isotype","Gardner, George","1014","1905","01","12","E. Tropical South America","BR","Pernambuco","herbarium specimen of unspecif","BGBASE:296961","<a href=http://data.rbge.org.uk/herb/E00285721 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:47-03","E","E","55558","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","punicifolia","Eugenia punicifolia",NA,"Bridgewater, S.",NA,"1997","07","22","E. Tropical South America","BR","State of Piauí","herbarium specimen of unspecif","BGBASE:58780","<a href=http://data.rbge.org.uk/herb/E00055558 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055558","15km from Alto Parnaíba on the road to Salinas","-46.05","-9.2","-46.050000","-9.200000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:47-03","E","E","207005","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","punicifolia","Eugenia punicifolia",NA,"Munhoz, C., Farais, R., Cardoso Rosa, L.O., de Carvalho, V.M., Potzernheim, M.L. & Milhomens Fonseca, L.","1985","1998","09","06","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:217724","<a href=http://data.rbge.org.uk/herb/E00207005 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00207005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:47-03","E","E","270703","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","punicifolia","Eugenia punicifolia",NA,"Proenca, C., Franca, F., Melo, E., Cardoso, C.F.Rozendo","39","1997","05","15","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:282653","<a href=http://data.rbge.org.uk/herb/E00270703 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00270703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:47-03","E","E","202812","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","punicifolia","Eugenia punicifolia",NA,"Simon, M.F.; Lima, J.C.M.; Eiten, G.; de Carvalho, A.M.","157","1999","02","12","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:217233","<a href=http://data.rbge.org.uk/herb/E00202812 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:47-03","E","E","167705","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","punicifolia","Eugenia punicifolia",NA,"Fiebrig, K.","705","1903","01","12","E. Tropical South America","PY",NA,"herbarium specimen of unspecif","BGBASE:176699","<a href=http://data.rbge.org.uk/herb/E00167705 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:47-03","E","E","394770","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","punicifolia","Eugenia punicifolia","isosyntype","Blanchet, Jacques Samuel","2862",NA,NA,NA,"E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:443026","<a href=http://data.rbge.org.uk/herb/E00394770 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00394770","Serra Acurua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:47-03","E","E","55563","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","punicifolia","Eugenia punicifolia",NA,"Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca",NA,"1997","08","02","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:62403","<a href=http://data.rbge.org.uk/herb/E00055563 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:47-03","E","E","104486","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","punicifolia","Eugenia punicifolia",NA,"Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista",NA,"1998","08","02","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:113754","<a href=http://data.rbge.org.uk/herb/E00104486 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:41:47-03","E","E","394771","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subalterna","Eugenia subalterna","isotype","Schomburgk, Robert Hermann","634","1905","01","10","E. Tropical South America","GY",NA,"herbarium specimen of unspecif","BGBASE:443028","<a href=http://data.rbge.org.uk/herb/E00394771 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00394771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","404867","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","arctostaphyloides","Eugenia arctostaphyloides ovalis","isotype","J. S. Blanchet","2612","1835",NA,NA,"South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491931' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404867","Sierra Sarbina [?illegible]",NA,NA,NA,NA,"Magnoliophyta","Myrtales","ovalis","O.Berg","NY00404867_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","404867","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","arctostaphyloides","Eugenia arctostaphyloides ovalis","isotype","J. S. Blanchet","2612","1835",NA,NA,"South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491931' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404867","Sierra Sarbina [?illegible]",NA,NA,NA,NA,"Magnoliophyta","Myrtales","ovalis","O.Berg","NY00404867_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","404871","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","benthamii","Eugenia benthamii","isotype","R. H. Schomburgk","733",NA,NA,NA,"South America","Guyana",NA,"sheet",NA,"Envoi reçu en avril 1839 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691207' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404871",NA,NA,NA,NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00404871_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-10-19 09:45:00-02","NY","NYBG","404875","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","boliviensis","Eugenia boliviensis","holotype","M. Bang","825","1890","11",NA,"South America","Bolivia","La Paz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=556778' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404875","Apolo","-68.4172","-14.72",NA,NA,"Magnoliophyta","Myrtales",NA,NA,"NY00404875_01","Franz Tamayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-10-19 09:45:00-02","NY","NYBG","404874","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","boliviensis","Eugenia boliviensis","isotype","M. Bang","825","1890","11",NA,"South America","Bolivia","La Paz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=556779' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404874","Apolo","-68.4172","-14.72",NA,NA,"Magnoliophyta","Myrtales",NA,NA,"NY00404874_01","Franz Tamayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","557983","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","decorticans","Eugenia decorticans",NA,"P. K. H. Dusén","9931","1910","06","28","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557983","Itacaré",NA,NA,NA,NA,"Magnoliophyta","Myrtales",NA,"O.Berg","NY00557983_01",NA,"F. F. Mazine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
