"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","class","order","individualCount","minimumElevationInMeters","maximumElevationInMeters","identifiedBy"
"1","2018-06-22 05:25:00-03","MO","MOBOT","2458886","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","apocalyptica","Aechmea apocalyptica","Reitz","Pe. Raulino Reitz|Roberto M. Klein","Reitz 4056","1957","9","6","South America","Brazil","Santa Catarina","Campo Alegre.",NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","2707475","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","apocalyptica","Aechmea apocalyptica","Reitz","M. L. Wurdack","s.n.","1973","12",NA,"South America","Brazil",NA,NA,"Monocotyledonae","Bromeliales","1",NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2548257","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","apocalyptica","Aechmea apocalyptica","Reitz","L. Smith & R. M. Klein","8497","1956","12","9","South America","Brazil","Santa Catarina","Mun. Campo Alegre: Pinheiral, lower slopes of Morro Iquererim.","Monocotyledonae","Bromeliales","1","1000","1300",NA
"4","2021-02-12 15:01:57-03","UFSCar","SPSC","8455","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","apocalyptica","Aechmea apocalyptica","Reitz","F.A. Botoylin",NA,"2010","08","21",NA,"Brasil","São Paulo","BH-5MT.",NA,NA,NA,NA,NA,"F.A. Botoylin"
