"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","continentOcean","preparationType","barcode","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","fieldNumber","relatedCatalogItem","previousCatalogNumber","sex"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3079","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Epidendrum","saxatile","Epidendrum saxatile","Lindl.","Carlos A. Ferreira Jr.","2011","03","21","Carlos Alberto F. Jr.; Daniela Zappi e Fernando Araújo","caf249","2011","03","21","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Senhorinha, Inhamés","43°45.461'","18°56.852'","1339","1339","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4078439","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","saxatile","Epidendrum saxatile","Lindl.",NA,NA,NA,NA,"B. Maguire","27655","1948","12","12","Venezuela","Amazonas",NA,"Cerro Sipapo (Paráque), southwest slope of Peak I",NA,NA,"1800","2000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400263' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet","NY04078439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1031729","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","saxatile","Epidendrum saxatile","Lindl.","A. L. V. Toscano de Brito",NA,NA,NA,"C. Farney","446","1984","02","25","Brazil","Minas Gerais","Santana do Riacho","Estrada Lagoa Santa/Con. do Mato Dentro, Mata de Galeria a 17 Km do Córrego Chapéu de Sol",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1186313' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet","NY01031729","-43.7142","-19.1692","NY01031729_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4078435","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","saxatile","Epidendrum saxatile","Lindl.",NA,NA,NA,NA,"R. S. Cowan","31082","1951","01","31","Venezuela","Amazonas",NA,"Serranía Parú, Río Parú, Caño Asísa, Río Ventuari. In cumbre along west rim north from Camp cano",NA,NA,"2000",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400259' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet","NY04078435",NA,NA,"NY04078435_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","04078434","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","saxatile","Epidendrum saxatile","Lindl.",NA,NA,NA,NA,"R. S. Cowan","31175","1951","02","02","Venezuela","Amazonas",NA,"Serranía Parú, Río Parú, Caño Asísa, Río Ventuari. In cumbre just south of head of Camp cano",NA,NA,"2000",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400258' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet","NY04078434",NA,NA,"NY04078434_01",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1031730","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","saxatile","Epidendrum saxatile","Lindl.","G. F. J. Pabst",NA,NA,NA,"H. S. Irwin","19836","1968","02","11","Brazil","Minas Gerais",NA,"Pico de Itabirito, ca. 50 km S.E. of Belo Horizonte.",NA,NA,"1750","1750",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1186319' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet","NY01031730","-43.8","-20.23","NY01031730_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4078437","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","saxatile","Epidendrum saxatile","Lindl.",NA,NA,NA,NA,"F. Cardona N","2740","1949","01",NA,"Venezuela",NA,NA,"Cerro Auyan, Alto Caroní",NA,NA,"1500",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400261' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet","NY04078437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4078436","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","saxatile","Epidendrum saxatile","Lindl.",NA,NA,NA,NA,"B. Maguire","27679","1948","12","15","Venezuela","Amazonas",NA,"Cerro Sipapo (Paráque), near savanna camp",NA,NA,"1500",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400260' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet","NY04078436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4078438","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","saxatile","Epidendrum saxatile","Lindl.",NA,NA,NA,NA,"B. Maguire","27783","1948","12","20","Venezuela","Amazonas",NA,"Cerro Sipapo (Paráque), on summit of West Peak",NA,NA,"1800",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400262' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet","NY04078438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4078440","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","saxatile","Epidendrum saxatile","Lindl.",NA,NA,NA,NA,"R. S. Cowan","31209","1951","02","04","Venezuela","Amazonas",NA,"Serranía Parú, Río Parú, Caño Asísa, Río Ventuari. In cumbre along west rim north from camp Cano head",NA,NA,"2000",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400264' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet","NY04078440",NA,NA,"NY04078440_01",NA,NA,NA,NA,NA,NA,NA,NA
