"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","typeStatus","relationshipType","relatedCatalogItem","eventTime","fieldNumber","individualCount"
"1","2021-04-05 14:34:11-03","UNESC","CRI","11630","PreservedSpecimen","Plantae","Solanaceae","Solanum","lacerdae","Solanum lacerdae","Dusén","A. Korte","2009","11","28","A. Korte; A. Kniess","1144","2009","11","28","Brasil","Santa Catarina","Alfredo Wagner","Soldadinho.","-49.410833","-27.629167","49º24'39''W","27º37'45''S","772","772","Floresta Ombrófila Mista Habito: arbustiva","CRI008265","CRI008265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:09-03","UNESC","CRI","12169","PreservedSpecimen","Plantae","Solanaceae","Solanum","lacerdae","Solanum lacerdae","Dusén","Gasper, AL de","2009","04","30","Stival-Santos, A.; Uller, H.F. & Silveira, S.","227","2008","12","11","Brasil","Santa Catarina","Anita Garibaldi","Coral.","-51.117222","-27.716944","51º7'2''W","27º43'1''S","101","101","Florística IFFSC 260","CRI010347","CRI010347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:11-03","UNESC","CRI","911","PreservedSpecimen","Plantae","Solanaceae","Solanum","lacerdae","Solanum lacerdae","Dusén","G. Vendruscolo",NA,NA,NA,"R. dos Santos; E. O. Nosse, L. A. Mentz e N. Zin","289","2006","08","03","Brasil","Santa Catarina","Siderópolis",NA,"-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,NA,"CRI007538","CRI007538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:09-03","UNESC","CRI","11502","PreservedSpecimen","Plantae","Solanaceae","Solanum","lacerdae","Solanum lacerdae","Dusén","A. L. de Gasper","2010","01","25","A. Stival-Santos; E. Legal & S. Silveira","1626","2010","02","01","Brasil","Santa Catarina","Angelina","Rancho das Tábuas.","-49.049444","-27.630278","49º2'58''W","27º37'49''S","590","590","Ecótono Floresta Ombrófila Densa e Floresta Ombrófila Mista Habitat: entorno do fragmento, beira de estrada Habito: arbusto","CRI007540","CRI007540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:09-03","UNESC","CRI","11287","PreservedSpecimen","Plantae","Solanaceae","Solanum","lacerdae","Solanum lacerdae","Dusén","A. L. de Gasper",NA,NA,NA,"S. Dreveck; F. E. Carneiro","1430","2009","11","28","Brasil","Santa Catarina","Joinville","Comfloresta.","-49.140833","-26.187222","49º8'27''W","26º11'14''S","822","822","Floresta Ombrófila Mista e Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: arbustiva","CRI007537","CRI007537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:43-03","E","E","287576","PreservedSpecimen","Plantae","Solanaceae","Solanum","lacerdae","Solanum lacerdae",NA,NA,NA,NA,NA,"Ribas, O.S.; Pereira, L.B. S.","1974","1997","10","19","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00287576 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00287576",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:299581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","770118","PreservedSpecimen","Plantae","Solanaceae","Solanum","lacerdae","Solanum lacerdae","Dusén","L. B. Smith",NA,NA,NA,"R. Reitz","3516","1956","07","19","Brazil","Santa Catarina","Timbó","Represa do Rio Cedro.","-49.2717","-26.8233",NA,NA,"650","650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770118","NY00770118_01","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","770117","PreservedSpecimen","Plantae","Solanaceae","Solanum","lacerdae","Solanum lacerdae","Dusén","L. B. Smith",NA,NA,NA,"R. Reitz","5435","1953","02","02","Brazil","Santa Catarina","Rancho Queimado","Serra da Vista.","-49.0217","-27.6728",NA,NA,"1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385670' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770117","NY00770117_01","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00712560","PreservedSpecimen","Plantae","Solanaceae","Solanum","lacerdae","Solanum lacerdae","Dusén","J. R. Stehmann; J. Semir",NA,NA,NA,"J. Mattos","12297","1964","11","05","Brazil","São Paulo",NA,"Quase na divisa sul de Jacupiranga",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=850031' target='other'> <mi>dwc_moreinfo</mi></a>","NY00712560","NY00712560_01","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","770119","PreservedSpecimen","Plantae","Solanaceae","Solanum","lacerdae","Solanum lacerdae","Dusén","L. B. Smith",NA,NA,NA,"R. M. Klein","2254","1957","11","26","Brazil","Santa Catarina","Vidal Ramos","Sabiá.","-49.3556","-27.3919",NA,NA,"650","650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770119","NY00770119_01","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1844242","PreservedSpecimen","Plantae","Solanaceae","Solanum","lacerdae","Solanum lacerdae","Dusén",NA,NA,NA,NA,"L. L. Giacomin","1731","2012","02","13","Brazil","Santa Catarina","Urubici","Estrada de subida para o Campo dos Padres pelo vale do Rio dos Bugres.","-49.4756","-27.9806",NA,NA,"1496",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2139026' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844242","NY01844242_01","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
