"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","individualCount","occurrenceRemarks","dayIdentified","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","locality","class","typeStatus","continentOcean"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","597","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","seideliana","Quesnelia seideliana","L.B.Sm.","Elton. C. M. Leme","2011","08","Alvim Seidel-;","Seidel62-3","Brasil","Rio de Janeiro","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-07 17:00:40-03","MN","R","199132","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Quesnelia","seideliana","Quesnelia seideliana","L.B. Sm. & R. Reitz","Vieira, C.M.","1997","06","Vieira, C.M. 968; Gurken, L.C.",NA,"Brasil","Rio de Janeiro",NA,"Coletada estéril em 31/08/1996. Floresceu em cultivo em 13/6/1997","13","1997","06","13","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","R010008678","R010008678","auto",NA,NA,NA,NA
"3","2021-04-07 17:00:40-03","MN","R","199140","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Quesnelia","seideliana","Quesnelia seideliana","L.B. Sm. & R. Reitz","Vieira, C.M.","1998","07","Vieira, C.M. 1226; Gurken, L.C.",NA,"Brasil","Rio de Janeiro",NA,"Coletada por Roberto Burle Marx e Luiz Carlos Gurken. Cultivada por Luiz Carlos Gurken no criadouro Zoo-Botânico da Pedra Branca. Floresceu em cultivo em 27/7/1998","27","1998","07","27","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","R010008677","R010008677","auto",NA,NA,NA,NA
"4","2020-12-20 21:16:26-03","UFV","VIC","015142","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Quesnelia","seideliana","Quesnelia seideliana","L.B.Smith & Reitz",NA,NA,NA,"de Paula, C.C.","1047","Brasil","Minas Gerais",NA,"Brácteas rosas e flores azuis, cresce sobre a matéria orgânica sobre as rochas.",NA,"1995","09","23","Araponga","-42.5208015441895","-20.6667003631592","16385","VIC015142","VIC015142","auto","PESB-Fazenda do Brigadeiro, Margem de corrêgo de Ouro cerca de 1220 m de alittude.",NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2426792","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Quesnelia","seideliana","Quesnelia seideliana","L.B. Sm. & Reitz",NA,NA,NA,"A. Seidel","62-3","Brazil","Rio de Janeiro","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"US00091537","US00091537_01",NA,NA,"Monocotyledonae","Holotype","South America - Neotropics"
