"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:37:50-03","E","E","82955","PreservedSpecimen","Plantae","Compositae","Lulia","nervosa","Lulia nervosa","Silva, J.M. & Carvi, A.C.","1084","1992","04","03","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91422","<a href=http://data.rbge.org.uk/herb/E00082955 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","788720","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","G. G. Hatschbach","16030","1967","02","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=699883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788720","Magnoliophyta","Asterales","(Less.) Zardini","E. Pasini","Paraná","Quatro Barras","Rio Taquari.","-49.0767","-25.3658","NY00788720_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","788718","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","G. G. Hatschbach","20688","1969","01","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=699885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788718","Magnoliophyta","Asterales","(Less.) Zardini","E. Pasini","Paraná","Quatro Barras","Rio Taquari.","-49.0767","-25.3658","NY00788718_01","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:19:06-03","UFRJ","RFA","9127","PreservedSpecimen","Plantae","Asteraceae","Trichocline","nervosa","Trichocline nervosa","G.G. Hatschbach","16030","1967","02","21",NA,"Brasil",NA,NA,"Capítulos amarelos","RFA39137",NA,NA,"Less.","G.G. Hatschbach","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375",NA,NA,NA,"1967","17116","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:35:11-03","EAO","IAN","9689","PreservedSpecimen","Plantae","Asteraceae","Trichocline","nervosa","Trichocline nervosa","Sellow, F","4453",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN009689","Dicotiledônea",NA,"Less.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:11:27-03","UFBA","ALCB","032140","PreservedSpecimen","Plantae","Asteraceae","Trichocline","nervosa","Trichocline nervosa","Silva, JM; Cervi, AC","1084","1992","04","03","Southern America","Brasil",NA,NA,"Ereta, capítulos amarelos alaranjados. Campo graminoso.",NA,"Dicotyledon",NA,"Less.","Haschbach, G","Paraná","Quatro Barras",NA,"-49.066667","-25.35",NA,NA,NA,"1992",NA,NA,"-49.066667","-25.35",NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:51:54-03","NBC","NL-BOTANY","WAG.1426701","PreservedSpecimen","Plantae","Compositae","Trichocline","nervosa","Trichocline nervosa","Hatschbach GG",NA,"1972","12","28","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1426701 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1426701",NA,"Asterales","Less.",NA,NA,NA,"Rod BR 277: rio Itaqui (mun.S.José dos Pinhaes)Paraná.",NA,NA,"NL-WAG1426701",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"8","2020-02-08 08:51:54-03","NBC","NL-BOTANY","WAG.1426702","PreservedSpecimen","Plantae","Compositae","Trichocline","nervosa","Trichocline nervosa","Hatschbach GG",NA,"1972","12","28","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1426702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1426702",NA,"Asterales","Less.",NA,NA,NA,"Rod BR 277: rio Itaqui (mun.S.José dos Pinhaes)Paraná.",NA,NA,"NL-WAG1426702",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"9","2020-02-08 08:51:54-03","NBC","NL-BOTANY","WAG.1426703","PreservedSpecimen","Plantae","Compositae","Trichocline","nervosa","Trichocline nervosa","Hatschbach GG",NA,"1972","12","28","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1426703 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1426703",NA,"Asterales","Less.",NA,NA,NA,"Rod BR 277: rio Itaqui (mun.S.José dos Pinhaes)Paraná.",NA,NA,"NL-WAG1426703",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"10","2020-12-20 21:16:02-03","UFV","VIC","26142","PreservedSpecimen","Plantae","Asteraceae","Trichocline","nervosa","Trichocline nervosa","Silva, J.M.; Cervi, A.C.","1084","1992","04","03",NA,"Brasil",NA,NA,"Erva ereta; capítulos amarela-alaranjado.","VIC026142",NA,NA,"Less.","Hatschbach, G.","Paraná","Quatro Barras","Rio Taquari, Campo graminoso, solo turfoso, úmido.","-49.0769004821777","-25.3656005859375","VIC026142",NA,NA,"1992","17116","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0029337","PreservedSpecimen","Plantae","Asteraceae","Trichocline","nervosa","Trichocline nervosa","J. M. Silva; G. Hatschbach","288","1987","1","20",NA,"Brazil",NA,NA,"Capitulos amarelos.",NA,"Magnoliophyta","Asterales",NA,"G. Hatschbach","Parana",NA,"Rod. BR-52, rio Taquari (Mun. Quatro Barras).","-49.0833","-25.3667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-27 13:46:19-03","UFS","ASE","12589","PreservedSpecimen","Plantae","Asteraceae","Trichocline","nervosa","Trichocline nervosa","Silva, JM; Ribas, OS","6345","2008","11","05","Southern America","Brasil",NA,NA,"Ereta, capítulo amarelo-alaranjado.; Ereta, capítulo amarelo-alaranjado.; Brejo.","ASE0025805","Magnoliophyta",NA,"Less.","Hatschbach, G","Paraná","Quatro Barras","Rio Taquari","-49.076667","-25.365833","ASE0025805",NA,NA,"2008",NA,NA,"-49.076667","-25.365833",NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:25:24-03","UNICAMP","UEC","89349","S","Plantae","Asteraceae","Trichocline","nervosa","Trichocline nervosa","Cervi, AC; et al.","3630","1992","04","03",NA,"Brazil",NA,NA,"Erva erata. Flores com capítulos amarelos.; Campo graminoso úmido.","UEC129288","Magnoliopsida",NA,"Less.","Cervi, AC","Paraná","Quatro Barras","Campo de Instrução do Exército.","-49.0769004821777","-25.3656005859375","UEC129288",NA,NA,"1997","17116","auto",NA,NA,NA,"04",NA,NA,NA,NA
"14","2019-11-05 16:45:09-03","UFOP","OUPR","32779","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Pedrosa, L.G.","1292","2019","01","31",NA,"Brasil",NA,NA,"Erva, 1,3m. Flores amarelas. Campo rupestre.",NA,NA,NA,"(Less.) Zardini","Pedrosa, L.G.","Minas Gerais","Ouro Preto/ Mariana","Parque Estadual do Itacolomi",NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA,NA,"01","31",NA,NA,NA
"15","2019-11-05 16:45:09-03","UFOP","OUPR","30839","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Pedrosa, L.G.","21","2018","03","01",NA,"Brasil",NA,NA,"Erva tombada com capítulo ereto. Inflorescência amarela. Entre campo rupestre e campo graminoso úmido.",NA,NA,NA,"(Less.) Zardini","Heiden, G.; Zardini, E.M.","Minas Gerais","Ouro Preto","Lavras Novas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"2018","44599","auto",NA,NA,NA,"03",NA,NA,NA,NA
"16","2019-11-05 16:45:09-03","UFOP","OUPR","30840","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Pedrosa, L.G.","37","2018","03","13",NA,"Brasil",NA,NA,"Erva prostrada com inflorescências eretas. Inflorescências amarelas. Entre campo rupestre e campo graminoso úmido.",NA,NA,NA,"(Less.) Zardini","Heiden, G.; Zardini, E.M.","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi","-43.5080986022949","-20.2875003814697",NA,NA,NA,"2018","44599","auto",NA,NA,NA,"03",NA,NA,NA,NA
"17","2021-03-16 17:50:54-03","UCS","HUCS","47919","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Pasini, E.","1003","2014","01","28",NA,"Brasil",NA,NA,"ICN 178232&nf;Biologia: erva ereta, população escassa, aproximadamente 20 indivíduos maturos; Banhado de turfeira, junto a campo herbáceo",NA,"Angiospermae","Asterales","(Less.) Zardini","Passini, E.","Santa Catarina","Tijucas do Sul","Serra do Quiriri","-48.961389","-26.030278",NA,NA,NA,"2014",NA,NA,"-48.961389","-26.030278",NA,"01","28",NA,NA,NA
"18","2021-03-16 17:51:11-03","UCS","HUCS","03012","PreservedSpecimen","Plantae","Asteraceae","Trichocline","nervosa","Trichocline nervosa","Silva, J.M.","288","1987","05",NA,NA,"Brasil",NA,NA,"Capítulos amarelos, pequeno campo graminoso",NA,"Angiospermae","Asterales","Less.",NA,"Paraná","Quatro Barras","Rod. PR-52, Rio Taquari","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:16:30-03","MBM","MBM","2329","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Hatschbach, G.","16030","1967","02","21","Southern America","Brazil",NA,NA,"Capítulos amarelos.; Do campo graminoso ácido, locais brejosos, insolarados.","MBM002329",NA,NA,"(Less.) Zardini","Pasini, E.","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375","MBM002329",NA,NA,"2010","17116","auto",NA,NA,NA,"07","30",NA,NA,NA
"20","2020-12-21 16:16:30-03","MBM","MBM","150974","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Silva, J.M.; Cervi, A.C.; Cervi, A.C.","1084","1992","04","03","Southern America","Brazil",NA,NA,"Erva ereta, capítulos amarelo-alaranjados.; Campo graminoso, solo turfoso úmido.","MBM150974",NA,NA,"(Less.) Zardini","Pasini, E.","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375","MBM150974",NA,NA,"2010","17116","auto",NA,NA,NA,"07","30",NA,NA,NA
"21","2020-12-21 16:16:30-03","MBM","MBM","56323","PreservedSpecimen","Plantae","Asteraceae","Lulia","nervosa","Lulia nervosa","Hatschbach, G.; Zardini, E.; Zardini, E.","40954","1978","02","10","Southern America","Brazil",NA,NA,"Lugares mais secos do banhado. Associado a <em>Senecio westermanii</em> e a <em>Eryngium ebracteatum.</em>","MBM056323",NA,NA,"(Less.) Zardini","Pasini, E.","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375","MBM056323",NA,NA,"2010","17116","auto",NA,NA,NA,"07","30",NA,NA,NA
