"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","typeStatus","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","5112","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Andira","praecox","Andira praecox","Arroyo ex R.T.Penn.","H. S. Irwin","48442","1960","09","22","South America","Brazil","Amapá","Rio Oiapoque: about 3 km E of mouth of Rio Muturá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00005112","NY00005112_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01302582","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Andira","praecox","Andira praecox","Arroyo ex R.T.Penn.","B. V. Rabelo","3199","1985","01","05","South America","Brazil","Amapá","Road from Cupixi to rio Vila Nova, 18 km SSW of Cupixi.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1590979' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302582",NA,"R. T. Pennington","Macapá","-51.87","0.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01479620","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Andira","praecox","Andira praecox","Arroyo ex R.T.Penn.","B. V. Rabelo","3199","1985","01","05","South America","Brazil","Amapá","Road from Cupixi to rio Vila Nova, 18 km SSW of Cupixi.","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1822078' target='other'> <mi>dwc_moreinfo</mi></a>","NY01479620","NY01479620_01 NY01479620_02","R. T. Pennington","Macapá","-51.87","0.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:41:15-03","EAO","IAN","109475","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Andira","praecox","Andira praecox","Arroyo","Irwin, HS; Pires, JM; Westra, LYT","48442","1960","09","22","Southern America","Brasil","Amapá","In forest. About 3 km. east of mouth of Rio Muturá.",NA,"Tree about 15 m tall and 30 cm in diam., the bark strongly-scented; immature fruits greenish.","IAN109475",NA,"Pennington, RT",NA,"-52.516667","2.566667","2003","isotipo","-52.516667","2.566667",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:11:31-03","NBC","NL-BOTANY","U 0085426","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Andira","praecox","Andira praecox","Arroyo ex R.T.Penn.","Irwin HS; Pires JM; Westra LYT",NA,"1960","09","22","Southern America","Brazil","Amapá","Territorio Amapa, Brasil. Rio Oiapoque. About 3 km. east of mouth of Rio Muturá.",NA,"In forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200085426 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0085426","NL-U0085426","Pennington RT",NA,"-52.516667","2.566667","1994","isotype","-52.516667","2.566667","Magnoliopsidae","01","01","148857 B",NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","2867039","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Andira","praecox","Andira praecox","Arroyo ex R.T. Penn.","Benedito V. Rabelo","Rabelo 3199","1985","1","5","South America","Brazil","Amapá","Município de Macapá, road from Cupixi to rio Vila Nova, 18 km. SSW of Cupixi. Non-inundated moist forest.",NA,NA,NA,NA,"R.T. Pennington",NA,"-51.86666","0.53333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-08-31 09:15:28-03","INPA","INPA","10271","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Pap","Andira","praecox","Andira praecox","Arroyo ex R.T.Penn.","Rodrigues, WA","2917","1961",NA,NA,"Southern America","Brasil","Amapá","Serra do Navio",NA,NA,"INPA0010271","INPA0010271 INPA0010271_e INPA0010271_e1","Pennington, RT","Serra do Navio","-52.0022010803223","0.895555973052979","1994",NA,NA,NA,NA,"01",NA,NA,"170794","auto",NA
"8","2020-09-12 05:00:02-03","US","US","2400393","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Andira","praecox","Andira praecox","Arroyo","H. S. Irwin, J. M. Pires & L. Y. T. Westra","48442","1960","9","22","South America - Neotropics","Brazil","Amapá","Rio Oiapoque, about 3 km east of mouth of Rio Maturá.",NA,"Common name: Andiroba Jaruba","US00170401","US00170401_01",NA,NA,"-52.52","2.57",NA,"Isotype",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1"
"9","2020-09-12 05:00:02-03","US","US","3072696","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Andira","praecox","Andira praecox","Arroyo","B. Rabelo, A. Viana, R. Cardoso & R. Souza","3199","1985","1","5","South America - Neotropics","Brazil","Amapá","Amazonica. Municipio de Macapa, road from Cupixi to rio Vila Nova, 18 km SSW of Cupixi",NA,NA,"US02444290","US02444290_01",NA,NA,"-51.87","0.53",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1"
"10","2019-09-04 20:01:54-03","F","FMNH-SEEDPLANTS","V0058854F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Andira","praecox","Andira praecox",NA,"H. S. Irwin et al.","48442","1960","9","22","South America","Brazil",NA,NA,NA,NA,"V0058854F","V0058854F_01",NA,NA,"-52.8731","-10.8339",NA,"Isotype",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"11","2009-11-26 13:50:06-02","INPA","INPAW","1275","S","Plantae",NA,NA,"Fabaceae","Andira","praecox","Andira praecox","Arroyo ex R.T. Penn. & H.C. Lima","Rodrigues, W.A.",NA,"1961","07",NA,NA,"Brasil","Amap&#225;",NA,NA,NA,NA,NA,"W.A. Rodrigues",NA,NA,NA,"1961",NA,NA,NA,NA,"07",NA,NA,NA,NA,NA
