"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","00569483","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pusilla","Lippia pusilla","T.R.S.Silva & Salimena","P. K. H. Dusén","17449","1915","12","18","South America","Brazil","Paraná","Jaguariaíva","Jaguariahyva opp.","-49.713647","-24.340602","740","740","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569483","NY00569483_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01023551","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pusilla","Lippia pusilla","T.R.S.Silva & Salimena","A. F. C. P. Saint-Hilaire","1003","1816",NA,NA,"South America","Brazil","São Paulo",NA,"Province de Saint-Paul [= São Paulo].",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1195492' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023551","NY01023551_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00571454","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pusilla","Lippia pusilla","T.R.S.Silva & Salimena","A. L. Moldenke","19677","1948","10","02","South America","Brazil","Rio Grande do Sul","Porto Alegre","Gloria, southeast of Porto Alegre","-51.23","-30.0331",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=744089' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571454","NY00571454_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00569482","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pusilla","Lippia pusilla","T.R.S.Silva & Salimena","A. C. Brade","s.n.","1914","10",NA,"South America","Brazil","São Paulo",NA,"Vila Ema, Capital","-46.543068","-23.587347",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569482","NY00569482_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00592204","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pusilla","Lippia pusilla","T.R.S.Silva & Salimena","R. Hertel","11","1944","09",NA,"South America","Brazil","Paraná","Ponta Grossa","Ponta Grossa","-50.077154","-25.140873",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00592204","NY00592204_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00569484","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pusilla","Lippia pusilla","T.R.S.Silva & Salimena","L. L. Vieira","1864","1948","08","02","South America","Brazil","São Paulo","Sao Paulo","Brooklyn Paulista, Cap.","-46.680951","-23.621551",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569484","NY00569484_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00569485","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pusilla","Lippia pusilla","T.R.S.Silva & Salimena","T. M. Pedersen","9206","1969","10","09","South America","Argentina","Corrientes","Santo Tome","Estancia Garruchos",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00569481","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pusilla","Lippia pusilla","T.R.S.Silva & Salimena","A. Löfgren","s.n.","1887","09","22","South America","Brazil","São Paulo","Itapetininga","Itapetininga","-48.0497","-23.5903",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569481","NY00569481_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:34:25-03","NBC","NL-BOTANY","L.2766293","PreservedSpecimen","Plantae",NA,"Lamiales","Verbenaceae","Lantana","chamaedrifolia","Lantana chamaedrifolia","Cham.","Sellow F",NA,"1833","01","01","Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2766293 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2766293","NL-L2766293","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:30:31-03","IAP","PACA-AGP","28914","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pusilla","Lippia pusilla","T. R. S. Silva & Salimena","Rambo, B.",NA,"1945","05","23",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,NA,NA,"Habitat: in campestribus dumetosis Fenofase: sterilis","PACA028914",NA,"Magnoliatae","L. A. Mentz","2010","06","07","29946","auto",NA,NA,NA,NA
