"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","imagecode","stateProvince","locality","infraspecificEpithet","class","typeStatus","month","day","relatedCatalogItem","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"1","2020-09-23 10:36:45-03","E","E","44145","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Gardner, George","706","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:51592","<a href=http://data.rbge.org.uk/herb/E00044145 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00044145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","910847","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","G. Gardner","706","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988172' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910847","Magnoliophyta","Dioscoreales","(Malme) Jonker","F. P. Jonker","1836","NY00910847_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1145170","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","P. von Luetzelburg","15591","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306645' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145170","Magnoliophyta","Dioscoreales","(Malme) Jonker","J. van Benthem; P. J. M. Maas","1911","NY01145170_01","Rio de Janeiro","Orgelgebirge.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:44:51-03","EAO","IAN","18440","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","bicolor","Burmannia bicolor aprica","Glaziou","4100","Southern America","Brasil",NA,NA,NA,"IAN018440","Monocotiledônea",NA,"Mart.",NA,NA,"IAN018440_f",NA,NA,"aprica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U 0000848","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Regnell AF",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200000848 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0000848",NA,"Dioscoreales","(Malme) Jonker","Maas PJM; Benthem J van","1870","NL-U0000848","Minas Gerais","Minas Geraes. Caldas.",NA,"Magnoliopsidae","isotype","05","05","39586 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410790","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Schwacke CAW",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410790 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410790",NA,"Dioscoreales","(Malme) Jonker",NA,"1890","NL-U1410790",NA,"Campo do Capaias.",NA,"Magnoliopsidae",NA,"02","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410791","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Krieger L; Alii",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410791 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410791",NA,"Dioscoreales","(Malme) Jonker",NA,"1989","NL-U1410791",NA,"Na beira do rio Jose Pedro, sobre musgos.",NA,"Magnoliopsidae",NA,"04","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410792","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Brade AC",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410792 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410792",NA,"Dioscoreales","(Malme) Jonker",NA,"1931","NL-U1410792",NA,"Serra dos Gipaos, Campo dos Antas.",NA,"Magnoliopsidae",NA,"05","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410793","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Brade AC",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410793 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410793",NA,"Dioscoreales","(Malme) Jonker",NA,"1931","NL-U1410793",NA,"Serra dos Gipaos, Campo dos Antas.",NA,"Magnoliopsidae",NA,"05","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410794","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","aprica","Burmannia aprica","Ule EHG",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410794 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410794",NA,"Dioscoreales","(Malme) Jonker",NA,"1896","NL-U1410794",NA,NA,NA,"Magnoliopsidae",NA,"12","01","U 0034907 | 39335 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
