"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","imagecode","typeStatus"
"1","2021-04-08 17:44:42-03","EAO","IAN","58299","PreservedSpecimen","Plantae","Monocotiledônea","Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Ilziou","9014","Southern America","Brasil","IAN058299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:42:03-03","JBP","HPL","11411","S","Plantae",NA,"Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma",NA,"H. Lorenzi & K. Soares","6763",NA,"Brasil",NA,"H. Lorenzi","2009","11","01","2009","02","09","SP","Nova Odessa","Coletado e cultivado no Jd. Bot. Plantarum. Planta monoica c/ flores hermafroditas; folhas verde-escuras (tegumento esbranquiçado quando novas); pedúnculo da infloresc. recoberto por cera.","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:26:42-03","IAP","PACA-AGP","3195","PreservedSpecimen","Plantae","Magnoliophyta","Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Rambo, B.",NA,NA,"Brasil","PACA003195","K.P. Soares","2013","03","21","1938",NA,NA,"RS","Pareci",NA,NA,NA,NA,NA,"Liliopsida","Arecales","Habitat: In silva rupestre Fenofase: estéril",NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:26:42-03","IAP","PACA-AGP","54269","PreservedSpecimen","Plantae","Magnoliophyta","Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Reitz, R.","2687",NA,"Brasil","PACA054269","K.P. Soares","2013","03","21","1948","01","10","SC","Bom Retiro",NA,"-49.489200592041","-27.7971992492676","35974","auto","Liliopsida","Arecales","Nome vulgar: Burití&nf;Altura: 10,30m Habitat: In silva Fenofase: estéril","931","931",NA,NA,NA,NA
"5","2019-08-27 13:26:42-03","IAP","PACA-AGP","109178","PreservedSpecimen","Plantae","Magnoliophyta","Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","R. Wasum",NA,NA,"Brasil","PACA109178","K.P. Soares","2013","03","21","1975","04","12","RS","Vacaria","Fazendo do Cedro","-50.9338989257812","-28.5121994018555","63451","auto","Liliopsida","Arecales",NA,"450","450",NA,NA,NA,NA
"6","2020-10-14 09:58:35-03","FURB","FURB","52311","PreservedSpecimen","Plantae",NA,"Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Funez, L.A.","5812",NA,"Brasil","FURB52311","Funez, L.A.","2016","12","26","2016","12","26","Santa Catarina","Araranguá","Morro dos Conventos.","-49.3636111","-28.9344444",NA,NA,NA,NA,"Flores amarelas, caule fortemente armado Habitat: Escarpas rochosas Habito: árvore","50","50","-49.3636111","-28.9344444","FURB52311_1 FURB52311_2 FURB52311_3 FURB52311_4",NA
"7","2019-08-16 08:38:23-03","UTFPR","HCF","9352","S","Plantae",NA,"Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","M.G. Caxambu","3374",NA,"Brasil",NA,"M.G. Caxambu","2015","03","02","2011","01","26","PR","Turvo","Propriedade da família Rickli","-51.572833","-25.069639",NA,NA,NA,NA,"porte arbóreo ca. 3 m. Folhas em leque de pontas bífidas. Em início de frutificação.","1052","1052","51°34'22,2 W","25°04'10,7 S",NA,NA
"8","2019-08-16 08:38:23-03","UTFPR","HCF","21812","S","Plantae",NA,"Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","E. Barboza","3964",NA,"Brasil",NA,"M.G. Caxambu","2016","10","30","2013","04","09","PR","Cerro Azul","Ribeirão do Rocha","-49.261100769043","-24.823600769043","32006","auto",NA,NA,"árvore 5 m, frutos imaturos verdes, folhas em forma palmaleque. Mata Atlântica.",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:13:36-03","MBM","MBM","400315","PreservedSpecimen","Plantae",NA,"Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Quingerski, N.F.; Torres, M.A.V.; Torres, M.A.V.","s.n.","Southern America","Brazil","MBM400315","Ribas, O.S.","2014",NA,NA,"2011","02","24","Paraná","Laranjeiras do Sul",NA,"-52.300833","-25.394167",NA,NA,NA,NA,NA,NA,NA,"-52.300833","-25.394167","MBM400315 MBM400315_1 MBM400315_2",NA
"10","2020-12-21 16:13:36-03","MBM","MBM","400316","PreservedSpecimen","Plantae",NA,"Arecaceae","Trithrinax","acanthocoma","Trithrinax acanthocoma","Drude","Quingerski, N.F.","s.n.","Southern America","Brazil","MBM400316","Ribas, O.S.","2014",NA,NA,"2011","02","23","Paraná","Laranjeiras do Sul",NA,"-52.304167","-25.398333",NA,NA,NA,NA,NA,NA,NA,"-52.304167","-25.398333","MBM400316 MBM400316_1 MBM400316_2",NA
