"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","identifiedBy","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:33:41-03","UNESC","CRI","2972","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","J. I. A. Falcão; et al.","1954","08","21","Brasil","Pernambuco","Igarassu","-34.906667","-7.834722","34º54'24''W","7º50'5''S","6","6","CRI004284","CRI004284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","522862","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","R. M. Harley","1974","03","24","Brazil","Bahia","Belmonte","-38.88","-15.87",NA,NA,NA,NA,"NY00522862","NY00522862_01","Magnoliophyta","Myrtales","J. J. Wurdack","17329","South America","On SW outskirts of town","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97894' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 18:38:00-03","NY","NYBG","02060163","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata",NA,"G. H. H. Tate","1927","11","07",NA,NA,NA,NA,NA,NA,NA,"1554","1585","NY02060163","NY02060163_01","Magnoliophyta","Myrtales",NA,"314","South America","British Guiana and Northern Brazil. Mt. Roraima: Philipp Swamp.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2506199' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","245693","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata martiana","Cogn.","Martii Herbar. Florae Brasil.","1839",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY00245693","NY00245693_01","Magnoliophyta","Myrtales",NA,"507","South America","Sotenopoli","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485517' target='other'> <mi>dwc_moreinfo</mi></a>","martiana","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","522827","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","G. Davidse","1970","08","01","Trinidad and Tobago",NA,NA,NA,NA,NA,NA,"30","30","NY00522827","NY00522827_01","Magnoliophyta","Myrtales","S. S. Renner","2494","South America","Trinidad. 1 mi. SE of Valencia along Eastern Main Road","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97864' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","522857","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","M. Kuhlmann","1939","08","30","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"NY00522857","NY00522857_01","Magnoliophyta","Myrtales","S. S. Renner","s.n.","South America","Morro Grande","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97870' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","522830","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","R. de Lemos Fróes","1939","02",NA,"Brazil","Maranhão","São Luís","-44.201115","-2.577323",NA,NA,NA,NA,"NY00522830","NY00522830_01","Magnoliophyta","Myrtales","S. S. Renner","11733","South America","Island of Sao Luiz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97866' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 18:37:00-03","NY","NYBG","02060164","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata",NA,"G. H. H. Tate","1927","09","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY02060164","NY02060164_01","Magnoliophyta","Myrtales",NA,"22","South America","British Guiana and northern Brazil. Frechal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2506186' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00749521","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(Rottb.) Miq.","M. J. N. Rodal","2002","09","15","Brazil","Alagoas","Murici","-35.9431","-9.3069",NA,NA,NA,NA,"NY00749521","NY00749521_01","Magnoliophyta","Myrtales","R. Goldenberg","1336","South America","E. E. de Murici (Mata próxima a antena de TV desativada)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=898847' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01874684","PreservedSpecimen","Plantae","Melastomataceae","Pterolepis","glomerata","Pterolepis glomerata","(DC.) Triana","R. Goldenberg","2014","10","12","Brazil","Bahia","Wenceslau Guimarães","-39.71867","-13.58717",NA,NA,NA,NA,"NY01874684","NY01874684_01","Magnoliophyta","Myrtales","R. Goldenberg","2048","South America","Estação Ecológica Estadual Wenceslau Guimarães, trilha para a Pedra da Torre","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2495760' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
