"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","typeStatus","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","individualCount","infraspecificEpithet","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","880203","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","megaptera","Heteropterys megaptera","A.Juss.","B. D. Sucre","8437","1972","11","03","South America","Brazil","Espírito Santo","Linhares","Reserva Natiral Vale do Rio Doce (Particular). DOCEMADE.","-40.0722007751465","-19.3910999298096","48094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2537320' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880203","NY00880203_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","475892","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","megaptera","Heteropterys megaptera","A.Juss.","A. M. V. de Carvalho","6206","1996","06","06","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-Leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475892","NY00475892_01",NA,"W. R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-11-07 00:10:06-02","MNHN","RECOLNAT_MNHN_P","P02428823","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Heteropterys","megaptera","Heteropterys megaptera","A.Juss.","Guillemin",NA,"1839","4",NA,NA,"Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02428823' target='other'> <mi>dwc_moreinfo</mi></a>","P02428823","P02428823_01",NA,"Jussieu","syntype","757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-05 09:02:45-03","MNHN","RECOLNAT_MNHN_P","P05597836","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Heteropterys","megaptera","Heteropterys megaptera","A.Juss.","Riedel",NA,"1832","6","5",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05597836' target='other'> <mi>dwc_moreinfo</mi></a>","P05597836","P05597836_01",NA,NA,NA,"360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2009-07-17 07:37:00-03","MO","MOBOT","2859375","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","megaptera","Heteropterys megaptera","A. Juss.","Julian A. Steyermark|Ronald L. Liesner","Steyermark 120759","1979","11","30","South America","Venezuela","Sucre",NA,"Peninsula de Paria: primary wet forest with large rocks, Cumbre de Las Estrellas, west of Manacal, approximately 15 km (by air) northwest of Irapa, E of El Sanche, N of El Paujil.","-62.66666","10.66666",NA,NA,NA,NA,NA,NA,"W.R. Anderson",NA,NA,"800.00000000","830.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2009-07-17 07:37:00-03","MO","MOBOT","2859466","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","megaptera","Heteropterys megaptera","A. Juss.","Julian A. Steyermark|Ronald L. Liesner","Steyermark 120848","1979","12","1","South America","Venezuela","Sucre",NA,"Peninsula de Paria: virgin cloud forest, above Las Melenas, north of Río Grande Arriba, southeast of Cerro de Humo.","-62.61666","10.7",NA,NA,NA,NA,NA,NA,"W.R. Anderson",NA,NA,"730.00000000","1050.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","42761",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","megaptera","Heteropterys megaptera","A. Juss.","D. Sucre","8437","1972","11","03",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale do Rio Doce (Particular). Reserva de Linhares- DOCEMADE","-40.070556","-19.151667",NA,NA,"Crescendo em capoeira, na beira da mata de tabuleiro. Cipó heliófilo, corola amarela","MBML042761","MBML042761",NA,"André M. Amorim/2006",NA,NA,NA,NA,"40W4'14","19S9'6",NA,NA,NA,NA,NA,NA,NA
"8","2021-02-25 10:12:51-03","CVRD","CVRD","9565","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","megaptera","Heteropterys megaptera","Adr. Juss.","Folli, D.A.","5279","2006","05","23","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096","48094",NA,"<ll>dwc_commonname:</ll> Cipó cigarra","CVRD009565","CVRD009565","auto","Willian R. Anderson",NA,NA,NA,NA,NA,NA,"Magnoliopsida","2010","03","09",NA,NA,NA
"9","2021-03-01 11:48:45-03","UFPE","UFP","63514","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","megaptera","Heteropterys megaptera","A. Juss.","Garcia, JDG","1236","2009","10","27",NA,"Brasil","Pernambuco","Igarassu",NA,"-35.008611","-7.842306",NA,NA,"Liana crescendo dentro do fragmento.Apresentando o caule quadrangular. asca interna oxidando rapidamente em laranja escuro.Epifitismo medio dominado por Araceae.Subbosque dominado por individuos de Payparola, Senefeldera e Arecaceae.","UFP063514",NA,NA,"Amorim, A",NA,NA,"156","156","-35.008611","-7.842306",NA,"2010",NA,NA,NA,NA,NA
"10","2021-03-01 11:48:45-03","UFPE","UFP","66688","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","megaptera","Heteropterys megaptera","A. Juss.","Garcia, JDG","1257","2009","10","29",NA,"Brasil","Pernambuco","Igarassu",NA,"-35.006944","-7.839806",NA,NA,"Abundantes indivíduos de três especies diferentes de Coccoloba.Liana crescendo dentro do fragmento.Apresentando caule quadrangular.","UFP066688",NA,NA,NA,NA,NA,"164","164","-35.006944","-7.839806",NA,NA,NA,NA,NA,NA,NA
