"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","616599","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","tenuivenosa","Myrcia tenuivenosa","Kiaersk.","M. Kuhlmann","M. Kuhlmann","2822","1945","11","06","South America","Brazil","São Paulo","Sao Paulo","Ativa no Jardim Botânico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616599","NY00616599_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","616602","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","tenuivenosa","Myrcia tenuivenosa","Kiaersk.","C. M. D. E. Legrand","R. Reitz","5644","1957","11","07","South America","Brazil","Santa Catarina",NA,"Três Barras, Garuva, Sao Francisco do Sul",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616602","NY00616602_01","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02629648","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","tenuivenosa","Myrcia tenuivenosa","Kiaersk.",NA,"B. S. Amorim","704","2010","12","21","South America","Brazil","Pernambuco","Sirinhaem","Usina Trapiche, Engenho Coelhas, interior da mata.","-35.1467","-8.5536","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2893292' target='other'> <mi>dwc_moreinfo</mi></a>","NY02629648","NY02629648_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1759018","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","tenuivenosa","Myrcia tenuivenosa","Kiaersk.","B. S. Amorim","B. S. Amorim","1436","2012","01","25","South America","Brazil","Alagoas","Quebrangulo","REBIO Pedra Talhada, Trilha do Valdevino.","-36.4247","-9.2442","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2048522' target='other'> <mi>dwc_moreinfo</mi></a>","NY01759018","NY01759018_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","616598","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","tenuivenosa","Myrcia tenuivenosa","Kiaersk.","L. R. Landrum","G. G. Hatschbach","20124","1968","10","24","South America","Brazil","Paraná","Paranaguá","Rio Cambará","-48.5092","-25.5203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616598","NY00616598_01","50","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1759021","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","tenuivenosa","Myrcia tenuivenosa","Kiaersk.","B. S. Amorim","B. S. Amorim","1537","2012","04","25","South America","Brazil","Alagoas","Quebrangulo","REBIO Pedra Talhada, Trilha principal.","-36.4247","-9.2442","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2048554' target='other'> <mi>dwc_moreinfo</mi></a>","NY01759021","NY01759021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","616601","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","tenuivenosa","Myrcia tenuivenosa","Kiaersk.","G. G. Hatschbach","G. G. Hatschbach","22470","1969","10","15","South America","Brazil","Paraná","Guaraqueçaba","Fazenda Abobreira","-48.3289","-25.3069","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616601","NY00616601_01","50","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","616600","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","tenuivenosa","Myrcia tenuivenosa","Kiaersk.","C. M. D. E. Legrand","G. G. Hatschbach","20202","1968","05","05","South America","Brazil","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616600","NY00616600_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02703760","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","tenuivenosa","Myrcia tenuivenosa","Kiaersk.",NA,"J. Braga","2916","1995","10","18","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Proximidades do abrigo III.","-44.566667","-22.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987967' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703760","NY02703760_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:24-03","UFRJ","RFA","29549","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","tenuivenosa","Myrcia tenuivenosa","Kiaersk.","G. M. Barroso","F. B. Pereira","33/128","2001","11","19",NA,"Brasil","Rio de Janeiro","Rio Claro","Distrito Lídice, Sítio do Mineiro, Fazenda dos Torres.","-44.206944","-22.855556",NA,"Arbórea, 16 m de altura, 19 cm de DAP, flor branca, folha verde, caule creme, rara no local.","RFA42185",NA,"540","540","2002","01","25","44º12'25''W","22º51'20''S",NA,NA,NA,NA,NA,NA,NA
"11","2020-06-29 11:31:41-03","UFRJ","RFA","39607","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","tenuivenosa","Myrcia tenuivenosa","Kiaersk.","M. Sousa","R. Finotti; J. Caruzo","139",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim","Fragmento florestal adjacente à entrada da Estação Ecológica Paraíso","-42.905278","-22.493333",NA,"Árvore de 7 metros de altura e PAP de 19,6 cm","RFA24607",NA,"50","50",NA,NA,NA,"42º54'19''W","22º29'36''S",NA,NA,NA,NA,NA,NA,NA
