"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","968663","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","J. A. Ratter","R.3160","1976","06","14","South America","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, ca. 18 km. SSW of Brasília TV tower.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968663","NY00968663_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","486964","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","H. S. Irwin","32625","1971","02","19","South America","Brazil","Bahia","Morro do Chapéu","Serra do Tombador. Rio Ferro Doido, ca. 18 km E. of Morro do Chapéu","-41.1558","-11.5503","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486964","NY00486964_01","J. A. Kallunki","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","297036","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","J. S. Blanchet","3244","1841",NA,NA,"South America","Brazil","Bahia",NA,"Igreja Velha",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232849' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297036","NY00297036_01",NA,NA,NA,"possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03754504","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","R. C. Forzza","1386","1999","04","27","South America","Brazil","Bahia","Morro do Chapéu","Cachoeira do Ferro Doido","-41.1558","-11.5503","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4082529' target='other'> <mi>dwc_moreinfo</mi></a>","NY03754504","NY03754504_01","P. W. Fritsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","968665","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","M. C. Garcia Kirkbride","1516","1981","05","20","South America","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa. Campo Experimental da UnB.","-47.9","-15.95","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034514' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968665","NY00968665_01",NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","968664","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","J. A. Ratter","R.3331","1976","07","30","South America","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, ca. 18 km. SSW of Brasília TV tower.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968664","NY00968664_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","486963","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","H. S. Irwin","32573","1971","02","19","South America","Brazil","Bahia","Morro do Chapéu","Serra do Tombador. Ca. 5 km S of town of Morro do Chapéu, near base of Morro do Chapéu","-41.1558","-11.5503","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486963","NY00486963_01","J. A. Kallunki","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1019344","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","R. M. Harley","52828","1992","03","24","South America","Brazil","Bahia","Abaíra","Garimpo do Bicota.","-41.85","-13.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1280668' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019344","NY01019344_01","D. C. Zappi","1400","1750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","968661","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","H. S. Irwin","18197a","1966","07","13","South America","Brazil","Distrito Federal","Brasília","Córrego Samambaia, near Taguatinga, ca. 20km W. of Brasília.","-48.025","-15.808","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968661","NY00968661_01","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","486965","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","R. M. Harley","19376","1977","03","04","South America","Brazil","Bahia","Morro do Chapéu","10.5 km. S.E. of the town of Morro do Chapeu on the BA 052 road to Mundo Novo, by the Rio Ferro Doido","-41.03","-11.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486965","NY00486965_01","R. M. Harley","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","968662","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","J. A. Ratter","R.2817","1976","03","22","South America","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, ca. 18 km. SSW of Brasília TV tower.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968662","NY00968662_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","968667","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","M. C. Garcia Kirkbride","1437","1981","02","11","South America","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa. Campo Experimental da UnB.","-47.9","-15.95","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968667","NY00968667_01",NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","486962","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","H. S. Irwin","34280","1972","01","16","South America","Brazil","Goiás","Corumbá de Goiás","Serra dos Pireneus, ca. 20 km E. of Pirenópolis.","-48.8083","-15.9236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486962","NY00486962_01","R. L. Liesner","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","593430","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","T. Læssøe","H53305","1992","03","23","South America","Brazil","Bahia","Abaíra","Campo de Ouro Fino (baixo)","-41.9","-13.25","sheet","[Collector possibly Harley (H53305), although not specified on label)] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593430","NY00593430_01","A. Bidá","1600","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","632159","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","R. M. Harley","H52828","1992","03","24","South America","Brazil","Bahia","Abaíra","Garimpo do Bicota","-41.85","-13.33","sheet","Harley is not on the label, but we can assume he is the collector <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632159","NY00632159_01","Y. B. Harvey","1400","1750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","593431","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","B. L. Stannard","H52828","1992","03","24","South America","Brazil","Bahia","Abaíra","Garimpo do Bicota","-41.85","-13.33","sheet","[Collector possibly Harley (H52828), although not specified on label)] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426755' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593431","NY00593431_01","D. C. Zappi","1400","1750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","968666","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","M. C. Garcia Kirkbride","1393","1980","10","03","South America","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa. Campo Experimental da UnB.","-47.9","-15.95","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968666","NY00968666_01",NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","297035","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","G. Gardner","4996","1841",NA,NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232848' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297035","NY00297035_01",NA,NA,NA,"possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-06-29 11:32:45-03","UFRJ","RFA","23234","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","lanceolata","Symplocos lanceolata rhamnifolia","(A.DC.) Brand","D. Alvarenga; F.C.A. Oliveira","327","1989","07","17",NA,"Brasil","Distrito Federal","Brasília","Fazenda Água Limpa/UNB","-47.920833","-15.98",NA,"Arvoreta ca. 4 m altura, com botão floral verde claro, flores brancas com estigmas amarelos, folhas quebradiças","RFA49911",NA,"S.F. Smith",NA,NA,NA,"rhamnifolia","47º55'15''W","15º58'48''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-19 15:45:12-03","UNEB","HUNEB","8272","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A. DC.","Ganev, W.","3578","1994","07","18",NA,"Brasil","Bahia","Abaíra","Bem-querer - Garimpo da CIA.","-41.883333","-13.283333",NA,"Solo argiloso, carrasco de campo rupestre","HUNEB0008272",NA,NA,"1200","1200",NA,NA,"41W53'0''","13S17'0''","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-19 15:45:10-03","UNEB","HUNEB","7190","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A. DC.","Ganev, W.","1858","1993","07","16",NA,"Brasil","Bahia","Abaíra","Rio de Contas Gerais do Porco-Gordo","-42.416667","-13.75",NA,NA,"HUNEB0007190",NA,NA,"1170","1170",NA,NA,"42W25'0''","13S45'0''","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-19 15:45:12-03","UNEB","HUNEB","7575","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A. DC.","Harley, R.M.","28364","1995","09","07",NA,"Brasil","Bahia","Catolés","Encosta da Serra da Tromba","-41.766667","-13.283333",NA,NA,"HUNEB0007575",NA,NA,"1823","1823",NA,NA,"41W46'0''","13S17'0''","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-10-09 11:25:21-03","UFBA","ALCB","59786","PreservedSpecimen","Plantae","Dicotyledon",NA,"Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","DC.","Guedes, ML; Loureiro, DM; Guaré, F; et al.","9749","2002","09","06","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Caminho para a Cachoeira do Ferro Doido","-41.15","-11.55",NA,"3,0 m. Folhas coriáceas, discolores. Inflorescências axilares. Flores esverdeadas. Ocasional.",NA,NA,"Guedes, ML",NA,NA,NA,NA,"-41.15","-11.55",NA,"2002","12",NA,NA,NA,NA,NA,NA
"24","2019-10-09 11:25:21-03","UFBA","ALCB","88897","PreservedSpecimen","Plantae","Dicotyledon",NA,"Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","DC.","Roque, N; Alunos de Botânica III","2046","2009","05","23","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, trilha Cruzeiro dos Bêbados até Medonha","-41.366667","-13",NA,"ca. 2,5m alt., folhas discolores. Botões esverdeados, sépalas verdes, corola e filetes alvos.; ecótono entre campos rupestre e Mata Semidecídua.",NA,NA,NA,"1020","1020",NA,NA,"-41.366667","-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:20:10-03","ESALQ","ESA","80297","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","Harley, R.M. et al.","28364.0","1996","09","07",NA,"Brasil","Bahia","Catolés",NA,NA,NA,NA,NA,"ESA080297","ESA080297","Santiago, N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:20:10-03","ESALQ","ESA","79329","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","França, F. et al.","1256.0","1995","07","09",NA,"Brasil","Bahia","Abaíra",NA,"-41.6636009216309","-13.2496995925903",NA,NA,"ESA079329","ESA079329","Santiago, N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26531","auto",NA,NA,NA,NA
"27","2021-03-22 17:46:45-03","UFPI","TEPB","29253","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","Passos, F.B","71","2005","06","14",NA,"Brasil","Distrito Federal","Brasília","Parque das Sucupiras, Setor Sudoeste","-47.916667","-15.766667",NA,"Árvore 2,3m X 0,08m; casca fissurada longitudinalmente;gredatas e sulcos profundos; a casca interna é cinza bem clara e externa com marca de fogo; flor pequena e branca; receptáculo verde e o cálice verde claro; estames com antera amarela Ambiente: Cerrad",NA,NA,"Passos, F.B","1150","1150",NA,NA,"47°55'W","15°46'S",NA,"2005","11",NA,NA,"28",NA,NA,NA
"28","2021-03-22 17:46:45-03","UFPI","TEPB","21232","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A. DC.","E. S. G. Guarino","203","2000","05","09",NA,"Brasil","Distrito Federal","Brasília","Fazenda Sucupira","-48","-15.866667",NA,"Árvore, flor alva, botões florais cremes, estiletes brancos e anteras amarelas, solo argiloso. Ambiente: Cerrado sentido restrito",NA,NA,"L.P.Queiroz","320","320",NA,NA,"48°00'00W","15°52'00S",NA,"1988","06",NA,NA,"01",NA,NA,NA
"29","2020-11-19 10:25:35-03","CPAP","CPAP","12269","PreserverdSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","Ratter, J. A.","2817","1976","03","22",NA,"Brasil","DF","Vargem Bonita","Fazenda Água Limpa, Estação da Universidade de Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-11-19 10:25:35-03","CPAP","CPAP","12387","PreserverdSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","Ratter, J. A.","3160","1976","06","14",NA,"Brasil","DF","Vargem Bonita","Fazenda Água Limpa, Estação da Universidade de Brasília",NA,NA,NA,"AMBIENTE: Cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-19 10:25:35-03","CPAP","CPAP","12428","PreserverdSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","Ratter, J. A.","3331","1976","07","30",NA,"Brasil","DF","Vargem Bonita","Fazenda Água Limpa, Estação da Universidade de Brasília",NA,NA,NA,"AMBIENTE: Cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-02-15 11:51:15-02","IPA","IPA","62197","S","Plantae","Plantae",NA,"Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A. DC","Stannard, B.; Silva, T.; Silva, T.","s.n.","1992","03","24","Southern America","Brasil","Bahia","Abaíra","Garimpo do Bicota, beira de riacho.","-41.85","-13.333333",NA,"Cálice verde, pétalas e estames alvos, anteras creme.","IPA0062197",NA,"Harvey, Y.","1400","1750",NA,NA,"-41.85","-13.333333",NA,"1998",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-01 16:42:16-03","UNICAMP","UEC","39711","S","Plantae","Magnoliopsida",NA,"Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","Harley, RM; Bromley, GL; Carvalho, AM; Hage, JL; Brito, HS","22393","1980","05","22",NA,"Brazil","Bahia","Lençóis","Serra do Brejão ca. 14km N.W. of Lençóis","-41.45","-12.45",NA,"fruto, Western face sandstone serra with horizontally bedded rochs. Extensive grassland and marsh on lower slopes and small streams with low woodland. Rock outcrops at higher altitudes, with humid forest in rocky declivity below summit. Much branched",NA,NA,"Bidá, A",NA,NA,NA,NA,"-41.45","-12.45",NA,"1996","05",NA,NA,NA,NA,NA,NA
"34","2020-07-14 17:17:28-03","UFPB","JPB","29859","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A. DC.","França, F; et al.","1256","1995","07","09","Southern America","Brasil","Bahia","Abaíra",NA,"-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26531","auto",NA,NA,NA,NA
"35","2015-09-03 18:21:49-03","MNHN","RECOLNAT_MNHN_P","P00647071","PreservedSpecimen",NA,NA,NA,"Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","Glaziou, A.",NA,"1895","1","9",NA,"Brésil",NA,NA,"Chapadâo dos Veadeiros (Goyaz)",NA,NA,"hb","Donné en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00647071' target='other'> <mi>dwc_moreinfo</mi></a>","P00647071",NA,"Bidá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21711",NA,NA
"36","2015-09-27 11:20:54-03","MNHN","RECOLNAT_MNHN_P","P00647075","PreservedSpecimen",NA,NA,NA,"Symplocaceae","Symplocos","rhamnifolia","Symplocos rhamnifolia","A.DC.","Sellow",NA,"1833","1","1",NA,"Brésil",NA,NA,"s.loc.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00647075' target='other'> <mi>dwc_moreinfo</mi></a>","P00647075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79",NA,NA
