"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus"
"1","2021-04-05 14:25:39-03","UNESC","CRI","14484","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O.Berg) N.Silveira","Sobral, M","2010","10","29","Korte, A.; Kniess, A.","4656","2010","10","20","Brasil","Santa Catarina","Santo Amaro da Imperatriz","Rio da Nova Descoberta. Rio da Nova Descoberta.","-48.780833","-27.81","48º46'51''W","27º48'36''S","558","558","Florística IFFSC 255 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbusto;","CRI013610","CRI013610",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1522422","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O.Berg) N.Silveira","M. L. Kawasaki",NA,NA,NA,"J. Mattos","9648","1961","12","28","Brazil","São Paulo","Moji-Guaçu","Perto de Pádua Sales, Fazenda Campininha.","-47.164784","-22.242395",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751681' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522422","NY01522422_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA
"3","2021-03-31 13:40:33-03","MN","R","231151","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O. Berg) N.Silveira",NA,NA,NA,NA,"Júnior, A.J.F 123; Valente, A.M.S.; Antunes, K.; Matosinhos, C.; Assis, L.C.S.; Neto, O.J.B.; Nobre, P.H. & Salimena, R.G.",NA,"2004","02","25","Brasil","Minas Gerais","Rio Preto",NA,"-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"Universidade Federal de Juiz de Fora. Herbário CESJ: 41798","R010032381",NA,NA,NA,NA,NA,"20815","auto",NA,NA
"4","2019-08-27 13:31:30-03","IAP","PACA-AGP","118689","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O. Berg) N. Silveira","Sobral, M.","2010","10","29","Korte, A.","4656","2010","10","20","Brasil","SC","Santo Amaro da Imperatriz","rio da nova descoberta","-48.780833","-27.81","48º46'51w","27º48'36s","558","558","furb 32025 Habitat: Floresta Ombrófila densa. Estagio avancado, interior de fragmento","PACA118689",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,"Magnoliatae",NA
"5","2020-12-20 21:18:38-03","UFV","VIC","31011","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O.Berg) Silveira",NA,NA,NA,NA,"Teixeira, R.N.C.; et al.","39","2004","12","15","Brasil","Espírito Santo","Santa Maria de Jetibá","Fragmento florestal a 5 km de Santa Maria de Jetib","-40.7461013793945","-20.040599822998",NA,NA,NA,NA,"Sub árvore de 5 m, subbosque, coletada no interior de mata.","VIC031011","VIC031011",NA,NA,NA,NA,"31867","auto",NA,NA
"6","2020-12-20 21:18:38-03","UFV","VIC","31012","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O.Berg) Silveira",NA,NA,NA,NA,"Teixeira, R.N.C.; et al.","43","2004","12","15","Brasil","Espírito Santo","Santa Maria de Jetibá","Fragmento florestal a 5 km de Santa Maria de Jetib","-40.7461013793945","-20.040599822998",NA,NA,NA,NA,"Árvore de 8 m, subbosque aoletada interior de mata.","VIC031012","VIC031012",NA,NA,NA,NA,"31867","auto",NA,NA
"7","2020-12-20 21:18:38-03","UFV","VIC","31024","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O.Berg) Silveira",NA,NA,NA,NA,"Teixeira, R.N.C.; et al.","41","2004","12","15","Brasil","Espírito Santo","Santa Maria de Jetibá","Fragmento florestal a 5 km de Santa Maria de Jetib","-40.7461013793945","-20.040599822998",NA,NA,NA,NA,"Árvore de 9 m, subbosque, coletada em interior de mata.","VIC031024","VIC031024",NA,NA,NA,NA,"31867","auto",NA,NA
"8","2020-12-20 21:18:38-03","UFV","VIC","31010","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O.Berg) Silveira",NA,NA,NA,NA,"Teixeira, R.N.C.; et al.","40","2004","12","15","Brasil","Espírito Santo","Santa Maria de Jetibá","Fragmento florestal a 5 km de Santa Maria de Jetib","-40.7461013793945","-20.040599822998",NA,NA,NA,NA,"Sub árvore de 5 m, subbosque, coletada no interior de mata.","VIC031010","VIC031010",NA,NA,NA,NA,"31867","auto",NA,NA
"9","2019-11-21 14:40:19-03","UFJF","CESJ","41798","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O.Berg) N.J.E.Silveira","M. Sobral","2005","10","05","A.J. Fernandes Júnior; K. Antunes; A.S.M. Valente; C.N. Matozinhos; L.C.S. Assis; F.R.G. Salimena","123","2004","02","25","Brasil","Minas Gerais","Rio Preto","Serra Negra, Fazenda da Tiririca.","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"Árvore ca. 10 m alt., frutos vermelhos, claros e escuros.","CESJ041798",NA,"Angiosperma",NA,"América do Sul",NA,"20815","auto",NA,NA
"10","2019-11-21 14:40:19-03","UFJF","CESJ","46257","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O.Berg) N.J.E.Silveira","M. Sobral","2005","12",NA,"K. Antunes; C.N. Matozinhos; N.L. Abreu; F.S. Souza; P.L. Viana","182","2005","11","09","Brasil","Minas Gerais","Rio Preto","Serra Negra, Trilha para o Ninho da Égua.","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"Árvore, ca. 5m alt., interior de mata nebular, frutos verdes.","CESJ046257",NA,"Angiosperma",NA,"América do Sul",NA,"20815","auto",NA,NA
"11","2021-03-01 16:36:35-03","UNICAMP","UEC","33960","S","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O.Berg) N.Silveira","Meira Neto, JAA","1989","08","08","Marcondes-Ferreira, W","15059","1983","10","26","Brazil","São Paulo","Atibaia","Pedra Grande.","-46.5499992370605","-23.1100006103516",NA,NA,NA,NA,"Arbusto ca. 1,0m altura, botões brancacentos.","UEC117590","UEC117590","Magnoliopsida",NA,NA,NA,"21675","auto",NA,NA
"12","2020-10-14 10:03:32-03","FURB","FURB","32025","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O.Berg) N.Silveira","Sobral, M","2010","10","29","Korte, A.; Kniess, A.","4656","2010","10","20","Brasil","Santa Catarina","Santo Amaro da Imperatriz","Rio da Nova Descoberta.","-48.7808334","-27.81","-48.7808334","-27.8100000","558","558","Florística IFFSC 255 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbusto;","FURB02526","FURB02526",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:37:10-03","MBM","MBM","49542","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O.Berg) N. Silveira","Lannoy, L.C.","2018","12",NA,"Hatschbach, G.","8700","1961","11","05","Brazil","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"Arvoreta. Flor alva.; Em mata as margens de rio.","MBM049542","MBM049542",NA,NA,"Southern America",NA,"41937","auto",NA,NA
"14","2020-12-21 16:37:10-03","MBM","MBM","346079","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O.Berg) N. Silveira","Sobral, M.","2009",NA,NA,"Francisco, E.M.; et al.; et al.","s.n.","1998","10","30","Brazil","Paraná","São Jerônimo da Serra","Rancho Carolina-bosque da sede","-50.7411003112793","-23.7275009155273",NA,NA,NA,NA,"Árvore 9,0m alt.; botões e flores cremes","MBM346079","MBM346079",NA,NA,"Southern America",NA,"30511","auto",NA,NA
"15","2019-11-01 15:28:29-03","PUC-RIO","FCAB","3900","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O.Berg) N.Silveira","M.C. Souza","2016","05","25","J.C. Siqueira","2148","1986","10","26","Brasil","Rio de Janeiro","Nova Friburgo","Furnas do Catete","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"Árvore, c.a. 4m. Tronco escamoso.","003900",NA,NA,"Angiospermae",NA,NA,"33190","auto",NA,NA
"16","2015-10-02 04:51:20-03","MNHN","RECOLNAT_MNHN_P","P00163051","PreservedSpecimen",NA,"Myrtaceae","Myrcia","diaphana","Myrcia diaphana","(O.Berg) N.Silveira",NA,NA,NA,NA,"Sello",NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"donné en 1861 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00163051' target='other'> <mi>dwc_moreinfo</mi></a>","P00163051","P00163051_01",NA,NA,NA,"hb",NA,NA,NA,NA
