"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","relationshipType","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","404861","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","acutiflora","Eugenia acutiflora","Kiaersk.","isolectotype","A. F. M. Glaziou","13894","South America","Brazil","Rio de Janeiro","sheet","donné par Mme Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404861","NY00404861_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","615620","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","acutiflora","Myrceugenia acutiflora","(Kiaersk.) D.Legrand & Kausel",NA,"L. R. Landrum","2393","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615620","NY00615620_01","L. R. Landrum","1977","11","04","Sao José dos Pinhais","Road to Guaricana, low area where the electricity wires com near road","-49","-25.67","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","615624","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","acutiflora","Myrceugenia acutiflora","(Kiaersk.) D.Legrand & Kausel",NA,"Pessoal do Horto Florestal","s.n.","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615624","NY00615624_01","G. M. Barroso","1927","02","22","Rio de Janeiro","Guanabara, Tijuca","-43.274528","-22.95583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","615618","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","acutiflora","Myrceugenia acutiflora","(Kiaersk.) D.Legrand & Kausel",NA,"L. R. Landrum","2407","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615618","NY00615618_01","L. R. Landrum","1977","11","04","Sao José dos Pinhais","Road to Guaricana, low area where the electricity wires com near road","-49","-25.67","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","615622","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","acutiflora","Myrceugenia acutiflora","(Kiaersk.) D.Legrand & Kausel",NA,"L. R. Landrum","2192","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615622","NY00615622_01",NA,"1977","10","24",NA,"Parque Nacional Tijuca, Bico de Papagaio and areas near by","-43.33","-22.83","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","615617","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","acutiflora","Myrceugenia acutiflora","(Kiaersk.) D.Legrand & Kausel",NA,"Pessoal do Horto Florestal","s.n.","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615617","NY00615617_01","G. M. Barroso","1927","02","22","Rio de Janeiro","Guanabara, Tijuca","-43.274528","-22.95583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615621","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","acutiflora","Myrceugenia acutiflora","(Kiaersk.) D.Legrand & Kausel",NA,"L. R. Landrum","2931","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615621","NY00615621_01","L. R. Landrum","1977","12","15","Sao José dos Pinhais","Road to Guaricana, low area where the electricity wires com near road","-49","-25.67","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","615619","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","acutiflora","Myrceugenia acutiflora","(Kiaersk.) D.Legrand & Kausel",NA,"L. R. Landrum","2906","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615619","NY00615619_01","L. R. Landrum","1977","12","15","Sao José dos Pinhais","Road to Guaricana, low area where the electricity wires com near road","-49","-25.67","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","615623","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","acutiflora","Myrceugenia acutiflora","(Kiaersk.) D.Legrand & Kausel",NA,"L. R. Landrum","2205","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615623","NY00615623_01",NA,"1977","10","24",NA,"Parque Nacional Tijuca, Bico de Papagaio and areas near by","-43.33","-22.83","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","615616","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","acutiflora","Myrceugenia acutiflora","(Kiaersk.) D.Legrand & Kausel",NA,"G. Martinelli","10361","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615616","NY00615616_01",NA,"1984","11","20","Magé","III° Distrito, Paraiso, Centro de Primatologia do RJ","-43.0406","-22.6531","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
