"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","class","order","continentOcean","phylum","coordinatePrecision","geoFlag","fieldNumber","preparationType","individualCount"
"1","2021-04-05 14:34:03-03","UNESC","CRI","14403","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","sellowii","Anemone sellowii","Pritz.","Marcio Verdi","2020","04","12","Dreveck, S.; Verdi, M.","2429","2010","10","13","Brasil","Santa Catarina","São Bento do Sul","Minas de Caulin - APA Rio Vermelho/Humbold. Minas de Caulin - APA Rio Vermelho/Humbold.","-49.223889","-26.281944","49º13'26''W","26º16'55''S","995","995","Plano de Manejo APA do Rio Vermelho/Humbold - local de ocorrência de Chusquea, parte abaxial da flor rosada. Habitat: Floresta Ombrófila Mista; Estágio Médio Habito: erva terrícola; flor estames e flor branca","CRI013450","CRI013450",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:30:31-03","UNESP-IBB","BOTU","19620","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","sellowii","Anemone sellowii","Pritz.",NA,NA,NA,NA,NA,"122",NA,NA,NA,"Brasil","São Paulo","Campos do Jordão",NA,NA,NA,"9999","9999",NA,NA,"mata; flores brancas com bordos lilás","BOTU019620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:22:02-03","NBC","NL-BOTANY","U.1533505","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","sellowii","Anemone sellowii","Pritz.",NA,NA,NA,NA,"Ellenberg H",NA,"1957","04","15","Peru",NA,NA,"Escallonia-Mischwald, 5° NW. Yanahuaranordwestl. Urubamba.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1533505 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1533505","NL-U1533505","Magnoliopsidae","Ranunculales","Southern America",NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:17:56-03","ESALQ","ESA","1776","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","sellowii","Anemone sellowii","Pritzel","Marcondes-Ferreira, W.",NA,NA,NA,"Lourenço",NA,"1940","11","21","Brasil","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303",NA,NA,NA,NA,NA,"ESA001776",NA,NA,NA,NA,"Magnoliophyta","23900","auto",NA,NA,NA
"5","2021-01-14 15:33:19-03","MN","R","59465","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","sellowii","Anemone sellowii",NA,"Lourteig, A.","1983","09","19","Glaziou, A.F.M.","4744","1867","06","07","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R000059465","R000059465_001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:37:26-03","IAP","PACA-AGP","54164","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","sellowii","Anemone sellowii","Pritzel","A. C. Brade","1951",NA,NA,"Brade, A.C.","21191","1951","10","10","Brasil","SP",NA,"Serra da Bocaina",NA,NA,NA,NA,"1600","1600","Herb. Jard. Bot. Rio 75927 Habitat: In silva terrestris Fenofase: flor","PACA054164",NA,"Magnoliatae","Ranunculales",NA,"Magnoliophyta",NA,NA,NA,NA,NA
"7","2019-11-21 14:44:02-03","UFJF","CESJ","56709","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","sellowii","Anemone sellowii","Pritz.","D.S. Santiago",NA,NA,NA,"L. Menini Neto; F.R.G. Salimena; P.H. Nobre","961","2010","09","25","Brasil","Minas Gerais","Aiuruoca","Parque Estadual da Serra do Papagaio, Trilha para o Pico do Papagaio. Mata do Fogão. UTM (23K), 0535238, 7563778. 1741 m.s.m.","-44.603099822998","-21.9755992889404",NA,NA,NA,NA,"Planta decumbente, interior da mata nebular. Folhas verde-escuro, flores alvas.","CESJ056709",NA,NA,NA,"América do Sul","Angiosperma","27460","auto",NA,NA,NA
"8","2019-11-21 14:44:02-03","UFJF","CESJ","60090","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","sellowii","Anemone sellowii","Pritz.","D.S. Santiago","2013","05",NA,"D.S. Santiago; F.R.G. Salimena; P. H. Nobre; L. C. Pereira","24","2012","07","06","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Interior da Mata de Araucária.","-44.8899993896484","-21.9589004516602",NA,NA,NA,NA,"Erva, flores róseas.","CESJ060090",NA,NA,NA,"América do Sul","Angiosperma","29865","auto",NA,NA,NA
"9","2020-07-02 19:03:30-03","UFJF","CESJ","60304","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","sellowii","Anemone sellowii","Pritz.","D.S. Santiago","2013","02",NA,"S.G. Furtado; L. Menini Neto","89","2012","08","17","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Mata de Araucária, margem direita do Rio Santo Agostinho.","-44.8899993896484","-21.9589004516602",NA,NA,NA,NA,"Epífita acidental, a ca. 0,6m alt., no interior de floresta ombrófila mista, próximo ao curso d'água. Caule vináceo, folhas fortemente discolores, face adaxial levemente variegada, flores alvas, face dorsal das pétalas frequentemente rósea. Comumente enc","CESJ060304",NA,NA,NA,"América do Sul","Angiosperma","29865","auto",NA,NA,NA
"10","2019-11-21 14:44:02-03","UFJF","CESJ","60427","PreservedSpecimen","Plantae","Ranunculaceae","Anemone","sellowii","Anemone sellowii","Pritz.","D.S. Santiago","2013","02",NA,"D.S. Santiago; J.H.C. Ribeiro; L. Menini Neto; S.G. Furtado","146","2012","09","21","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, No interior da Mata de Araucária.","-44.8899993896484","-21.9589004516602",NA,NA,NA,NA,"Erva, ca 20 cm, flores alvas com as extremidades roxas, frutos verdes.","CESJ060427",NA,NA,NA,"América do Sul","Angiosperma","29865","auto",NA,NA,NA
