"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","monthIdentified","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","infraspecificEpithet","fieldNumber"
"1","2021-04-05 14:33:32-03","UNESC","CRI","4044","PreservedSpecimen","Plantae","Fabaceae","Sesbania","punicea","Sesbania punicea","(Cav.) Benth.","J. A. Jarenkow","1989","J. A. Jarenkow","1989","12","03","Brasil","Rio Grande do Sul","Piratini","Piraini - margem esquerda do rio Piratini, próx. a ponte da BR-293.","-53.104444","-31.448611","53º6'16''W","31º26'55''S","Habitat: orla de rio Habito: arbusto","CRI007302","CRI007302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","13321","PreservedSpecimen","Plantae","Fabaceae","Sesbania","punicea","Sesbania punicea","(Cav.) Benth.","Rodrigo Camargo","2017","Alexandre Medeiros",NA,NA,NA,"Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 686. Habitat: Terrestre Habito: Arbustivo","CRI011928","CRI011928","09","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:20-03","UNESC","CRI","3669","PreservedSpecimen","Plantae","Fabaceae","Sesbania","punicea","Sesbania punicea","(Cav.) Benth.","S. Miotto",NA,"R. Záchia","1993","11","30","Brasil","Rio Grande do Sul","São Borja","Distrito de Sta Rosa - Rincão de São Lucas - Ea. Bonitas - Rio Butui.","-56.004722","-28.661111","56º0'17''W","28º39'40''S","Habito: arbusto","CRI003129","CRI003129",NA,NA,"1556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:20-03","UNESC","CRI","6842","PreservedSpecimen","Plantae","Fabaceae","Sesbania","punicea","Sesbania punicea","(Cav.) Benth.","S. F. Smith","1992","R. Reitz","1957","11","06","Brasil",NA,"Brasil","Três Barras, Guaruva.","-48.638333","-26.243889","48º38'18''W","26º14'38''S",NA,"CRI003131","CRI003131","01","01","5568","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:20-03","UNESC","CRI","2174","PreservedSpecimen","Plantae","Fabaceae","Sesbania","punicea","Sesbania punicea","(Cav.) Benth.","S. F. Smith","1992","R. Klein","1962","12","09","Brasil","Santa Catarina","Porto União",NA,"-51.078611","-26.238611","51º4'43''W","26º14'19''S","Habitat: campo Habito: arbusto","CRI003130","CRI003130",NA,NA,"3653","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:32-03","UNESC","CRI","4047","PreservedSpecimen","Plantae","Fabaceae","Sesbania","punicea","Sesbania punicea","(Cav.) Benth.","J. A. Jarenkow",NA,"J. A. Jarenkow","1989","12","03","Brasil","Rio Grande do Sul","Piratini",NA,"-53.097778","-31.447778","53º5'52''W","31º26'52''S",NA,"CRI003132","CRI003132",NA,NA,"1505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:20-03","UNESC","CRI","2094","PreservedSpecimen","Plantae","Fabaceae","Sesbania","punicea","Sesbania punicea","(Cav.) Benth.","S. F. Smith",NA,"Reitz; Klein","1957","11","06","Brasil","Santa Catarina","Garuva","Três Barras, S. Francisco do Sul.","-48.855278","-26.027222","48º51'19''W","26º1'38''S",NA,"CRI003127","CRI003127",NA,NA,"5568","20","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:40:49-03","E","E","296170","PreservedSpecimen","Plantae","Leguminosae","Sesbania","punicea","Sesbania punicea",NA,NA,NA,NA,NA,NA,NA,"AR",NA,NA,"De Buenos Aires",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00296170 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296170",NA,NA,NA,NA,NA,NA,"holotype","Temperate South America","photograph of unspecified type","BGBASE:309278",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:40:49-03","E","E","296172","PreservedSpecimen","Plantae","Leguminosae","Sesbania","punicea","Sesbania punicea",NA,NA,NA,NA,NA,NA,NA,"CL",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00296172 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296172",NA,NA,NA,NA,NA,NA,"unspecified kind of","Temperate South America","photograph of unspecified type","BGBASE:309281",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:40:49-03","E","E","296171","PreservedSpecimen","Plantae","Leguminosae","Sesbania","punicea","Sesbania punicea",NA,NA,NA,NA,NA,NA,NA,"CL",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00296171 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296171",NA,NA,NA,"410",NA,NA,"unspecified kind of","Temperate South America","photograph of unspecified type","BGBASE:309279",NA,NA,NA,NA,NA,NA,NA,NA,NA
