"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","year","month","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","typeStatus","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","2862064","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","coelomatica","Pouteria coelomatica","Rizzini","A. Alves-Araújo","W. W. Thomas","8678","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396109' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862064","NY02862064_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:19:43-03","ESALQ","ESA","112270","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapotaceae","Pouteria","coelomatica","Pouteria coelomatica",NA,"Siqueira, G.S.","Flores, T.B.","953.0",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA112270","ESA112270","2010","10","30","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:43:00-03","JBP","HPL","13440","S","Plantae",NA,NA,"Sapotaceae","Pouteria","coelomatica","Pouteria coelomatica","Rizzini","G.S. Siqueira","T.B. Flores & G. Siqueira","953",NA,"Brasil","ES","Linhares","Reserva Natural Vale - Aceiro João Rossi - João Pedro. ESA-112270.","-39.988417","-19.247167",NA,NA,NA,NA,"2010","10","30",NA,NA,"2010","10","26","39° 59' 18,3 W","19° 14' 49,8 S",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:19:26-03","UFV","VIC","018044","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","coelomatica","Pouteria coelomatica","Ressini",NA,"Ana Luiza.","s.n.",NA,"Brasil","Bahia",NA,"FLONA Rio Preto",NA,NA,NA,"P 10 n°27.","VIC018044","VIC018044",NA,NA,NA,NA,NA,"1995","08","22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-24 17:10:02-03","UFES","SAMES","5413","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","coelomatica","Pouteria coelomatica","Rizzini",NA,"Giaretta,A.O.; Lopes,L.C.M.;Ribeiro,M.;Amaral,M.V.","690",NA,"Brasil","Espírito Santo","Conceição da Barra","Itaúnas. Mata de restinga sobre cordão arenoso arenoso próximo de uma área entre cordões dominada por Montrichardia. Área atrás da fazendo Jequitaia.","-39.7322006225586","-18.5932998657227",NA,"Frutos verdes e vinhos. Com látex leitoso. Borda de mata. Habito: Árvore","SAMES05413",NA,NA,NA,NA,"41644","auto","2010","01","14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-24 17:10:02-03","UFES","SAMES","5414","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","coelomatica","Pouteria coelomatica","Rizzini",NA,"Giaretta,A.O.; Monteiro,M.M.;Oliveira,I.R.","747",NA,"Brasil","Espírito Santo","Conceição da Barra","Itaúnas. Mata de restinga sobre cordão arenoso arenoso próximo de uma área entre cordões dominada por Montrichardia. Área atrás da fazendo Jequitaia.","-39.7322006225586","-18.5932998657227",NA,"Frutos vinosos. P48-20. Habito: Árvore","SAMES05414",NA,NA,NA,NA,"41644","auto","2010","02","04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-24 17:10:02-03","UFES","SAMES","5411","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","coelomatica","Pouteria coelomatica","Rizzini","Giaretta,A.","Cavalcanti,A.C.S.; Sá,C.F.C.;Araújo,D.S.D.;Pereira,M.C.A.","259",NA,"Brasil","Espírito Santo","Presidente Kennedy","Praia das Neves. Vegetação de restinga, entre o rio e a praia.","-41.0466995239258","-21.0988998413086",NA,"Com cerca de 8m, lactescente; folhas cartáceas de face adaxial glabra verde clara e abaxial com textura aveludada suave e coloração ferrugem; flores alvas e botões florais esverdeados. Habito: Árvore","SAMES05411",NA,NA,NA,NA,"24088","auto","2008","10","17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-24 17:10:02-03","UFES","SAMES","5412","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","coelomatica","Pouteria coelomatica","Rizzini",NA,"Menezes,L.F.T.; Giaretta,A.O.;Souza,M.C.;Monteiro,R.F.;Saavedra,M.M.","1817",NA,"Brasil","Espírito Santo","São Mateus","Área de restinga sobre cordões arenosos do complexo do Rio Doce, distante aproximadamente 17km da BR 101 na altura do km 86.","-39.8588981628418","-18.716100692749",NA,"Com frutos com látex. Habito: Árvore","SAMES05412",NA,NA,NA,NA,"56510","auto","2008","01","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-24 17:10:02-03","UFES","SAMES","5410","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","coelomatica","Pouteria coelomatica","Rizzini","Giaretta,A.","Giaretta,A.O.; Monteiro,M.M.","678",NA,"Brasil","Espírito Santo","Conceição da Barra","Itaúnas. Parque Estadual de Itaúnas. Mata seca de restinga sobre cordão arenoso próximo de uma área entre cordões dominado por Montrichardia. Área atrás da fazenda Jequitaia.","-39.7322006225586","-18.5932998657227",NA,"Com flores albas, látex leitoso, borda de mata. Habito: Árvore","SAMES05410",NA,NA,NA,NA,"41644","auto","2009","11","22","-397191667.0","-184205556.0",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-24 17:10:02-03","UFES","SAMES","10512","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","coelomatica","Pouteria coelomatica","Rizzini",NA,"Pereira, O.J.; Penha, J.S.","9436",NA,"Brasil","Espírito Santo","Linhares","Cacimbas. Restinga Holocênica.","-40.0722007751465","-19.3910999298096",NA,"Planta com 7 m de altura. Folha discolor. Face abaxial ferrugínea. Adaxial verde. Fruto verde. Latescente. Habitat: Formação Florestal não inundável","SAMES10512",NA,NA,NA,NA,"48094","auto","2019","12","19","-397372222.0","-194794445.0",NA,NA,NA,NA,NA,NA,NA
